"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10533","18/04/2020",18,4,2020,0,0,"Thailand","TH","THA",69428524
"10534","17/04/2020",17,4,2020,28,1,"Thailand","TH","THA",69428524
"10535","16/04/2020",16,4,2020,29,3,"Thailand","TH","THA",69428524
"10536","15/04/2020",15,4,2020,30,2,"Thailand","TH","THA",69428524
"10537","14/04/2020",14,4,2020,34,1,"Thailand","TH","THA",69428524
"10538","13/04/2020",13,4,2020,28,2,"Thailand","TH","THA",69428524
"10539","12/04/2020",12,4,2020,33,3,"Thailand","TH","THA",69428524
"10540","11/04/2020",11,4,2020,45,2,"Thailand","TH","THA",69428524
"10541","10/04/2020",10,4,2020,50,1,"Thailand","TH","THA",69428524
"10542","09/04/2020",9,4,2020,54,2,"Thailand","TH","THA",69428524
"10543","08/04/2020",8,4,2020,111,4,"Thailand","TH","THA",69428524
"10544","07/04/2020",7,4,2020,38,0,"Thailand","TH","THA",69428524
"10545","06/04/2020",6,4,2020,51,3,"Thailand","TH","THA",69428524
"10546","05/04/2020",5,4,2020,191,4,"Thailand","TH","THA",69428524
"10547","04/04/2020",4,4,2020,103,4,"Thailand","TH","THA",69428524
"10548","03/04/2020",3,4,2020,104,3,"Thailand","TH","THA",69428524
"10549","02/04/2020",2,4,2020,120,2,"Thailand","TH","THA",69428524
"10550","01/04/2020",1,4,2020,0,0,"Thailand","TH","THA",69428524
"10551","31/03/2020",31,3,2020,263,3,"Thailand","TH","THA",69428524
"10552","30/03/2020",30,3,2020,143,1,"Thailand","TH","THA",69428524
"10553","29/03/2020",29,3,2020,109,1,"Thailand","TH","THA",69428524
"10554","28/03/2020",28,3,2020,0,0,"Thailand","TH","THA",69428524
"10555","27/03/2020",27,3,2020,91,1,"Thailand","TH","THA",69428524
"10556","26/03/2020",26,3,2020,111,0,"Thailand","TH","THA",69428524
"10557","25/03/2020",25,3,2020,107,0,"Thailand","TH","THA",69428524
"10558","24/03/2020",24,3,2020,106,3,"Thailand","TH","THA",69428524
"10559","23/03/2020",23,3,2020,122,0,"Thailand","TH","THA",69428524
"10560","22/03/2020",22,3,2020,233,0,"Thailand","TH","THA",69428524
"10561","21/03/2020",21,3,2020,154,0,"Thailand","TH","THA",69428524
"10562","20/03/2020",20,3,2020,35,0,"Thailand","TH","THA",69428524
"10563","19/03/2020",19,3,2020,0,0,"Thailand","TH","THA",69428524
"10564","18/03/2020",18,3,2020,0,0,"Thailand","TH","THA",69428524
"10565","17/03/2020",17,3,2020,63,0,"Thailand","TH","THA",69428524
"10566","16/03/2020",16,3,2020,32,0,"Thailand","TH","THA",69428524
"10567","15/03/2020",15,3,2020,0,0,"Thailand","TH","THA",69428524
"10568","14/03/2020",14,3,2020,12,0,"Thailand","TH","THA",69428524
"10569","12/03/2020",12,3,2020,11,0,"Thailand","TH","THA",69428524
"10570","11/03/2020",11,3,2020,9,0,"Thailand","TH","THA",69428524
"10571","07/03/2020",7,3,2020,3,0,"Thailand","TH","THA",69428524
"10572","05/03/2020",5,3,2020,4,0,"Thailand","TH","THA",69428524
"10573","02/03/2020",2,3,2020,1,0,"Thailand","TH","THA",69428524
"10574","01/03/2020",1,3,2020,0,1,"Thailand","TH","THA",69428524
"10575","29/02/2020",29,2,2020,2,0,"Thailand","TH","THA",69428524
"10576","28/02/2020",28,2,2020,0,0,"Thailand","TH","THA",69428524
"10577","27/02/2020",27,2,2020,0,0,"Thailand","TH","THA",69428524
"10578","26/02/2020",26,2,2020,3,0,"Thailand","TH","THA",69428524
"10579","25/02/2020",25,2,2020,2,0,"Thailand","TH","THA",69428524
"10580","24/02/2020",24,2,2020,0,0,"Thailand","TH","THA",69428524
"10581","23/02/2020",23,2,2020,0,0,"Thailand","TH","THA",69428524
"10582","22/02/2020",22,2,2020,0,0,"Thailand","TH","THA",69428524
"10583","21/02/2020",21,2,2020,0,0,"Thailand","TH","THA",69428524
