"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10664","18/04/2020",18,4,2020,2,0,"Togo","TG","TGO",7889094
"10665","17/04/2020",17,4,2020,0,2,"Togo","TG","TGO",7889094
"10666","16/04/2020",16,4,2020,4,0,"Togo","TG","TGO",7889094
"10667","15/04/2020",15,4,2020,0,0,"Togo","TG","TGO",7889094
"10668","14/04/2020",14,4,2020,1,0,"Togo","TG","TGO",7889094
"10669","13/04/2020",13,4,2020,0,0,"Togo","TG","TGO",7889094
"10670","12/04/2020",12,4,2020,0,0,"Togo","TG","TGO",7889094
"10671","11/04/2020",11,4,2020,3,0,"Togo","TG","TGO",7889094
"10672","10/04/2020",10,4,2020,3,0,"Togo","TG","TGO",7889094
"10673","09/04/2020",9,4,2020,5,0,"Togo","TG","TGO",7889094
"10674","08/04/2020",8,4,2020,7,0,"Togo","TG","TGO",7889094
"10675","07/04/2020",7,4,2020,14,0,"Togo","TG","TGO",7889094
"10676","06/04/2020",6,4,2020,3,0,"Togo","TG","TGO",7889094
"10677","05/04/2020",5,4,2020,1,0,"Togo","TG","TGO",7889094
"10678","04/04/2020",4,4,2020,1,1,"Togo","TG","TGO",7889094
"10679","03/04/2020",3,4,2020,3,0,"Togo","TG","TGO",7889094
"10680","02/04/2020",2,4,2020,2,1,"Togo","TG","TGO",7889094
"10681","01/04/2020",1,4,2020,0,0,"Togo","TG","TGO",7889094
"10682","31/03/2020",31,3,2020,4,0,"Togo","TG","TGO",7889094
"10683","30/03/2020",30,3,2020,2,0,"Togo","TG","TGO",7889094
"10684","29/03/2020",29,3,2020,3,0,"Togo","TG","TGO",7889094
"10685","28/03/2020",28,3,2020,1,1,"Togo","TG","TGO",7889094
"10686","27/03/2020",27,3,2020,1,0,"Togo","TG","TGO",7889094
"10687","26/03/2020",26,3,2020,5,0,"Togo","TG","TGO",7889094
"10688","25/03/2020",25,3,2020,0,0,"Togo","TG","TGO",7889094
"10689","24/03/2020",24,3,2020,3,0,"Togo","TG","TGO",7889094
"10690","23/03/2020",23,3,2020,0,0,"Togo","TG","TGO",7889094
"10691","22/03/2020",22,3,2020,6,0,"Togo","TG","TGO",7889094
"10692","21/03/2020",21,3,2020,8,0,"Togo","TG","TGO",7889094
"10693","20/03/2020",20,3,2020,0,0,"Togo","TG","TGO",7889094
"10694","19/03/2020",19,3,2020,0,0,"Togo","TG","TGO",7889094
"10695","18/03/2020",18,3,2020,0,0,"Togo","TG","TGO",7889094
"10696","17/03/2020",17,3,2020,0,0,"Togo","TG","TGO",7889094
"10697","16/03/2020",16,3,2020,0,0,"Togo","TG","TGO",7889094
"10698","15/03/2020",15,3,2020,0,0,"Togo","TG","TGO",7889094
"10699","07/03/2020",7,3,2020,1,0,"Togo","TG","TGO",7889094
