"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10737","18/04/2020",18,4,2020,42,0,"Tunisia","TN","TUN",11565204
"10738","17/04/2020",17,4,2020,42,2,"Tunisia","TN","TUN",11565204
"10739","16/04/2020",16,4,2020,33,1,"Tunisia","TN","TUN",11565204
"10740","15/04/2020",15,4,2020,21,0,"Tunisia","TN","TUN",11565204
"10741","14/04/2020",14,4,2020,19,3,"Tunisia","TN","TUN",11565204
"10742","13/04/2020",13,4,2020,22,3,"Tunisia","TN","TUN",11565204
"10743","12/04/2020",12,4,2020,14,3,"Tunisia","TN","TUN",11565204
"10744","11/04/2020",11,4,2020,28,0,"Tunisia","TN","TUN",11565204
"10745","10/04/2020",10,4,2020,20,2,"Tunisia","TN","TUN",11565204
"10746","09/04/2020",9,4,2020,27,1,"Tunisia","TN","TUN",11565204
"10747","08/04/2020",8,4,2020,22,0,"Tunisia","TN","TUN",11565204
"10748","07/04/2020",7,4,2020,21,3,"Tunisia","TN","TUN",11565204
"10749","06/04/2020",6,4,2020,58,1,"Tunisia","TN","TUN",11565204
"10750","05/04/2020",5,4,2020,40,5,"Tunisia","TN","TUN",11565204
"10751","04/04/2020",4,4,2020,0,0,"Tunisia","TN","TUN",11565204
"10752","03/04/2020",3,4,2020,61,3,"Tunisia","TN","TUN",11565204
"10753","02/04/2020",2,4,2020,32,1,"Tunisia","TN","TUN",11565204
"10754","01/04/2020",1,4,2020,50,1,"Tunisia","TN","TUN",11565204
"10755","31/03/2020",31,3,2020,34,0,"Tunisia","TN","TUN",11565204
"10756","30/03/2020",30,3,2020,51,2,"Tunisia","TN","TUN",11565204
"10757","29/03/2020",29,3,2020,0,0,"Tunisia","TN","TUN",11565204
"10758","28/03/2020",28,3,2020,54,1,"Tunisia","TN","TUN",11565204
"10759","27/03/2020",27,3,2020,0,0,"Tunisia","TN","TUN",11565204
"10760","26/03/2020",26,3,2020,59,2,"Tunisia","TN","TUN",11565204
"10761","25/03/2020",25,3,2020,25,0,"Tunisia","TN","TUN",11565204
"10762","24/03/2020",24,3,2020,14,0,"Tunisia","TN","TUN",11565204
"10763","23/03/2020",23,3,2020,15,2,"Tunisia","TN","TUN",11565204
"10764","22/03/2020",22,3,2020,6,0,"Tunisia","TN","TUN",11565204
"10765","21/03/2020",21,3,2020,15,1,"Tunisia","TN","TUN",11565204
"10766","20/03/2020",20,3,2020,10,0,"Tunisia","TN","TUN",11565204
"10767","19/03/2020",19,3,2020,5,0,"Tunisia","TN","TUN",11565204
"10768","18/03/2020",18,3,2020,4,0,"Tunisia","TN","TUN",11565204
"10769","17/03/2020",17,3,2020,2,0,"Tunisia","TN","TUN",11565204
"10770","16/03/2020",16,3,2020,2,0,"Tunisia","TN","TUN",11565204
"10771","15/03/2020",15,3,2020,0,0,"Tunisia","TN","TUN",11565204
"10772","14/03/2020",14,3,2020,3,0,"Tunisia","TN","TUN",11565204
"10773","13/03/2020",13,3,2020,6,0,"Tunisia","TN","TUN",11565204
"10774","12/03/2020",12,3,2020,2,0,"Tunisia","TN","TUN",11565204
"10775","11/03/2020",11,3,2020,3,0,"Tunisia","TN","TUN",11565204
"10776","10/03/2020",10,3,2020,1,0,"Tunisia","TN","TUN",11565204
"10777","03/03/2020",3,3,2020,1,0,"Tunisia","TN","TUN",11565204
