"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10814","18/04/2020",18,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10815","17/04/2020",17,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10816","16/04/2020",16,4,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10817","15/04/2020",15,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10818","14/04/2020",14,4,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10819","13/04/2020",13,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10820","12/04/2020",12,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10821","11/04/2020",11,4,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10822","10/04/2020",10,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10823","09/04/2020",9,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10824","08/04/2020",8,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10825","07/04/2020",7,4,2020,3,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10826","06/04/2020",6,4,2020,0,1,"Turks_and_Caicos_islands","TC","TCA",31458
"10827","05/04/2020",5,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10828","04/04/2020",4,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10829","03/04/2020",3,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10830","02/04/2020",2,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10831","01/04/2020",1,4,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10832","31/03/2020",31,3,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10833","30/03/2020",30,3,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10834","29/03/2020",29,3,2020,3,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10835","28/03/2020",28,3,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10836","27/03/2020",27,3,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10837","26/03/2020",26,3,2020,0,0,"Turks_and_Caicos_islands","TC","TCA",31458
"10838","25/03/2020",25,3,2020,1,0,"Turks_and_Caicos_islands","TC","TCA",31458
