"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11007","18/04/2020",18,4,2020,5599,847,"United_Kingdom","UK","GBR",66488991
"11008","17/04/2020",17,4,2020,4617,861,"United_Kingdom","UK","GBR",66488991
"11009","16/04/2020",16,4,2020,4603,761,"United_Kingdom","UK","GBR",66488991
"11010","15/04/2020",15,4,2020,5252,778,"United_Kingdom","UK","GBR",66488991
"11011","14/04/2020",14,4,2020,4342,717,"United_Kingdom","UK","GBR",66488991
"11012","13/04/2020",13,4,2020,5288,737,"United_Kingdom","UK","GBR",66488991
"11013","12/04/2020",12,4,2020,8719,917,"United_Kingdom","UK","GBR",66488991
"11014","11/04/2020",11,4,2020,5195,980,"United_Kingdom","UK","GBR",66488991
"11015","10/04/2020",10,4,2020,4344,881,"United_Kingdom","UK","GBR",66488991
"11016","09/04/2020",9,4,2020,5491,938,"United_Kingdom","UK","GBR",66488991
"11017","08/04/2020",8,4,2020,3634,786,"United_Kingdom","UK","GBR",66488991
"11018","07/04/2020",7,4,2020,3802,439,"United_Kingdom","UK","GBR",66488991
"11019","06/04/2020",6,4,2020,5903,621,"United_Kingdom","UK","GBR",66488991
"11020","05/04/2020",5,4,2020,3735,708,"United_Kingdom","UK","GBR",66488991
"11021","04/04/2020",4,4,2020,4450,684,"United_Kingdom","UK","GBR",66488991
"11022","03/04/2020",3,4,2020,4244,389,"United_Kingdom","UK","GBR",66488991
"11023","02/04/2020",2,4,2020,4324,743,"United_Kingdom","UK","GBR",66488991
"11024","01/04/2020",1,4,2020,3009,381,"United_Kingdom","UK","GBR",66488991
"11025","31/03/2020",31,3,2020,2619,180,"United_Kingdom","UK","GBR",66488991
"11026","30/03/2020",30,3,2020,2433,209,"United_Kingdom","UK","GBR",66488991
"11027","29/03/2020",29,3,2020,2546,260,"United_Kingdom","UK","GBR",66488991
"11028","28/03/2020",28,3,2020,2885,181,"United_Kingdom","UK","GBR",66488991
"11029","27/03/2020",27,3,2020,2129,115,"United_Kingdom","UK","GBR",66488991
"11030","26/03/2020",26,3,2020,1452,41,"United_Kingdom","UK","GBR",66488991
"11031","25/03/2020",25,3,2020,1427,87,"United_Kingdom","UK","GBR",66488991
"11032","24/03/2020",24,3,2020,967,54,"United_Kingdom","UK","GBR",66488991
"11033","23/03/2020",23,3,2020,665,48,"United_Kingdom","UK","GBR",66488991
"11034","22/03/2020",22,3,2020,1035,56,"United_Kingdom","UK","GBR",66488991
"11035","21/03/2020",21,3,2020,706,33,"United_Kingdom","UK","GBR",66488991
"11036","20/03/2020",20,3,2020,647,41,"United_Kingdom","UK","GBR",66488991
"11037","19/03/2020",19,3,2020,680,43,"United_Kingdom","UK","GBR",66488991
"11038","18/03/2020",18,3,2020,407,5,"United_Kingdom","UK","GBR",66488991
"11039","17/03/2020",17,3,2020,152,20,"United_Kingdom","UK","GBR",66488991
"11040","16/03/2020",16,3,2020,251,14,"United_Kingdom","UK","GBR",66488991
"11041","15/03/2020",15,3,2020,433,11,"United_Kingdom","UK","GBR",66488991
"11042","14/03/2020",14,3,2020,117,0,"United_Kingdom","UK","GBR",66488991
"11043","13/03/2020",13,3,2020,134,4,"United_Kingdom","UK","GBR",66488991
"11044","12/03/2020",12,3,2020,83,0,"United_Kingdom","UK","GBR",66488991
"11045","11/03/2020",11,3,2020,52,1,"United_Kingdom","UK","GBR",66488991
"11046","10/03/2020",10,3,2020,48,2,"United_Kingdom","UK","GBR",66488991
"11047","09/03/2020",9,3,2020,67,1,"United_Kingdom","UK","GBR",66488991
"11048","08/03/2020",8,3,2020,43,1,"United_Kingdom","UK","GBR",66488991
"11049","07/03/2020",7,3,2020,48,0,"United_Kingdom","UK","GBR",66488991
"11050","06/03/2020",6,3,2020,30,1,"United_Kingdom","UK","GBR",66488991
"11051","05/03/2020",5,3,2020,34,0,"United_Kingdom","UK","GBR",66488991
"11052","04/03/2020",4,3,2020,11,0,"United_Kingdom","UK","GBR",66488991
"11053","03/03/2020",3,3,2020,4,0,"United_Kingdom","UK","GBR",66488991
"11054","02/03/2020",2,3,2020,13,0,"United_Kingdom","UK","GBR",66488991
"11055","01/03/2020",1,3,2020,5,0,"United_Kingdom","UK","GBR",66488991
"11056","29/02/2020",29,2,2020,2,0,"United_Kingdom","UK","GBR",66488991
"11057","28/02/2020",28,2,2020,3,0,"United_Kingdom","UK","GBR",66488991
"11058","27/02/2020",27,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11059","26/02/2020",26,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11060","25/02/2020",25,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11061","24/02/2020",24,2,2020,4,0,"United_Kingdom","UK","GBR",66488991
"11062","23/02/2020",23,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11063","22/02/2020",22,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11064","21/02/2020",21,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11065","20/02/2020",20,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11066","19/02/2020",19,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11067","18/02/2020",18,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11068","17/02/2020",17,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11069","16/02/2020",16,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11070","15/02/2020",15,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11071","14/02/2020",14,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11072","13/02/2020",13,2,2020,1,0,"United_Kingdom","UK","GBR",66488991
"11073","12/02/2020",12,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11074","11/02/2020",11,2,2020,4,0,"United_Kingdom","UK","GBR",66488991
"11075","10/02/2020",10,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11076","09/02/2020",9,2,2020,1,0,"United_Kingdom","UK","GBR",66488991
"11077","08/02/2020",8,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11078","07/02/2020",7,2,2020,1,0,"United_Kingdom","UK","GBR",66488991
"11079","06/02/2020",6,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11080","05/02/2020",5,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11081","04/02/2020",4,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11082","03/02/2020",3,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11083","02/02/2020",2,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11084","01/02/2020",1,2,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11085","31/01/2020",31,1,2020,2,0,"United_Kingdom","UK","GBR",66488991
"11086","30/01/2020",30,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11087","29/01/2020",29,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11088","28/01/2020",28,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11089","27/01/2020",27,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11090","26/01/2020",26,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11091","25/01/2020",25,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11092","24/01/2020",24,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11093","23/01/2020",23,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11094","22/01/2020",22,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11095","21/01/2020",21,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11096","20/01/2020",20,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11097","19/01/2020",19,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11098","18/01/2020",18,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11099","17/01/2020",17,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11100","16/01/2020",16,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11101","15/01/2020",15,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11102","14/01/2020",14,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11103","13/01/2020",13,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11104","12/01/2020",12,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11105","11/01/2020",11,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11106","10/01/2020",10,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11107","09/01/2020",9,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11108","08/01/2020",8,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11109","07/01/2020",7,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11110","06/01/2020",6,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11111","05/01/2020",5,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11112","04/01/2020",4,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11113","03/01/2020",3,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11114","02/01/2020",2,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11115","01/01/2020",1,1,2020,0,0,"United_Kingdom","UK","GBR",66488991
"11116","31/12/2019",31,12,2019,0,0,"United_Kingdom","UK","GBR",66488991
