"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11320","18/04/2020",18,4,2020,70,0,"Uzbekistan","UZ","UZB",32955400
"11321","17/04/2020",17,4,2020,78,0,"Uzbekistan","UZ","UZB",32955400
"11322","16/04/2020",16,4,2020,137,0,"Uzbekistan","UZ","UZB",32955400
"11323","15/04/2020",15,4,2020,167,0,"Uzbekistan","UZ","UZB",32955400
"11324","14/04/2020",14,4,2020,133,0,"Uzbekistan","UZ","UZB",32955400
"11325","13/04/2020",13,4,2020,69,0,"Uzbekistan","UZ","UZB",32955400
"11326","12/04/2020",12,4,2020,172,1,"Uzbekistan","UZ","UZB",32955400
"11327","11/04/2020",11,4,2020,42,0,"Uzbekistan","UZ","UZB",32955400
"11328","10/04/2020",10,4,2020,27,0,"Uzbekistan","UZ","UZB",32955400
"11329","09/04/2020",9,4,2020,51,1,"Uzbekistan","UZ","UZB",32955400
"11330","08/04/2020",8,4,2020,107,0,"Uzbekistan","UZ","UZB",32955400
"11331","07/04/2020",7,4,2020,55,0,"Uzbekistan","UZ","UZB",32955400
"11332","06/04/2020",6,4,2020,76,0,"Uzbekistan","UZ","UZB",32955400
"11333","05/04/2020",5,4,2020,39,0,"Uzbekistan","UZ","UZB",32955400
"11334","04/04/2020",4,4,2020,37,0,"Uzbekistan","UZ","UZB",32955400
"11335","03/04/2020",3,4,2020,3,0,"Uzbekistan","UZ","UZB",32955400
"11336","02/04/2020",2,4,2020,14,0,"Uzbekistan","UZ","UZB",32955400
"11337","01/04/2020",1,4,2020,24,0,"Uzbekistan","UZ","UZB",32955400
"11338","31/03/2020",31,3,2020,4,1,"Uzbekistan","UZ","UZB",32955400
"11339","30/03/2020",30,3,2020,12,0,"Uzbekistan","UZ","UZB",32955400
"11340","29/03/2020",29,3,2020,29,1,"Uzbekistan","UZ","UZB",32955400
"11341","28/03/2020",28,3,2020,21,0,"Uzbekistan","UZ","UZB",32955400
"11342","27/03/2020",27,3,2020,18,0,"Uzbekistan","UZ","UZB",32955400
"11343","26/03/2020",26,3,2020,10,0,"Uzbekistan","UZ","UZB",32955400
"11344","25/03/2020",25,3,2020,6,0,"Uzbekistan","UZ","UZB",32955400
"11345","24/03/2020",24,3,2020,3,0,"Uzbekistan","UZ","UZB",32955400
"11346","23/03/2020",23,3,2020,13,0,"Uzbekistan","UZ","UZB",32955400
"11347","22/03/2020",22,3,2020,0,0,"Uzbekistan","UZ","UZB",32955400
"11348","21/03/2020",21,3,2020,10,0,"Uzbekistan","UZ","UZB",32955400
"11349","20/03/2020",20,3,2020,0,0,"Uzbekistan","UZ","UZB",32955400
"11350","19/03/2020",19,3,2020,7,0,"Uzbekistan","UZ","UZB",32955400
"11351","18/03/2020",18,3,2020,8,0,"Uzbekistan","UZ","UZB",32955400
"11352","17/03/2020",17,3,2020,2,0,"Uzbekistan","UZ","UZB",32955400
"11353","16/03/2020",16,3,2020,6,0,"Uzbekistan","UZ","UZB",32955400
