"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11354","18/04/2020",18,4,2020,23,0,"Venezuela","VE","VEN",28870195
"11355","17/04/2020",17,4,2020,7,0,"Venezuela","VE","VEN",28870195
"11356","16/04/2020",16,4,2020,4,0,"Venezuela","VE","VEN",28870195
"11357","15/04/2020",15,4,2020,4,0,"Venezuela","VE","VEN",28870195
"11358","14/04/2020",14,4,2020,8,0,"Venezuela","VE","VEN",28870195
"11359","13/04/2020",13,4,2020,6,0,"Venezuela","VE","VEN",28870195
"11360","12/04/2020",12,4,2020,0,0,"Venezuela","VE","VEN",28870195
"11361","11/04/2020",11,4,2020,4,0,"Venezuela","VE","VEN",28870195
"11362","10/04/2020",10,4,2020,4,1,"Venezuela","VE","VEN",28870195
"11363","09/04/2020",9,4,2020,1,1,"Venezuela","VE","VEN",28870195
"11364","08/04/2020",8,4,2020,7,2,"Venezuela","VE","VEN",28870195
"11365","07/04/2020",7,4,2020,11,0,"Venezuela","VE","VEN",28870195
"11366","06/04/2020",6,4,2020,4,0,"Venezuela","VE","VEN",28870195
"11367","05/04/2020",5,4,2020,0,2,"Venezuela","VE","VEN",28870195
"11368","04/04/2020",4,4,2020,0,0,"Venezuela","VE","VEN",28870195
"11369","03/04/2020",3,4,2020,1,0,"Venezuela","VE","VEN",28870195
"11370","02/04/2020",2,4,2020,8,0,"Venezuela","VE","VEN",28870195
"11371","01/04/2020",1,4,2020,0,0,"Venezuela","VE","VEN",28870195
"11372","31/03/2020",31,3,2020,16,2,"Venezuela","VE","VEN",28870195
"11373","30/03/2020",30,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11374","29/03/2020",29,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11375","28/03/2020",28,3,2020,12,0,"Venezuela","VE","VEN",28870195
"11376","27/03/2020",27,3,2020,1,1,"Venezuela","VE","VEN",28870195
"11377","26/03/2020",26,3,2020,15,0,"Venezuela","VE","VEN",28870195
"11378","25/03/2020",25,3,2020,7,0,"Venezuela","VE","VEN",28870195
"11379","24/03/2020",24,3,2020,48,0,"Venezuela","VE","VEN",28870195
"11380","23/03/2020",23,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11381","22/03/2020",22,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11382","21/03/2020",21,3,2020,3,0,"Venezuela","VE","VEN",28870195
"11383","20/03/2020",20,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11384","19/03/2020",19,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11385","18/03/2020",18,3,2020,0,0,"Venezuela","VE","VEN",28870195
"11386","17/03/2020",17,3,2020,18,0,"Venezuela","VE","VEN",28870195
"11387","16/03/2020",16,3,2020,5,0,"Venezuela","VE","VEN",28870195
"11388","15/03/2020",15,3,2020,10,0,"Venezuela","VE","VEN",28870195
