"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11389","18/04/2020",18,4,2020,1,0,"Vietnam","VN","VNM",95540395
"11390","17/04/2020",17,4,2020,0,0,"Vietnam","VN","VNM",95540395
"11391","16/04/2020",16,4,2020,1,0,"Vietnam","VN","VNM",95540395
"11392","15/04/2020",15,4,2020,9,0,"Vietnam","VN","VNM",95540395
"11393","14/04/2020",14,4,2020,3,0,"Vietnam","VN","VNM",95540395
"11394","13/04/2020",13,4,2020,4,0,"Vietnam","VN","VNM",95540395
"11395","12/04/2020",12,4,2020,1,0,"Vietnam","VN","VNM",95540395
"11396","11/04/2020",11,4,2020,2,0,"Vietnam","VN","VNM",95540395
"11397","10/04/2020",10,4,2020,4,0,"Vietnam","VN","VNM",95540395
"11398","09/04/2020",9,4,2020,0,0,"Vietnam","VN","VNM",95540395
"11399","08/04/2020",8,4,2020,6,0,"Vietnam","VN","VNM",95540395
"11400","07/04/2020",7,4,2020,4,0,"Vietnam","VN","VNM",95540395
"11401","06/04/2020",6,4,2020,1,0,"Vietnam","VN","VNM",95540395
"11402","05/04/2020",5,4,2020,1,0,"Vietnam","VN","VNM",95540395
"11403","04/04/2020",4,4,2020,0,0,"Vietnam","VN","VNM",95540395
"11404","03/04/2020",3,4,2020,4,0,"Vietnam","VN","VNM",95540395
"11405","02/04/2020",2,4,2020,6,0,"Vietnam","VN","VNM",95540395
"11406","01/04/2020",1,4,2020,0,0,"Vietnam","VN","VNM",95540395
"11407","31/03/2020",31,3,2020,1,0,"Vietnam","VN","VNM",95540395
"11408","30/03/2020",30,3,2020,5,0,"Vietnam","VN","VNM",95540395
"11409","29/03/2020",29,3,2020,54,0,"Vietnam","VN","VNM",95540395
"11410","28/03/2020",28,3,2020,16,0,"Vietnam","VN","VNM",95540395
"11411","27/03/2020",27,3,2020,5,0,"Vietnam","VN","VNM",95540395
"11412","26/03/2020",26,3,2020,14,0,"Vietnam","VN","VNM",95540395
"11413","25/03/2020",25,3,2020,11,0,"Vietnam","VN","VNM",95540395
"11414","24/03/2020",24,3,2020,5,0,"Vietnam","VN","VNM",95540395
"11415","23/03/2020",23,3,2020,24,0,"Vietnam","VN","VNM",95540395
"11416","22/03/2020",22,3,2020,7,0,"Vietnam","VN","VNM",95540395
"11417","21/03/2020",21,3,2020,2,0,"Vietnam","VN","VNM",95540395
"11418","20/03/2020",20,3,2020,9,0,"Vietnam","VN","VNM",95540395
"11419","19/03/2020",19,3,2020,15,0,"Vietnam","VN","VNM",95540395
"11420","18/03/2020",18,3,2020,0,0,"Vietnam","VN","VNM",95540395
"11421","17/03/2020",17,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11422","16/03/2020",16,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11423","15/03/2020",15,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11424","14/03/2020",14,3,2020,5,0,"Vietnam","VN","VNM",95540395
"11425","13/03/2020",13,3,2020,5,0,"Vietnam","VN","VNM",95540395
"11426","12/03/2020",12,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11427","11/03/2020",11,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11428","10/03/2020",10,3,2020,1,0,"Vietnam","VN","VNM",95540395
"11429","09/03/2020",9,3,2020,9,0,"Vietnam","VN","VNM",95540395
"11430","08/03/2020",8,3,2020,4,0,"Vietnam","VN","VNM",95540395
"11431","07/03/2020",7,3,2020,1,0,"Vietnam","VN","VNM",95540395
"11432","02/03/2020",2,3,2020,0,0,"Vietnam","VN","VNM",95540395
"11433","01/03/2020",1,3,2020,0,0,"Vietnam","VN","VNM",95540395
"11434","29/02/2020",29,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11435","28/02/2020",28,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11436","27/02/2020",27,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11437","26/02/2020",26,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11438","25/02/2020",25,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11439","24/02/2020",24,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11440","23/02/2020",23,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11441","22/02/2020",22,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11442","21/02/2020",21,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11443","20/02/2020",20,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11444","19/02/2020",19,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11445","18/02/2020",18,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11446","17/02/2020",17,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11447","16/02/2020",16,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11448","15/02/2020",15,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11449","14/02/2020",14,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11450","13/02/2020",13,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11451","12/02/2020",12,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11452","11/02/2020",11,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11453","10/02/2020",10,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11454","09/02/2020",9,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11455","08/02/2020",8,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11456","07/02/2020",7,2,2020,2,0,"Vietnam","VN","VNM",95540395
"11457","06/02/2020",6,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11458","05/02/2020",5,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11459","04/02/2020",4,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11460","03/02/2020",3,2,2020,1,0,"Vietnam","VN","VNM",95540395
"11461","02/02/2020",2,2,2020,2,0,"Vietnam","VN","VNM",95540395
"11462","01/02/2020",1,2,2020,0,0,"Vietnam","VN","VNM",95540395
"11463","31/01/2020",31,1,2020,3,0,"Vietnam","VN","VNM",95540395
"11464","30/01/2020",30,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11465","29/01/2020",29,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11466","28/01/2020",28,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11467","27/01/2020",27,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11468","26/01/2020",26,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11469","25/01/2020",25,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11470","24/01/2020",24,1,2020,2,0,"Vietnam","VN","VNM",95540395
"11471","23/01/2020",23,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11472","22/01/2020",22,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11473","21/01/2020",21,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11474","20/01/2020",20,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11475","19/01/2020",19,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11476","18/01/2020",18,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11477","17/01/2020",17,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11478","16/01/2020",16,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11479","15/01/2020",15,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11480","14/01/2020",14,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11481","13/01/2020",13,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11482","12/01/2020",12,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11483","11/01/2020",11,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11484","10/01/2020",10,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11485","09/01/2020",9,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11486","08/01/2020",8,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11487","07/01/2020",7,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11488","06/01/2020",6,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11489","05/01/2020",5,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11490","04/01/2020",4,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11491","03/01/2020",3,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11492","02/01/2020",2,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11493","01/01/2020",1,1,2020,0,0,"Vietnam","VN","VNM",95540395
"11494","31/12/2019",31,12,2019,0,0,"Vietnam","VN","VNM",95540395
