"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11535","18/04/2020",18,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11536","17/04/2020",17,4,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11537","16/04/2020",16,4,2020,6,0,"Zimbabwe","ZW","ZWE",14439018
"11538","15/04/2020",15,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11539","14/04/2020",14,4,2020,3,0,"Zimbabwe","ZW","ZWE",14439018
"11540","13/04/2020",13,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11541","12/04/2020",12,4,2020,3,0,"Zimbabwe","ZW","ZWE",14439018
"11542","11/04/2020",11,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11543","10/04/2020",10,4,2020,0,1,"Zimbabwe","ZW","ZWE",14439018
"11544","09/04/2020",9,4,2020,1,1,"Zimbabwe","ZW","ZWE",14439018
"11545","08/04/2020",8,4,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11546","07/04/2020",7,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11547","06/04/2020",6,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11548","05/04/2020",5,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11549","04/04/2020",4,4,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11550","03/04/2020",3,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11551","02/04/2020",2,4,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11552","01/04/2020",1,4,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11553","31/03/2020",31,3,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11554","30/03/2020",30,3,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11555","29/03/2020",29,3,2020,2,0,"Zimbabwe","ZW","ZWE",14439018
"11556","28/03/2020",28,3,2020,2,0,"Zimbabwe","ZW","ZWE",14439018
"11557","27/03/2020",27,3,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11558","26/03/2020",26,3,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11559","25/03/2020",25,3,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11560","24/03/2020",24,3,2020,0,1,"Zimbabwe","ZW","ZWE",14439018
"11561","23/03/2020",23,3,2020,0,0,"Zimbabwe","ZW","ZWE",14439018
"11562","22/03/2020",22,3,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
"11563","21/03/2020",21,3,2020,1,0,"Zimbabwe","ZW","ZWE",14439018
