"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"247","18/04/2020",18,4,2020,14,2,"Andorra","AD","AND",77006
"248","17/04/2020",17,4,2020,9,0,"Andorra","AD","AND",77006
"249","16/04/2020",16,4,2020,14,2,"Andorra","AD","AND",77006
"250","15/04/2020",15,4,2020,13,2,"Andorra","AD","AND",77006
"251","14/04/2020",14,4,2020,8,0,"Andorra","AD","AND",77006
"252","13/04/2020",13,4,2020,16,1,"Andorra","AD","AND",77006
"253","12/04/2020",12,4,2020,21,2,"Andorra","AD","AND",77006
"254","11/04/2020",11,4,2020,18,1,"Andorra","AD","AND",77006
"255","10/04/2020",10,4,2020,19,2,"Andorra","AD","AND",77006
"256","09/04/2020",9,4,2020,19,1,"Andorra","AD","AND",77006
"257","08/04/2020",8,4,2020,19,1,"Andorra","AD","AND",77006
"258","07/04/2020",7,4,2020,25,3,"Andorra","AD","AND",77006
"259","06/04/2020",6,4,2020,35,1,"Andorra","AD","AND",77006
"260","05/04/2020",5,4,2020,27,1,"Andorra","AD","AND",77006
"261","04/04/2020",4,4,2020,11,1,"Andorra","AD","AND",77006
"262","03/04/2020",3,4,2020,38,1,"Andorra","AD","AND",77006
"263","02/04/2020",2,4,2020,14,2,"Andorra","AD","AND",77006
"264","01/04/2020",1,4,2020,6,4,"Andorra","AD","AND",77006
"265","31/03/2020",31,3,2020,36,2,"Andorra","AD","AND",77006
"266","30/03/2020",30,3,2020,26,2,"Andorra","AD","AND",77006
"267","29/03/2020",29,3,2020,41,1,"Andorra","AD","AND",77006
"268","28/03/2020",28,3,2020,43,0,"Andorra","AD","AND",77006
"269","27/03/2020",27,3,2020,36,3,"Andorra","AD","AND",77006
"270","26/03/2020",26,3,2020,24,0,"Andorra","AD","AND",77006
"271","25/03/2020",25,3,2020,31,0,"Andorra","AD","AND",77006
"272","24/03/2020",24,3,2020,20,0,"Andorra","AD","AND",77006
"273","23/03/2020",23,3,2020,25,0,"Andorra","AD","AND",77006
"274","22/03/2020",22,3,2020,13,0,"Andorra","AD","AND",77006
"275","21/03/2020",21,3,2020,0,0,"Andorra","AD","AND",77006
"276","20/03/2020",20,3,2020,22,0,"Andorra","AD","AND",77006
"277","19/03/2020",19,3,2020,39,0,"Andorra","AD","AND",77006
"278","18/03/2020",18,3,2020,0,0,"Andorra","AD","AND",77006
"279","17/03/2020",17,3,2020,9,0,"Andorra","AD","AND",77006
"280","16/03/2020",16,3,2020,3,0,"Andorra","AD","AND",77006
"281","14/03/2020",14,3,2020,1,0,"Andorra","AD","AND",77006
"282","03/03/2020",3,3,2020,1,0,"Andorra","AD","AND",77006
