"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"334","18/04/2020",18,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"335","17/04/2020",17,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"336","16/04/2020",16,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"337","15/04/2020",15,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"338","14/04/2020",14,4,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"339","13/04/2020",13,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"340","12/04/2020",12,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"341","11/04/2020",11,4,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"342","10/04/2020",10,4,2020,4,2,"Antigua_and_Barbuda","AG","ATG",96286
"343","09/04/2020",9,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"344","08/04/2020",8,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"345","07/04/2020",7,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"346","06/04/2020",6,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"347","05/04/2020",5,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"348","04/04/2020",4,4,2020,6,0,"Antigua_and_Barbuda","AG","ATG",96286
"349","03/04/2020",3,4,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"350","02/04/2020",2,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"351","01/04/2020",1,4,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"352","31/03/2020",31,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"353","30/03/2020",30,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"354","29/03/2020",29,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"355","28/03/2020",28,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"356","27/03/2020",27,3,2020,4,0,"Antigua_and_Barbuda","AG","ATG",96286
"357","26/03/2020",26,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"358","25/03/2020",25,3,2020,2,0,"Antigua_and_Barbuda","AG","ATG",96286
"359","24/03/2020",24,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"360","23/03/2020",23,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"361","22/03/2020",22,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"362","21/03/2020",21,3,2020,0,0,"Antigua_and_Barbuda","AG","ATG",96286
"363","15/03/2020",15,3,2020,1,0,"Antigua_and_Barbuda","AG","ATG",96286
