"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"508","18/04/2020",18,4,2020,1,1,"Aruba","AW","ABW",105845
"509","17/04/2020",17,4,2020,2,0,"Aruba","AW","ABW",105845
"510","16/04/2020",16,4,2020,1,1,"Aruba","AW","ABW",105845
"511","15/04/2020",15,4,2020,0,0,"Aruba","AW","ABW",105845
"512","14/04/2020",14,4,2020,0,0,"Aruba","AW","ABW",105845
"513","13/04/2020",13,4,2020,0,0,"Aruba","AW","ABW",105845
"514","12/04/2020",12,4,2020,6,0,"Aruba","AW","ABW",105845
"515","11/04/2020",11,4,2020,4,0,"Aruba","AW","ABW",105845
"516","10/04/2020",10,4,2020,5,0,"Aruba","AW","ABW",105845
"517","09/04/2020",9,4,2020,3,0,"Aruba","AW","ABW",105845
"518","08/04/2020",8,4,2020,3,0,"Aruba","AW","ABW",105845
"519","07/04/2020",7,4,2020,7,0,"Aruba","AW","ABW",105845
"520","06/04/2020",6,4,2020,0,0,"Aruba","AW","ABW",105845
"521","05/04/2020",5,4,2020,2,0,"Aruba","AW","ABW",105845
"522","04/04/2020",4,4,2020,2,0,"Aruba","AW","ABW",105845
"523","03/04/2020",3,4,2020,5,0,"Aruba","AW","ABW",105845
"524","02/04/2020",2,4,2020,0,0,"Aruba","AW","ABW",105845
"525","01/04/2020",1,4,2020,5,0,"Aruba","AW","ABW",105845
"526","30/03/2020",30,3,2020,22,0,"Aruba","AW","ABW",105845
"527","29/03/2020",29,3,2020,0,0,"Aruba","AW","ABW",105845
"528","28/03/2020",28,3,2020,0,0,"Aruba","AW","ABW",105845
"529","27/03/2020",27,3,2020,9,0,"Aruba","AW","ABW",105845
"530","26/03/2020",26,3,2020,2,0,"Aruba","AW","ABW",105845
"531","25/03/2020",25,3,2020,5,0,"Aruba","AW","ABW",105845
"532","24/03/2020",24,3,2020,8,0,"Aruba","AW","ABW",105845
"533","20/03/2020",20,3,2020,2,0,"Aruba","AW","ABW",105845
"534","13/03/2020",13,3,2020,2,0,"Aruba","AW","ABW",105845
