"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"535","18/04/2020",18,4,2020,36,4,"Australia","AU","AUS",24992369
"536","17/04/2020",17,4,2020,39,0,"Australia","AU","AUS",24992369
"537","16/04/2020",16,4,2020,42,2,"Australia","AU","AUS",24992369
"538","15/04/2020",15,4,2020,50,0,"Australia","AU","AUS",24992369
"539","14/04/2020",14,4,2020,44,0,"Australia","AU","AUS",24992369
"540","13/04/2020",13,4,2020,33,4,"Australia","AU","AUS",24992369
"541","12/04/2020",12,4,2020,51,3,"Australia","AU","AUS",24992369
"542","11/04/2020",11,4,2020,86,2,"Australia","AU","AUS",24992369
"543","10/04/2020",10,4,2020,100,2,"Australia","AU","AUS",24992369
"544","09/04/2020",9,4,2020,96,5,"Australia","AU","AUS",24992369
"545","08/04/2020",8,4,2020,112,3,"Australia","AU","AUS",24992369
"546","07/04/2020",7,4,2020,100,6,"Australia","AU","AUS",24992369
"547","06/04/2020",6,4,2020,57,2,"Australia","AU","AUS",24992369
"548","05/04/2020",5,4,2020,139,4,"Australia","AU","AUS",24992369
"549","04/04/2020",4,4,2020,324,7,"Australia","AU","AUS",24992369
"550","03/04/2020",3,4,2020,248,2,"Australia","AU","AUS",24992369
"551","02/04/2020",2,4,2020,269,1,"Australia","AU","AUS",24992369
"552","01/04/2020",1,4,2020,150,1,"Australia","AU","AUS",24992369
"553","31/03/2020",31,3,2020,464,3,"Australia","AU","AUS",24992369
"554","30/03/2020",30,3,2020,284,2,"Australia","AU","AUS",24992369
"555","29/03/2020",29,3,2020,431,1,"Australia","AU","AUS",24992369
"556","28/03/2020",28,3,2020,212,0,"Australia","AU","AUS",24992369
"557","27/03/2020",27,3,2020,367,2,"Australia","AU","AUS",24992369
"558","26/03/2020",26,3,2020,376,3,"Australia","AU","AUS",24992369
"559","25/03/2020",25,3,2020,600,1,"Australia","AU","AUS",24992369
"560","24/03/2020",24,3,2020,114,0,"Australia","AU","AUS",24992369
"561","23/03/2020",23,3,2020,611,0,"Australia","AU","AUS",24992369
"562","22/03/2020",22,3,2020,224,0,"Australia","AU","AUS",24992369
"563","21/03/2020",21,3,2020,165,1,"Australia","AU","AUS",24992369
"564","20/03/2020",20,3,2020,144,0,"Australia","AU","AUS",24992369
"565","19/03/2020",19,3,2020,111,1,"Australia","AU","AUS",24992369
"566","18/03/2020",18,3,2020,79,0,"Australia","AU","AUS",24992369
"567","17/03/2020",17,3,2020,77,0,"Australia","AU","AUS",24992369
"568","16/03/2020",16,3,2020,49,2,"Australia","AU","AUS",24992369
"569","15/03/2020",15,3,2020,52,0,"Australia","AU","AUS",24992369
"570","14/03/2020",14,3,2020,41,0,"Australia","AU","AUS",24992369
"571","13/03/2020",13,3,2020,30,0,"Australia","AU","AUS",24992369
"572","12/03/2020",12,3,2020,14,0,"Australia","AU","AUS",24992369
"573","11/03/2020",11,3,2020,12,0,"Australia","AU","AUS",24992369
"574","10/03/2020",10,3,2020,20,0,"Australia","AU","AUS",24992369
"575","09/03/2020",9,3,2020,6,0,"Australia","AU","AUS",24992369
"576","08/03/2020",8,3,2020,11,1,"Australia","AU","AUS",24992369
"577","07/03/2020",7,3,2020,4,0,"Australia","AU","AUS",24992369
"578","06/03/2020",6,3,2020,7,0,"Australia","AU","AUS",24992369
"579","05/03/2020",5,3,2020,11,1,"Australia","AU","AUS",24992369
"580","04/03/2020",4,3,2020,8,0,"Australia","AU","AUS",24992369
"581","03/03/2020",3,3,2020,4,0,"Australia","AU","AUS",24992369
"582","02/03/2020",2,3,2020,3,0,"Australia","AU","AUS",24992369
"583","01/03/2020",1,3,2020,1,1,"Australia","AU","AUS",24992369
"584","29/02/2020",29,2,2020,2,0,"Australia","AU","AUS",24992369
"585","28/02/2020",28,2,2020,0,0,"Australia","AU","AUS",24992369
"586","27/02/2020",27,2,2020,1,0,"Australia","AU","AUS",24992369
"587","26/02/2020",26,2,2020,0,0,"Australia","AU","AUS",24992369
"588","25/02/2020",25,2,2020,0,0,"Australia","AU","AUS",24992369
"589","24/02/2020",24,2,2020,0,0,"Australia","AU","AUS",24992369
"590","23/02/2020",23,2,2020,1,0,"Australia","AU","AUS",24992369
"591","22/02/2020",22,2,2020,4,0,"Australia","AU","AUS",24992369
"592","21/02/2020",21,2,2020,2,0,"Australia","AU","AUS",24992369
"593","20/02/2020",20,2,2020,0,0,"Australia","AU","AUS",24992369
