"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"645","18/04/2020",18,4,2020,155,21,"Austria","AT","AUT",8847037
"646","17/04/2020",17,4,2020,78,17,"Austria","AT","AUT",8847037
"647","16/04/2020",16,4,2020,136,9,"Austria","AT","AUT",8847037
"648","15/04/2020",15,4,2020,191,16,"Austria","AT","AUT",8847037
"649","14/04/2020",14,4,2020,106,18,"Austria","AT","AUT",8847037
"650","13/04/2020",13,4,2020,130,13,"Austria","AT","AUT",8847037
"651","12/04/2020",12,4,2020,247,18,"Austria","AT","AUT",8847037
"652","11/04/2020",11,4,2020,312,24,"Austria","AT","AUT",8847037
"653","10/04/2020",10,4,2020,279,22,"Austria","AT","AUT",8847037
"654","09/04/2020",9,4,2020,329,30,"Austria","AT","AUT",8847037
"655","08/04/2020",8,4,2020,343,23,"Austria","AT","AUT",8847037
"656","07/04/2020",7,4,2020,314,16,"Austria","AT","AUT",8847037
"657","06/04/2020",6,4,2020,217,18,"Austria","AT","AUT",8847037
"658","05/04/2020",5,4,2020,241,18,"Austria","AT","AUT",8847037
"659","04/04/2020",4,4,2020,396,10,"Austria","AT","AUT",8847037
"660","03/04/2020",3,4,2020,418,12,"Austria","AT","AUT",8847037
"661","02/04/2020",2,4,2020,529,18,"Austria","AT","AUT",8847037
"662","01/04/2020",1,4,2020,564,20,"Austria","AT","AUT",8847037
"663","31/03/2020",31,3,2020,805,22,"Austria","AT","AUT",8847037
"664","30/03/2020",30,3,2020,522,18,"Austria","AT","AUT",8847037
"665","29/03/2020",29,3,2020,594,0,"Austria","AT","AUT",8847037
"666","28/03/2020",28,3,2020,668,16,"Austria","AT","AUT",8847037
"667","27/03/2020",27,3,2020,1141,18,"Austria","AT","AUT",8847037
"668","26/03/2020",26,3,2020,606,4,"Austria","AT","AUT",8847037
"669","25/03/2020",25,3,2020,796,5,"Austria","AT","AUT",8847037
"670","24/03/2020",24,3,2020,855,9,"Austria","AT","AUT",8847037
"671","23/03/2020",23,3,2020,607,8,"Austria","AT","AUT",8847037
"672","22/03/2020",22,3,2020,375,2,"Austria","AT","AUT",8847037
"673","21/03/2020",21,3,2020,453,0,"Austria","AT","AUT",8847037
"674","20/03/2020",20,3,2020,550,2,"Austria","AT","AUT",8847037
"675","19/03/2020",19,3,2020,314,1,"Austria","AT","AUT",8847037
"676","18/03/2020",18,3,2020,316,0,"Austria","AT","AUT",8847037
"677","17/03/2020",17,3,2020,156,2,"Austria","AT","AUT",8847037
"678","16/03/2020",16,3,2020,205,0,"Austria","AT","AUT",8847037
"679","15/03/2020",15,3,2020,151,0,"Austria","AT","AUT",8847037
"680","14/03/2020",14,3,2020,143,0,"Austria","AT","AUT",8847037
"681","13/03/2020",13,3,2020,115,1,"Austria","AT","AUT",8847037
"682","12/03/2020",12,3,2020,64,0,"Austria","AT","AUT",8847037
"683","11/03/2020",11,3,2020,51,0,"Austria","AT","AUT",8847037
"684","10/03/2020",10,3,2020,29,0,"Austria","AT","AUT",8847037
"685","09/03/2020",9,3,2020,3,0,"Austria","AT","AUT",8847037
"686","08/03/2020",8,3,2020,25,0,"Austria","AT","AUT",8847037
"687","07/03/2020",7,3,2020,33,0,"Austria","AT","AUT",8847037
"688","06/03/2020",6,3,2020,12,0,"Austria","AT","AUT",8847037
"689","05/03/2020",5,3,2020,5,0,"Austria","AT","AUT",8847037
"690","04/03/2020",4,3,2020,6,0,"Austria","AT","AUT",8847037
"691","03/03/2020",3,3,2020,4,0,"Austria","AT","AUT",8847037
"692","02/03/2020",2,3,2020,4,0,"Austria","AT","AUT",8847037
"693","01/03/2020",1,3,2020,3,0,"Austria","AT","AUT",8847037
"694","29/02/2020",29,2,2020,2,0,"Austria","AT","AUT",8847037
"695","28/02/2020",28,2,2020,3,0,"Austria","AT","AUT",8847037
"696","27/02/2020",27,2,2020,0,0,"Austria","AT","AUT",8847037
"697","26/02/2020",26,2,2020,2,0,"Austria","AT","AUT",8847037
"698","25/02/2020",25,2,2020,0,0,"Austria","AT","AUT",8847037
"699","24/02/2020",24,2,2020,0,0,"Austria","AT","AUT",8847037
"700","23/02/2020",23,2,2020,0,0,"Austria","AT","AUT",8847037
"701","22/02/2020",22,2,2020,0,0,"Austria","AT","AUT",8847037
"702","21/02/2020",21,2,2020,0,0,"Austria","AT","AUT",8847037
"703","20/02/2020",20,2,2020,0,0,"Austria","AT","AUT",8847037
"704","19/02/2020",19,2,2020,0,0,"Austria","AT","AUT",8847037
"705","18/02/2020",18,2,2020,0,0,"Austria","AT","AUT",8847037
"706","17/02/2020",17,2,2020,0,0,"Austria","AT","AUT",8847037
"707","16/02/2020",16,2,2020,0,0,"Austria","AT","AUT",8847037
"708","15/02/2020",15,2,2020,0,0,"Austria","AT","AUT",8847037
"709","14/02/2020",14,2,2020,0,0,"Austria","AT","AUT",8847037
"710","13/02/2020",13,2,2020,0,0,"Austria","AT","AUT",8847037
"711","12/02/2020",12,2,2020,0,0,"Austria","AT","AUT",8847037
"712","11/02/2020",11,2,2020,0,0,"Austria","AT","AUT",8847037
"713","10/02/2020",10,2,2020,0,0,"Austria","AT","AUT",8847037
"714","09/02/2020",9,2,2020,0,0,"Austria","AT","AUT",8847037
"715","08/02/2020",8,2,2020,0,0,"Austria","AT","AUT",8847037
"716","07/02/2020",7,2,2020,0,0,"Austria","AT","AUT",8847037
"717","06/02/2020",6,2,2020,0,0,"Austria","AT","AUT",8847037
"718","05/02/2020",5,2,2020,0,0,"Austria","AT","AUT",8847037
"719","04/02/2020",4,2,2020,0,0,"Austria","AT","AUT",8847037
"720","03/02/2020",3,2,2020,0,0,"Austria","AT","AUT",8847037
"721","02/02/2020",2,2,2020,0,0,"Austria","AT","AUT",8847037
"722","01/02/2020",1,2,2020,0,0,"Austria","AT","AUT",8847037
"723","31/01/2020",31,1,2020,0,0,"Austria","AT","AUT",8847037
"724","30/01/2020",30,1,2020,0,0,"Austria","AT","AUT",8847037
"725","29/01/2020",29,1,2020,0,0,"Austria","AT","AUT",8847037
"726","28/01/2020",28,1,2020,0,0,"Austria","AT","AUT",8847037
"727","27/01/2020",27,1,2020,0,0,"Austria","AT","AUT",8847037
"728","26/01/2020",26,1,2020,0,0,"Austria","AT","AUT",8847037
"729","25/01/2020",25,1,2020,0,0,"Austria","AT","AUT",8847037
"730","24/01/2020",24,1,2020,0,0,"Austria","AT","AUT",8847037
"731","23/01/2020",23,1,2020,0,0,"Austria","AT","AUT",8847037
"732","22/01/2020",22,1,2020,0,0,"Austria","AT","AUT",8847037
"733","21/01/2020",21,1,2020,0,0,"Austria","AT","AUT",8847037
"734","20/01/2020",20,1,2020,0,0,"Austria","AT","AUT",8847037
"735","19/01/2020",19,1,2020,0,0,"Austria","AT","AUT",8847037
"736","18/01/2020",18,1,2020,0,0,"Austria","AT","AUT",8847037
"737","17/01/2020",17,1,2020,0,0,"Austria","AT","AUT",8847037
"738","16/01/2020",16,1,2020,0,0,"Austria","AT","AUT",8847037
"739","15/01/2020",15,1,2020,0,0,"Austria","AT","AUT",8847037
"740","14/01/2020",14,1,2020,0,0,"Austria","AT","AUT",8847037
"741","13/01/2020",13,1,2020,0,0,"Austria","AT","AUT",8847037
"742","12/01/2020",12,1,2020,0,0,"Austria","AT","AUT",8847037
"743","11/01/2020",11,1,2020,0,0,"Austria","AT","AUT",8847037
"744","10/01/2020",10,1,2020,0,0,"Austria","AT","AUT",8847037
"745","09/01/2020",9,1,2020,0,0,"Austria","AT","AUT",8847037
"746","08/01/2020",8,1,2020,0,0,"Austria","AT","AUT",8847037
"747","07/01/2020",7,1,2020,0,0,"Austria","AT","AUT",8847037
"748","06/01/2020",6,1,2020,0,0,"Austria","AT","AUT",8847037
"749","05/01/2020",5,1,2020,0,0,"Austria","AT","AUT",8847037
"750","04/01/2020",4,1,2020,0,0,"Austria","AT","AUT",8847037
"751","03/01/2020",3,1,2020,0,0,"Austria","AT","AUT",8847037
