"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"890","18/04/2020",18,4,2020,44,0,"Bahrain","BH","BHR",1569439
"891","17/04/2020",17,4,2020,27,0,"Bahrain","BH","BHR",1569439
"892","16/04/2020",16,4,2020,145,0,"Bahrain","BH","BHR",1569439
"893","15/04/2020",15,4,2020,167,0,"Bahrain","BH","BHR",1569439
"894","14/04/2020",14,4,2020,225,1,"Bahrain","BH","BHR",1569439
"895","13/04/2020",13,4,2020,96,0,"Bahrain","BH","BHR",1569439
"896","12/04/2020",12,4,2020,42,0,"Bahrain","BH","BHR",1569439
"897","11/04/2020",11,4,2020,111,1,"Bahrain","BH","BHR",1569439
"898","10/04/2020",10,4,2020,64,0,"Bahrain","BH","BHR",1569439
"899","09/04/2020",9,4,2020,12,0,"Bahrain","BH","BHR",1569439
"900","08/04/2020",8,4,2020,55,1,"Bahrain","BH","BHR",1569439
"901","07/04/2020",7,4,2020,56,0,"Bahrain","BH","BHR",1569439
"902","06/04/2020",6,4,2020,12,0,"Bahrain","BH","BHR",1569439
"903","05/04/2020",5,4,2020,45,0,"Bahrain","BH","BHR",1569439
"904","04/04/2020",4,4,2020,0,0,"Bahrain","BH","BHR",1569439
"905","03/04/2020",3,4,2020,74,0,"Bahrain","BH","BHR",1569439
"906","02/04/2020",2,4,2020,2,0,"Bahrain","BH","BHR",1569439
"907","01/04/2020",1,4,2020,52,0,"Bahrain","BH","BHR",1569439
"908","31/03/2020",31,3,2020,15,0,"Bahrain","BH","BHR",1569439
"909","30/03/2020",30,3,2020,27,0,"Bahrain","BH","BHR",1569439
"910","29/03/2020",29,3,2020,7,0,"Bahrain","BH","BHR",1569439
"911","28/03/2020",28,3,2020,8,0,"Bahrain","BH","BHR",1569439
"912","27/03/2020",27,3,2020,39,1,"Bahrain","BH","BHR",1569439
"913","26/03/2020",26,3,2020,29,0,"Bahrain","BH","BHR",1569439
"914","25/03/2020",25,3,2020,51,1,"Bahrain","BH","BHR",1569439
"915","24/03/2020",24,3,2020,5,0,"Bahrain","BH","BHR",1569439
"916","23/03/2020",23,3,2020,28,1,"Bahrain","BH","BHR",1569439
"917","22/03/2020",22,3,2020,21,0,"Bahrain","BH","BHR",1569439
"918","21/03/2020",21,3,2020,16,0,"Bahrain","BH","BHR",1569439
