"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1034","18/04/2020",18,4,2020,0,0,"Barbados","BB","BRB",286641
"1035","17/04/2020",17,4,2020,0,0,"Barbados","BB","BRB",286641
"1036","16/04/2020",16,4,2020,2,0,"Barbados","BB","BRB",286641
"1037","15/04/2020",15,4,2020,1,1,"Barbados","BB","BRB",286641
"1038","14/04/2020",14,4,2020,1,0,"Barbados","BB","BRB",286641
"1039","13/04/2020",13,4,2020,3,0,"Barbados","BB","BRB",286641
"1040","12/04/2020",12,4,2020,1,0,"Barbados","BB","BRB",286641
"1041","11/04/2020",11,4,2020,1,1,"Barbados","BB","BRB",286641
"1042","10/04/2020",10,4,2020,3,0,"Barbados","BB","BRB",286641
"1043","09/04/2020",9,4,2020,0,0,"Barbados","BB","BRB",286641
"1044","08/04/2020",8,4,2020,3,1,"Barbados","BB","BRB",286641
"1045","07/04/2020",7,4,2020,4,1,"Barbados","BB","BRB",286641
"1046","06/04/2020",6,4,2020,5,1,"Barbados","BB","BRB",286641
"1047","05/04/2020",5,4,2020,6,0,"Barbados","BB","BRB",286641
"1048","04/04/2020",4,4,2020,0,0,"Barbados","BB","BRB",286641
"1049","03/04/2020",3,4,2020,0,0,"Barbados","BB","BRB",286641
"1050","02/04/2020",2,4,2020,11,0,"Barbados","BB","BRB",286641
"1051","01/04/2020",1,4,2020,0,0,"Barbados","BB","BRB",286641
"1052","31/03/2020",31,3,2020,1,0,"Barbados","BB","BRB",286641
"1053","30/03/2020",30,3,2020,7,0,"Barbados","BB","BRB",286641
"1054","29/03/2020",29,3,2020,2,0,"Barbados","BB","BRB",286641
"1055","28/03/2020",28,3,2020,0,0,"Barbados","BB","BRB",286641
"1056","27/03/2020",27,3,2020,6,0,"Barbados","BB","BRB",286641
"1057","26/03/2020",26,3,2020,0,0,"Barbados","BB","BRB",286641
"1058","25/03/2020",25,3,2020,1,0,"Barbados","BB","BRB",286641
"1059","24/03/2020",24,3,2020,0,0,"Barbados","BB","BRB",286641
"1060","23/03/2020",23,3,2020,3,0,"Barbados","BB","BRB",286641
"1061","22/03/2020",22,3,2020,8,0,"Barbados","BB","BRB",286641
"1062","21/03/2020",21,3,2020,4,0,"Barbados","BB","BRB",286641
"1063","20/03/2020",20,3,2020,1,0,"Barbados","BB","BRB",286641
"1064","19/03/2020",19,3,2020,0,0,"Barbados","BB","BRB",286641
"1065","18/03/2020",18,3,2020,1,0,"Barbados","BB","BRB",286641
