"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1066","18/04/2020",18,4,2020,575,2,"Belarus","BY","BLR",9485386
"1067","17/04/2020",17,4,2020,476,4,"Belarus","BY","BLR",9485386
"1068","16/04/2020",16,4,2020,447,3,"Belarus","BY","BLR",9485386
"1069","15/04/2020",15,4,2020,362,4,"Belarus","BY","BLR",9485386
"1070","14/04/2020",14,4,2020,341,3,"Belarus","BY","BLR",9485386
"1071","13/04/2020",13,4,2020,352,3,"Belarus","BY","BLR",9485386
"1072","12/04/2020",12,4,2020,245,4,"Belarus","BY","BLR",9485386
"1073","11/04/2020",11,4,2020,495,3,"Belarus","BY","BLR",9485386
"1074","10/04/2020",10,4,2020,420,3,"Belarus","BY","BLR",9485386
"1075","09/04/2020",9,4,2020,205,0,"Belarus","BY","BLR",9485386
"1076","08/04/2020",8,4,2020,161,0,"Belarus","BY","BLR",9485386
"1077","07/04/2020",7,4,2020,136,5,"Belarus","BY","BLR",9485386
"1078","06/04/2020",6,4,2020,170,3,"Belarus","BY","BLR",9485386
"1079","05/04/2020",5,4,2020,43,1,"Belarus","BY","BLR",9485386
"1080","04/04/2020",4,4,2020,97,0,"Belarus","BY","BLR",9485386
"1081","03/04/2020",3,4,2020,102,4,"Belarus","BY","BLR",9485386
"1082","02/04/2020",2,4,2020,0,0,"Belarus","BY","BLR",9485386
"1083","01/04/2020",1,4,2020,47,0,"Belarus","BY","BLR",9485386
"1084","31/03/2020",31,3,2020,11,0,"Belarus","BY","BLR",9485386
"1085","30/03/2020",30,3,2020,0,0,"Belarus","BY","BLR",9485386
"1086","29/03/2020",29,3,2020,0,0,"Belarus","BY","BLR",9485386
"1087","28/03/2020",28,3,2020,8,0,"Belarus","BY","BLR",9485386
"1088","27/03/2020",27,3,2020,0,0,"Belarus","BY","BLR",9485386
"1089","26/03/2020",26,3,2020,5,0,"Belarus","BY","BLR",9485386
"1090","25/03/2020",25,3,2020,0,0,"Belarus","BY","BLR",9485386
"1091","24/03/2020",24,3,2020,5,0,"Belarus","BY","BLR",9485386
"1092","23/03/2020",23,3,2020,0,0,"Belarus","BY","BLR",9485386
"1093","22/03/2020",22,3,2020,19,0,"Belarus","BY","BLR",9485386
"1094","21/03/2020",21,3,2020,0,0,"Belarus","BY","BLR",9485386
"1095","20/03/2020",20,3,2020,11,0,"Belarus","BY","BLR",9485386
"1096","19/03/2020",19,3,2020,10,0,"Belarus","BY","BLR",9485386
"1097","18/03/2020",18,3,2020,0,0,"Belarus","BY","BLR",9485386
"1098","17/03/2020",17,3,2020,9,0,"Belarus","BY","BLR",9485386
"1099","16/03/2020",16,3,2020,6,0,"Belarus","BY","BLR",9485386
"1100","13/03/2020",13,3,2020,9,0,"Belarus","BY","BLR",9485386
"1101","12/03/2020",12,3,2020,3,0,"Belarus","BY","BLR",9485386
"1102","11/03/2020",11,3,2020,3,0,"Belarus","BY","BLR",9485386
"1103","05/03/2020",5,3,2020,2,0,"Belarus","BY","BLR",9485386
"1104","04/03/2020",4,3,2020,3,0,"Belarus","BY","BLR",9485386
"1105","02/03/2020",2,3,2020,0,0,"Belarus","BY","BLR",9485386
"1106","01/03/2020",1,3,2020,0,0,"Belarus","BY","BLR",9485386
"1107","29/02/2020",29,2,2020,0,0,"Belarus","BY","BLR",9485386
"1108","28/02/2020",28,2,2020,1,0,"Belarus","BY","BLR",9485386
"1109","27/02/2020",27,2,2020,0,0,"Belarus","BY","BLR",9485386
"1110","26/02/2020",26,2,2020,0,0,"Belarus","BY","BLR",9485386
"1111","25/02/2020",25,2,2020,0,0,"Belarus","BY","BLR",9485386
"1112","24/02/2020",24,2,2020,0,0,"Belarus","BY","BLR",9485386
"1113","23/02/2020",23,2,2020,0,0,"Belarus","BY","BLR",9485386
"1114","22/02/2020",22,2,2020,0,0,"Belarus","BY","BLR",9485386
"1115","21/02/2020",21,2,2020,0,0,"Belarus","BY","BLR",9485386
"1116","20/02/2020",20,2,2020,0,0,"Belarus","BY","BLR",9485386
"1117","19/02/2020",19,2,2020,0,0,"Belarus","BY","BLR",9485386
"1118","18/02/2020",18,2,2020,0,0,"Belarus","BY","BLR",9485386
"1119","17/02/2020",17,2,2020,0,0,"Belarus","BY","BLR",9485386
"1120","16/02/2020",16,2,2020,0,0,"Belarus","BY","BLR",9485386
"1121","15/02/2020",15,2,2020,0,0,"Belarus","BY","BLR",9485386
"1122","14/02/2020",14,2,2020,0,0,"Belarus","BY","BLR",9485386
"1123","13/02/2020",13,2,2020,0,0,"Belarus","BY","BLR",9485386
"1124","12/02/2020",12,2,2020,0,0,"Belarus","BY","BLR",9485386
"1125","11/02/2020",11,2,2020,0,0,"Belarus","BY","BLR",9485386
"1126","10/02/2020",10,2,2020,0,0,"Belarus","BY","BLR",9485386
"1127","09/02/2020",9,2,2020,0,0,"Belarus","BY","BLR",9485386
"1128","08/02/2020",8,2,2020,0,0,"Belarus","BY","BLR",9485386
"1129","07/02/2020",7,2,2020,0,0,"Belarus","BY","BLR",9485386
"1130","06/02/2020",6,2,2020,0,0,"Belarus","BY","BLR",9485386
"1131","05/02/2020",5,2,2020,0,0,"Belarus","BY","BLR",9485386
"1132","04/02/2020",4,2,2020,0,0,"Belarus","BY","BLR",9485386
"1133","03/02/2020",3,2,2020,0,0,"Belarus","BY","BLR",9485386
"1134","02/02/2020",2,2,2020,0,0,"Belarus","BY","BLR",9485386
"1135","01/02/2020",1,2,2020,0,0,"Belarus","BY","BLR",9485386
"1136","31/01/2020",31,1,2020,0,0,"Belarus","BY","BLR",9485386
"1137","30/01/2020",30,1,2020,0,0,"Belarus","BY","BLR",9485386
"1138","29/01/2020",29,1,2020,0,0,"Belarus","BY","BLR",9485386
"1139","28/01/2020",28,1,2020,0,0,"Belarus","BY","BLR",9485386
"1140","27/01/2020",27,1,2020,0,0,"Belarus","BY","BLR",9485386
"1141","26/01/2020",26,1,2020,0,0,"Belarus","BY","BLR",9485386
"1142","25/01/2020",25,1,2020,0,0,"Belarus","BY","BLR",9485386
"1143","24/01/2020",24,1,2020,0,0,"Belarus","BY","BLR",9485386
"1144","23/01/2020",23,1,2020,0,0,"Belarus","BY","BLR",9485386
"1145","22/01/2020",22,1,2020,0,0,"Belarus","BY","BLR",9485386
"1146","21/01/2020",21,1,2020,0,0,"Belarus","BY","BLR",9485386
"1147","20/01/2020",20,1,2020,0,0,"Belarus","BY","BLR",9485386
"1148","19/01/2020",19,1,2020,0,0,"Belarus","BY","BLR",9485386
"1149","18/01/2020",18,1,2020,0,0,"Belarus","BY","BLR",9485386
"1150","17/01/2020",17,1,2020,0,0,"Belarus","BY","BLR",9485386
"1151","16/01/2020",16,1,2020,0,0,"Belarus","BY","BLR",9485386
"1152","15/01/2020",15,1,2020,0,0,"Belarus","BY","BLR",9485386
"1153","14/01/2020",14,1,2020,0,0,"Belarus","BY","BLR",9485386
"1154","13/01/2020",13,1,2020,0,0,"Belarus","BY","BLR",9485386
"1155","12/01/2020",12,1,2020,0,0,"Belarus","BY","BLR",9485386
"1156","11/01/2020",11,1,2020,0,0,"Belarus","BY","BLR",9485386
"1157","10/01/2020",10,1,2020,0,0,"Belarus","BY","BLR",9485386
"1158","09/01/2020",9,1,2020,0,0,"Belarus","BY","BLR",9485386
"1159","08/01/2020",8,1,2020,0,0,"Belarus","BY","BLR",9485386
"1160","07/01/2020",7,1,2020,0,0,"Belarus","BY","BLR",9485386
"1161","06/01/2020",6,1,2020,0,0,"Belarus","BY","BLR",9485386
"1162","05/01/2020",5,1,2020,0,0,"Belarus","BY","BLR",9485386
"1163","04/01/2020",4,1,2020,0,0,"Belarus","BY","BLR",9485386
"1164","03/01/2020",3,1,2020,0,0,"Belarus","BY","BLR",9485386
"1165","02/01/2020",2,1,2020,0,0,"Belarus","BY","BLR",9485386
"1166","01/01/2020",1,1,2020,0,0,"Belarus","BY","BLR",9485386
"1167","31/12/2019",31,12,2019,0,0,"Belarus","BY","BLR",9485386
