"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1337","18/04/2020",18,4,2020,0,0,"Bermuda","BM","BMU",63968
"1338","17/04/2020",17,4,2020,2,0,"Bermuda","BM","BMU",63968
"1339","16/04/2020",16,4,2020,24,0,"Bermuda","BM","BMU",63968
"1340","15/04/2020",15,4,2020,0,1,"Bermuda","BM","BMU",63968
"1341","14/04/2020",14,4,2020,0,0,"Bermuda","BM","BMU",63968
"1342","13/04/2020",13,4,2020,7,0,"Bermuda","BM","BMU",63968
"1343","12/04/2020",12,4,2020,2,0,"Bermuda","BM","BMU",63968
"1344","11/04/2020",11,4,2020,0,0,"Bermuda","BM","BMU",63968
"1345","10/04/2020",10,4,2020,9,1,"Bermuda","BM","BMU",63968
"1346","09/04/2020",9,4,2020,0,1,"Bermuda","BM","BMU",63968
"1347","08/04/2020",8,4,2020,0,0,"Bermuda","BM","BMU",63968
"1348","07/04/2020",7,4,2020,2,2,"Bermuda","BM","BMU",63968
"1349","06/04/2020",6,4,2020,0,0,"Bermuda","BM","BMU",63968
"1350","05/04/2020",5,4,2020,2,0,"Bermuda","BM","BMU",63968
"1351","04/04/2020",4,4,2020,0,0,"Bermuda","BM","BMU",63968
"1352","03/04/2020",3,4,2020,3,0,"Bermuda","BM","BMU",63968
"1353","02/04/2020",2,4,2020,0,0,"Bermuda","BM","BMU",63968
"1354","01/04/2020",1,4,2020,5,0,"Bermuda","BM","BMU",63968
"1355","31/03/2020",31,3,2020,5,0,"Bermuda","BM","BMU",63968
"1356","30/03/2020",30,3,2020,0,0,"Bermuda","BM","BMU",63968
"1357","29/03/2020",29,3,2020,5,0,"Bermuda","BM","BMU",63968
"1358","28/03/2020",28,3,2020,2,0,"Bermuda","BM","BMU",63968
"1359","27/03/2020",27,3,2020,9,0,"Bermuda","BM","BMU",63968
"1360","26/03/2020",26,3,2020,0,0,"Bermuda","BM","BMU",63968
"1361","25/03/2020",25,3,2020,0,0,"Bermuda","BM","BMU",63968
"1362","24/03/2020",24,3,2020,0,0,"Bermuda","BM","BMU",63968
"1363","23/03/2020",23,3,2020,4,0,"Bermuda","BM","BMU",63968
"1364","22/03/2020",22,3,2020,0,0,"Bermuda","BM","BMU",63968
"1365","21/03/2020",21,3,2020,0,0,"Bermuda","BM","BMU",63968
"1366","20/03/2020",20,3,2020,2,0,"Bermuda","BM","BMU",63968
