"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1367","18/04/2020",18,4,2020,0,0,"Bhutan","BT","BTN",754394
"1368","17/04/2020",17,4,2020,0,0,"Bhutan","BT","BTN",754394
"1369","16/04/2020",16,4,2020,0,0,"Bhutan","BT","BTN",754394
"1370","15/04/2020",15,4,2020,0,0,"Bhutan","BT","BTN",754394
"1371","14/04/2020",14,4,2020,0,0,"Bhutan","BT","BTN",754394
"1372","13/04/2020",13,4,2020,0,0,"Bhutan","BT","BTN",754394
"1373","12/04/2020",12,4,2020,0,0,"Bhutan","BT","BTN",754394
"1374","11/04/2020",11,4,2020,0,0,"Bhutan","BT","BTN",754394
"1375","10/04/2020",10,4,2020,0,0,"Bhutan","BT","BTN",754394
"1376","09/04/2020",9,4,2020,0,0,"Bhutan","BT","BTN",754394
"1377","08/04/2020",8,4,2020,0,0,"Bhutan","BT","BTN",754394
"1378","07/04/2020",7,4,2020,0,0,"Bhutan","BT","BTN",754394
"1379","06/04/2020",6,4,2020,0,0,"Bhutan","BT","BTN",754394
"1380","05/04/2020",5,4,2020,0,0,"Bhutan","BT","BTN",754394
"1381","04/04/2020",4,4,2020,0,0,"Bhutan","BT","BTN",754394
"1382","03/04/2020",3,4,2020,0,0,"Bhutan","BT","BTN",754394
"1383","02/04/2020",2,4,2020,1,0,"Bhutan","BT","BTN",754394
"1384","01/04/2020",1,4,2020,0,0,"Bhutan","BT","BTN",754394
"1385","31/03/2020",31,3,2020,0,0,"Bhutan","BT","BTN",754394
"1386","30/03/2020",30,3,2020,0,0,"Bhutan","BT","BTN",754394
"1387","29/03/2020",29,3,2020,1,0,"Bhutan","BT","BTN",754394
"1388","28/03/2020",28,3,2020,0,0,"Bhutan","BT","BTN",754394
"1389","27/03/2020",27,3,2020,0,0,"Bhutan","BT","BTN",754394
"1390","26/03/2020",26,3,2020,1,0,"Bhutan","BT","BTN",754394
"1391","25/03/2020",25,3,2020,0,0,"Bhutan","BT","BTN",754394
"1392","24/03/2020",24,3,2020,0,0,"Bhutan","BT","BTN",754394
"1393","23/03/2020",23,3,2020,0,0,"Bhutan","BT","BTN",754394
"1394","22/03/2020",22,3,2020,0,0,"Bhutan","BT","BTN",754394
"1395","21/03/2020",21,3,2020,1,0,"Bhutan","BT","BTN",754394
"1396","20/03/2020",20,3,2020,0,0,"Bhutan","BT","BTN",754394
"1397","19/03/2020",19,3,2020,0,0,"Bhutan","BT","BTN",754394
"1398","18/03/2020",18,3,2020,0,0,"Bhutan","BT","BTN",754394
"1399","17/03/2020",17,3,2020,0,0,"Bhutan","BT","BTN",754394
"1400","15/03/2020",15,3,2020,0,0,"Bhutan","BT","BTN",754394
"1401","13/03/2020",13,3,2020,0,0,"Bhutan","BT","BTN",754394
"1402","06/03/2020",6,3,2020,1,0,"Bhutan","BT","BTN",754394
