"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1403","18/04/2020",18,4,2020,28,0,"Bolivia","BO","BOL",11353142
"1404","17/04/2020",17,4,2020,24,2,"Bolivia","BO","BOL",11353142
"1405","16/04/2020",16,4,2020,44,1,"Bolivia","BO","BOL",11353142
"1406","15/04/2020",15,4,2020,43,0,"Bolivia","BO","BOL",11353142
"1407","14/04/2020",14,4,2020,24,1,"Bolivia","BO","BOL",11353142
"1408","13/04/2020",13,4,2020,30,3,"Bolivia","BO","BOL",11353142
"1409","12/04/2020",12,4,2020,24,4,"Bolivia","BO","BOL",11353142
"1410","11/04/2020",11,4,2020,8,1,"Bolivia","BO","BOL",11353142
"1411","10/04/2020",10,4,2020,4,1,"Bolivia","BO","BOL",11353142
"1412","09/04/2020",9,4,2020,54,3,"Bolivia","BO","BOL",11353142
"1413","08/04/2020",8,4,2020,16,1,"Bolivia","BO","BOL",11353142
"1414","07/04/2020",7,4,2020,11,3,"Bolivia","BO","BOL",11353142
"1415","06/04/2020",6,4,2020,26,1,"Bolivia","BO","BOL",11353142
"1416","05/04/2020",5,4,2020,18,0,"Bolivia","BO","BOL",11353142
"1417","04/04/2020",4,4,2020,7,1,"Bolivia","BO","BOL",11353142
"1418","03/04/2020",3,4,2020,9,1,"Bolivia","BO","BOL",11353142
"1419","02/04/2020",2,4,2020,8,1,"Bolivia","BO","BOL",11353142
"1420","01/04/2020",1,4,2020,8,1,"Bolivia","BO","BOL",11353142
"1421","31/03/2020",31,3,2020,11,3,"Bolivia","BO","BOL",11353142
"1422","30/03/2020",30,3,2020,15,3,"Bolivia","BO","BOL",11353142
"1423","29/03/2020",29,3,2020,7,0,"Bolivia","BO","BOL",11353142
"1424","28/03/2020",28,3,2020,13,0,"Bolivia","BO","BOL",11353142
"1425","27/03/2020",27,3,2020,22,0,"Bolivia","BO","BOL",11353142
"1426","26/03/2020",26,3,2020,7,0,"Bolivia","BO","BOL",11353142
"1427","25/03/2020",25,3,2020,4,0,"Bolivia","BO","BOL",11353142
"1428","24/03/2020",24,3,2020,1,0,"Bolivia","BO","BOL",11353142
"1429","23/03/2020",23,3,2020,7,0,"Bolivia","BO","BOL",11353142
"1430","22/03/2020",22,3,2020,1,0,"Bolivia","BO","BOL",11353142
"1431","21/03/2020",21,3,2020,4,0,"Bolivia","BO","BOL",11353142
"1432","20/03/2020",20,3,2020,3,0,"Bolivia","BO","BOL",11353142
"1433","19/03/2020",19,3,2020,0,0,"Bolivia","BO","BOL",11353142
"1434","18/03/2020",18,3,2020,1,0,"Bolivia","BO","BOL",11353142
"1435","17/03/2020",17,3,2020,1,0,"Bolivia","BO","BOL",11353142
"1436","15/03/2020",15,3,2020,0,0,"Bolivia","BO","BOL",11353142
"1437","14/03/2020",14,3,2020,7,0,"Bolivia","BO","BOL",11353142
"1438","13/03/2020",13,3,2020,1,0,"Bolivia","BO","BOL",11353142
"1439","12/03/2020",12,3,2020,2,0,"Bolivia","BO","BOL",11353142
