"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1619","18/04/2020",18,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1620","17/04/2020",17,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1621","16/04/2020",16,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1622","15/04/2020",15,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1623","14/04/2020",14,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1624","13/04/2020",13,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1625","12/04/2020",12,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1626","11/04/2020",11,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1627","10/04/2020",10,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1628","09/04/2020",9,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1629","08/04/2020",8,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1630","07/04/2020",7,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1631","06/04/2020",6,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1632","05/04/2020",5,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1633","04/04/2020",4,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1634","03/04/2020",3,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1635","02/04/2020",2,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1636","01/04/2020",1,4,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1637","31/03/2020",31,3,2020,1,0,"British Virgin Islands","VG","VGB",29802
"1638","30/03/2020",30,3,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1639","29/03/2020",29,3,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1640","28/03/2020",28,3,2020,0,0,"British Virgin Islands","VG","VGB",29802
"1641","27/03/2020",27,3,2020,2,0,"British Virgin Islands","VG","VGB",29802
