"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1721","18/04/2020",18,4,2020,14,3,"Burkina Faso","BF","BFA",19751535
"1722","17/04/2020",17,4,2020,1,0,"Burkina Faso","BF","BFA",19751535
"1723","16/04/2020",16,4,2020,14,2,"Burkina Faso","BF","BFA",19751535
"1724","15/04/2020",15,4,2020,13,2,"Burkina Faso","BF","BFA",19751535
"1725","14/04/2020",14,4,2020,18,1,"Burkina Faso","BF","BFA",19751535
"1726","13/04/2020",13,4,2020,13,0,"Burkina Faso","BF","BFA",19751535
"1727","12/04/2020",12,4,2020,36,1,"Burkina Faso","BF","BFA",19751535
"1728","11/04/2020",11,4,2020,5,2,"Burkina Faso","BF","BFA",19751535
"1729","10/04/2020",10,4,2020,29,1,"Burkina Faso","BF","BFA",19751535
"1730","09/04/2020",9,4,2020,30,4,"Burkina Faso","BF","BFA",19751535
"1731","08/04/2020",8,4,2020,20,2,"Burkina Faso","BF","BFA",19751535
"1732","07/04/2020",7,4,2020,19,0,"Burkina Faso","BF","BFA",19751535
"1733","06/04/2020",6,4,2020,43,1,"Burkina Faso","BF","BFA",19751535
"1734","05/04/2020",5,4,2020,14,0,"Burkina Faso","BF","BFA",19751535
"1735","04/04/2020",4,4,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1736","03/04/2020",3,4,2020,27,2,"Burkina Faso","BF","BFA",19751535
"1737","02/04/2020",2,4,2020,15,2,"Burkina Faso","BF","BFA",19751535
"1738","01/04/2020",1,4,2020,24,0,"Burkina Faso","BF","BFA",19751535
"1739","31/03/2020",31,3,2020,42,3,"Burkina Faso","BF","BFA",19751535
"1740","30/03/2020",30,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1741","29/03/2020",29,3,2020,34,6,"Burkina Faso","BF","BFA",19751535
"1742","28/03/2020",28,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1743","27/03/2020",27,3,2020,32,0,"Burkina Faso","BF","BFA",19751535
"1744","26/03/2020",26,3,2020,15,0,"Burkina Faso","BF","BFA",19751535
"1745","25/03/2020",25,3,2020,24,0,"Burkina Faso","BF","BFA",19751535
"1746","24/03/2020",24,3,2020,11,0,"Burkina Faso","BF","BFA",19751535
"1747","23/03/2020",23,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1748","22/03/2020",22,3,2020,24,2,"Burkina Faso","BF","BFA",19751535
"1749","21/03/2020",21,3,2020,7,0,"Burkina Faso","BF","BFA",19751535
"1750","20/03/2020",20,3,2020,7,0,"Burkina Faso","BF","BFA",19751535
"1751","19/03/2020",19,3,2020,6,1,"Burkina Faso","BF","BFA",19751535
"1752","18/03/2020",18,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1753","17/03/2020",17,3,2020,17,0,"Burkina Faso","BF","BFA",19751535
"1754","16/03/2020",16,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1755","15/03/2020",15,3,2020,1,0,"Burkina Faso","BF","BFA",19751535
"1756","12/03/2020",12,3,2020,0,0,"Burkina Faso","BF","BFA",19751535
"1757","11/03/2020",11,3,2020,2,0,"Burkina Faso","BF","BFA",19751535
