"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1758","18/04/2020",18,4,2020,1,0,"Burundi","BI","BDI",11175378
"1759","17/04/2020",17,4,2020,0,0,"Burundi","BI","BDI",11175378
"1760","16/04/2020",16,4,2020,0,0,"Burundi","BI","BDI",11175378
"1761","15/04/2020",15,4,2020,0,1,"Burundi","BI","BDI",11175378
"1762","14/04/2020",14,4,2020,0,0,"Burundi","BI","BDI",11175378
"1763","13/04/2020",13,4,2020,0,0,"Burundi","BI","BDI",11175378
"1764","12/04/2020",12,4,2020,2,0,"Burundi","BI","BDI",11175378
"1765","11/04/2020",11,4,2020,0,0,"Burundi","BI","BDI",11175378
"1766","10/04/2020",10,4,2020,0,0,"Burundi","BI","BDI",11175378
"1767","09/04/2020",9,4,2020,0,0,"Burundi","BI","BDI",11175378
"1768","08/04/2020",8,4,2020,0,0,"Burundi","BI","BDI",11175378
"1769","07/04/2020",7,4,2020,0,0,"Burundi","BI","BDI",11175378
"1770","06/04/2020",6,4,2020,0,0,"Burundi","BI","BDI",11175378
"1771","05/04/2020",5,4,2020,0,0,"Burundi","BI","BDI",11175378
"1772","04/04/2020",4,4,2020,0,0,"Burundi","BI","BDI",11175378
"1773","03/04/2020",3,4,2020,1,0,"Burundi","BI","BDI",11175378
"1774","02/04/2020",2,4,2020,0,0,"Burundi","BI","BDI",11175378
"1775","01/04/2020",1,4,2020,2,0,"Burundi","BI","BDI",11175378
