"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1877","18/04/2020",18,4,2020,161,0,"Cameroon","CM","CMR",25216237
"1878","17/04/2020",17,4,2020,0,4,"Cameroon","CM","CMR",25216237
"1879","16/04/2020",16,4,2020,0,0,"Cameroon","CM","CMR",25216237
"1880","15/04/2020",15,4,2020,35,5,"Cameroon","CM","CMR",25216237
"1881","14/04/2020",14,4,2020,0,0,"Cameroon","CM","CMR",25216237
"1882","13/04/2020",13,4,2020,0,1,"Cameroon","CM","CMR",25216237
"1883","12/04/2020",12,4,2020,17,1,"Cameroon","CM","CMR",25216237
"1884","11/04/2020",11,4,2020,73,0,"Cameroon","CM","CMR",25216237
"1885","10/04/2020",10,4,2020,0,0,"Cameroon","CM","CMR",25216237
"1886","09/04/2020",9,4,2020,45,1,"Cameroon","CM","CMR",25216237
"1887","08/04/2020",8,4,2020,27,0,"Cameroon","CM","CMR",25216237
"1888","07/04/2020",7,4,2020,8,0,"Cameroon","CM","CMR",25216237
"1889","06/04/2020",6,4,2020,95,0,"Cameroon","CM","CMR",25216237
"1890","05/04/2020",5,4,2020,46,1,"Cameroon","CM","CMR",25216237
"1891","04/04/2020",4,4,2020,238,1,"Cameroon","CM","CMR",25216237
"1892","03/04/2020",3,4,2020,38,1,"Cameroon","CM","CMR",25216237
"1893","02/04/2020",2,4,2020,40,0,"Cameroon","CM","CMR",25216237
"1894","01/04/2020",1,4,2020,51,4,"Cameroon","CM","CMR",25216237
"1895","31/03/2020",31,3,2020,43,0,"Cameroon","CM","CMR",25216237
"1896","30/03/2020",30,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1897","29/03/2020",29,3,2020,11,1,"Cameroon","CM","CMR",25216237
"1898","28/03/2020",28,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1899","27/03/2020",27,3,2020,16,0,"Cameroon","CM","CMR",25216237
"1900","26/03/2020",26,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1901","25/03/2020",25,3,2020,16,1,"Cameroon","CM","CMR",25216237
"1902","24/03/2020",24,3,2020,29,0,"Cameroon","CM","CMR",25216237
"1903","23/03/2020",23,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1904","22/03/2020",22,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1905","21/03/2020",21,3,2020,13,0,"Cameroon","CM","CMR",25216237
"1906","20/03/2020",20,3,2020,4,0,"Cameroon","CM","CMR",25216237
"1907","19/03/2020",19,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1908","18/03/2020",18,3,2020,6,0,"Cameroon","CM","CMR",25216237
"1909","17/03/2020",17,3,2020,0,0,"Cameroon","CM","CMR",25216237
"1910","16/03/2020",16,3,2020,1,0,"Cameroon","CM","CMR",25216237
"1911","15/03/2020",15,3,2020,1,0,"Cameroon","CM","CMR",25216237
"1912","09/03/2020",9,3,2020,1,0,"Cameroon","CM","CMR",25216237
"1913","07/03/2020",7,3,2020,1,0,"Cameroon","CM","CMR",25216237
