"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1914","18/04/2020",18,4,2020,1791,116,"Canada","CA","CAN",37058856
"1915","17/04/2020",17,4,2020,1717,183,"Canada","CA","CAN",37058856
"1916","16/04/2020",16,4,2020,1318,107,"Canada","CA","CAN",37058856
"1917","15/04/2020",15,4,2020,1383,123,"Canada","CA","CAN",37058856
"1918","14/04/2020",14,4,2020,1298,63,"Canada","CA","CAN",37058856
"1919","13/04/2020",13,4,2020,1064,64,"Canada","CA","CAN",37058856
"1920","12/04/2020",12,4,2020,1168,84,"Canada","CA","CAN",37058856
"1921","11/04/2020",11,4,2020,1385,60,"Canada","CA","CAN",37058856
"1922","10/04/2020",10,4,2020,1474,74,"Canada","CA","CAN",37058856
"1923","09/04/2020",9,4,2020,1391,55,"Canada","CA","CAN",37058856
"1924","08/04/2020",8,4,2020,1230,57,"Canada","CA","CAN",37058856
"1925","07/04/2020",7,4,2020,1157,43,"Canada","CA","CAN",37058856
"1926","06/04/2020",6,4,2020,1614,49,"Canada","CA","CAN",37058856
"1927","05/04/2020",5,4,2020,1363,44,"Canada","CA","CAN",37058856
"1928","04/04/2020",4,4,2020,1251,49,"Canada","CA","CAN",37058856
"1929","03/04/2020",3,4,2020,1673,29,"Canada","CA","CAN",37058856
"1930","02/04/2020",2,4,2020,1059,13,"Canada","CA","CAN",37058856
"1931","01/04/2020",1,4,2020,1112,7,"Canada","CA","CAN",37058856
"1932","31/03/2020",31,3,2020,1169,28,"Canada","CA","CAN",37058856
"1933","30/03/2020",30,3,2020,869,1,"Canada","CA","CAN",37058856
"1934","29/03/2020",29,3,2020,711,7,"Canada","CA","CAN",37058856
"1935","28/03/2020",28,3,2020,657,14,"Canada","CA","CAN",37058856
"1936","27/03/2020",27,3,2020,633,4,"Canada","CA","CAN",37058856
"1937","26/03/2020",26,3,2020,1426,8,"Canada","CA","CAN",37058856
"1938","25/03/2020",25,3,2020,313,3,"Canada","CA","CAN",37058856
"1939","24/03/2020",24,3,2020,216,4,"Canada","CA","CAN",37058856
"1940","23/03/2020",23,3,2020,128,2,"Canada","CA","CAN",37058856
"1941","22/03/2020",22,3,2020,331,6,"Canada","CA","CAN",37058856
"1942","21/03/2020",21,3,2020,125,2,"Canada","CA","CAN",37058856
"1943","20/03/2020",20,3,2020,156,1,"Canada","CA","CAN",37058856
"1944","19/03/2020",19,3,2020,121,1,"Canada","CA","CAN",37058856
"1945","18/03/2020",18,3,2020,145,4,"Canada","CA","CAN",37058856
"1946","17/03/2020",17,3,2020,120,3,"Canada","CA","CAN",37058856
"1947","16/03/2020",16,3,2020,60,0,"Canada","CA","CAN",37058856
"1948","15/03/2020",15,3,2020,68,0,"Canada","CA","CAN",37058856
"1949","14/03/2020",14,3,2020,38,0,"Canada","CA","CAN",37058856
"1950","13/03/2020",13,3,2020,35,0,"Canada","CA","CAN",37058856
"1951","12/03/2020",12,3,2020,10,0,"Canada","CA","CAN",37058856
"1952","11/03/2020",11,3,2020,16,0,"Canada","CA","CAN",37058856
"1953","10/03/2020",10,3,2020,15,1,"Canada","CA","CAN",37058856
"1954","09/03/2020",9,3,2020,5,0,"Canada","CA","CAN",37058856
"1955","08/03/2020",8,3,2020,6,0,"Canada","CA","CAN",37058856
"1956","07/03/2020",7,3,2020,6,0,"Canada","CA","CAN",37058856
"1957","06/03/2020",6,3,2020,12,0,"Canada","CA","CAN",37058856
"1958","05/03/2020",5,3,2020,3,0,"Canada","CA","CAN",37058856
"1959","04/03/2020",4,3,2020,3,0,"Canada","CA","CAN",37058856
"1960","03/03/2020",3,3,2020,3,0,"Canada","CA","CAN",37058856
"1961","02/03/2020",2,3,2020,4,0,"Canada","CA","CAN",37058856
"1962","01/03/2020",1,3,2020,4,0,"Canada","CA","CAN",37058856
"1963","29/02/2020",29,2,2020,2,0,"Canada","CA","CAN",37058856
"1964","28/02/2020",28,2,2020,2,0,"Canada","CA","CAN",37058856
"1965","27/02/2020",27,2,2020,1,0,"Canada","CA","CAN",37058856
