"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2117","18/04/2020",18,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2118","17/04/2020",17,4,2020,1,0,"Cayman Islands","KY","CYM",64174
"2119","16/04/2020",16,4,2020,6,0,"Cayman Islands","KY","CYM",64174
"2120","15/04/2020",15,4,2020,1,0,"Cayman Islands","KY","CYM",64174
"2121","14/04/2020",14,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2122","13/04/2020",13,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2123","12/04/2020",12,4,2020,8,0,"Cayman Islands","KY","CYM",64174
"2124","11/04/2020",11,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2125","10/04/2020",10,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2126","09/04/2020",9,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2127","08/04/2020",8,4,2020,6,0,"Cayman Islands","KY","CYM",64174
"2128","07/04/2020",7,4,2020,0,0,"Cayman Islands","KY","CYM",64174
"2129","06/04/2020",6,4,2020,4,0,"Cayman Islands","KY","CYM",64174
"2130","05/04/2020",5,4,2020,6,0,"Cayman Islands","KY","CYM",64174
"2131","04/04/2020",4,4,2020,1,0,"Cayman Islands","KY","CYM",64174
"2132","03/04/2020",3,4,2020,6,0,"Cayman Islands","KY","CYM",64174
"2133","02/04/2020",2,4,2020,8,0,"Cayman Islands","KY","CYM",64174
"2134","01/04/2020",1,4,2020,2,0,"Cayman Islands","KY","CYM",64174
"2135","31/03/2020",31,3,2020,4,0,"Cayman Islands","KY","CYM",64174
"2136","30/03/2020",30,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2137","29/03/2020",29,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2138","28/03/2020",28,3,2020,2,0,"Cayman Islands","KY","CYM",64174
"2139","27/03/2020",27,3,2020,3,0,"Cayman Islands","KY","CYM",64174
"2140","26/03/2020",26,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2141","25/03/2020",25,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2142","24/03/2020",24,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2143","23/03/2020",23,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2144","22/03/2020",22,3,2020,0,0,"Cayman Islands","KY","CYM",64174
"2145","21/03/2020",21,3,2020,2,1,"Cayman Islands","KY","CYM",64174
"2146","20/03/2020",20,3,2020,1,0,"Cayman Islands","KY","CYM",64174
