"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2147","18/04/2020",18,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2148","17/04/2020",17,4,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2149","16/04/2020",16,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2150","15/04/2020",15,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2151","14/04/2020",14,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2152","13/04/2020",13,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2153","12/04/2020",12,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2154","11/04/2020",11,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2155","10/04/2020",10,4,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2156","09/04/2020",9,4,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2157","08/04/2020",8,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2158","07/04/2020",7,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2159","06/04/2020",6,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2160","05/04/2020",5,4,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2161","04/04/2020",4,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2162","03/04/2020",3,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2163","02/04/2020",2,4,2020,2,0,"Central_African_Republic","CF","CAF",4666377
"2164","01/04/2020",1,4,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2165","31/03/2020",31,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2166","30/03/2020",30,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2167","29/03/2020",29,3,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2168","28/03/2020",28,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2169","27/03/2020",27,3,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2170","26/03/2020",26,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2171","25/03/2020",25,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2172","24/03/2020",24,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2173","23/03/2020",23,3,2020,1,0,"Central_African_Republic","CF","CAF",4666377
"2174","22/03/2020",22,3,2020,2,0,"Central_African_Republic","CF","CAF",4666377
"2175","21/03/2020",21,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2176","20/03/2020",20,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2177","19/03/2020",19,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2178","18/03/2020",18,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2179","17/03/2020",17,3,2020,0,0,"Central_African_Republic","CF","CAF",4666377
"2180","16/03/2020",16,3,2020,1,0,"Central_African_Republic","CF","CAF",4666377
