"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2211","18/04/2020",18,4,2020,445,11,"Chile","CL","CHL",18729160
"2212","17/04/2020",17,4,2020,534,11,"Chile","CL","CHL",18729160
"2213","16/04/2020",16,4,2020,356,2,"Chile","CL","CHL",18729160
"2214","15/04/2020",15,4,2020,392,10,"Chile","CL","CHL",18729160
"2215","14/04/2020",14,4,2020,312,2,"Chile","CL","CHL",18729160
"2216","13/04/2020",13,4,2020,286,7,"Chile","CL","CHL",18729160
"2217","12/04/2020",12,4,2020,426,8,"Chile","CL","CHL",18729160
"2218","11/04/2020",11,4,2020,529,8,"Chile","CL","CHL",18729160
"2219","10/04/2020",10,4,2020,426,9,"Chile","CL","CHL",18729160
"2220","09/04/2020",9,4,2020,430,5,"Chile","CL","CHL",18729160
"2221","08/04/2020",8,4,2020,301,6,"Chile","CL","CHL",18729160
"2222","07/04/2020",7,4,2020,344,3,"Chile","CL","CHL",18729160
"2223","06/04/2020",6,4,2020,310,7,"Chile","CL","CHL",18729160
"2224","05/04/2020",5,4,2020,424,5,"Chile","CL","CHL",18729160
"2225","04/04/2020",4,4,2020,333,4,"Chile","CL","CHL",18729160
"2226","03/04/2020",3,4,2020,373,2,"Chile","CL","CHL",18729160
"2227","02/04/2020",2,4,2020,293,4,"Chile","CL","CHL",18729160
"2228","01/04/2020",1,4,2020,289,4,"Chile","CL","CHL",18729160
"2229","31/03/2020",31,3,2020,310,1,"Chile","CL","CHL",18729160
"2230","30/03/2020",30,3,2020,230,1,"Chile","CL","CHL",18729160
"2231","29/03/2020",29,3,2020,299,1,"Chile","CL","CHL",18729160
"2232","28/03/2020",28,3,2020,304,1,"Chile","CL","CHL",18729160
"2233","27/03/2020",27,3,2020,164,1,"Chile","CL","CHL",18729160
"2234","26/03/2020",26,3,2020,220,1,"Chile","CL","CHL",18729160
"2235","25/03/2020",25,3,2020,176,0,"Chile","CL","CHL",18729160
"2236","24/03/2020",24,3,2020,114,1,"Chile","CL","CHL",18729160
"2237","23/03/2020",23,3,2020,95,1,"Chile","CL","CHL",18729160
"2238","22/03/2020",22,3,2020,103,0,"Chile","CL","CHL",18729160
"2239","21/03/2020",21,3,2020,92,0,"Chile","CL","CHL",18729160
"2240","20/03/2020",20,3,2020,104,0,"Chile","CL","CHL",18729160
"2241","19/03/2020",19,3,2020,37,0,"Chile","CL","CHL",18729160
"2242","18/03/2020",18,3,2020,45,0,"Chile","CL","CHL",18729160
"2243","17/03/2020",17,3,2020,81,0,"Chile","CL","CHL",18729160
"2244","16/03/2020",16,3,2020,14,0,"Chile","CL","CHL",18729160
"2245","15/03/2020",15,3,2020,18,0,"Chile","CL","CHL",18729160
"2246","14/03/2020",14,3,2020,10,0,"Chile","CL","CHL",18729160
"2247","13/03/2020",13,3,2020,10,0,"Chile","CL","CHL",18729160
"2248","12/03/2020",12,3,2020,6,0,"Chile","CL","CHL",18729160
"2249","11/03/2020",11,3,2020,4,0,"Chile","CL","CHL",18729160
"2250","10/03/2020",10,3,2020,3,0,"Chile","CL","CHL",18729160
"2251","09/03/2020",9,3,2020,5,0,"Chile","CL","CHL",18729160
"2252","07/03/2020",7,3,2020,1,0,"Chile","CL","CHL",18729160
"2253","06/03/2020",6,3,2020,1,0,"Chile","CL","CHL",18729160
"2254","05/03/2020",5,3,2020,2,0,"Chile","CL","CHL",18729160
"2255","04/03/2020",4,3,2020,1,0,"Chile","CL","CHL",18729160
