"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2517","18/04/2020",18,4,2020,23,1,"Croatia","HR","HRV",4089400
"2518","17/04/2020",17,4,2020,50,1,"Croatia","HR","HRV",4089400
"2519","16/04/2020",16,4,2020,37,3,"Croatia","HR","HRV",4089400
"2520","15/04/2020",15,4,2020,54,6,"Croatia","HR","HRV",4089400
"2521","14/04/2020",14,4,2020,50,2,"Croatia","HR","HRV",4089400
"2522","13/04/2020",13,4,2020,66,2,"Croatia","HR","HRV",4089400
"2523","12/04/2020",12,4,2020,39,0,"Croatia","HR","HRV",4089400
"2524","11/04/2020",11,4,2020,88,1,"Croatia","HR","HRV",4089400
"2525","10/04/2020",10,4,2020,64,1,"Croatia","HR","HRV",4089400
"2526","09/04/2020",9,4,2020,61,1,"Croatia","HR","HRV",4089400
"2527","08/04/2020",8,4,2020,60,2,"Croatia","HR","HRV",4089400
"2528","07/04/2020",7,4,2020,40,1,"Croatia","HR","HRV",4089400
"2529","06/04/2020",6,4,2020,56,3,"Croatia","HR","HRV",4089400
"2530","05/04/2020",5,4,2020,47,4,"Croatia","HR","HRV",4089400
"2531","04/04/2020",4,4,2020,68,1,"Croatia","HR","HRV",4089400
"2532","03/04/2020",3,4,2020,48,1,"Croatia","HR","HRV",4089400
"2533","02/04/2020",2,4,2020,96,0,"Croatia","HR","HRV",4089400
"2534","01/04/2020",1,4,2020,77,0,"Croatia","HR","HRV",4089400
"2535","31/03/2020",31,3,2020,77,0,"Croatia","HR","HRV",4089400
"2536","30/03/2020",30,3,2020,56,1,"Croatia","HR","HRV",4089400
"2537","29/03/2020",29,3,2020,71,2,"Croatia","HR","HRV",4089400
"2538","28/03/2020",28,3,2020,91,1,"Croatia","HR","HRV",4089400
"2539","27/03/2020",27,3,2020,77,1,"Croatia","HR","HRV",4089400
"2540","26/03/2020",26,3,2020,36,0,"Croatia","HR","HRV",4089400
"2541","25/03/2020",25,3,2020,76,1,"Croatia","HR","HRV",4089400
"2542","24/03/2020",24,3,2020,71,0,"Croatia","HR","HRV",4089400
"2543","23/03/2020",23,3,2020,29,0,"Croatia","HR","HRV",4089400
"2544","22/03/2020",22,3,2020,80,0,"Croatia","HR","HRV",4089400
"2545","21/03/2020",21,3,2020,22,0,"Croatia","HR","HRV",4089400
"2546","20/03/2020",20,3,2020,23,0,"Croatia","HR","HRV",4089400
"2547","19/03/2020",19,3,2020,12,0,"Croatia","HR","HRV",4089400
"2548","18/03/2020",18,3,2020,13,0,"Croatia","HR","HRV",4089400
"2549","17/03/2020",17,3,2020,8,0,"Croatia","HR","HRV",4089400
"2550","16/03/2020",16,3,2020,11,0,"Croatia","HR","HRV",4089400
"2551","15/03/2020",15,3,2020,6,0,"Croatia","HR","HRV",4089400
"2552","14/03/2020",14,3,2020,6,0,"Croatia","HR","HRV",4089400
"2553","13/03/2020",13,3,2020,9,0,"Croatia","HR","HRV",4089400
"2554","12/03/2020",12,3,2020,3,0,"Croatia","HR","HRV",4089400
"2555","11/03/2020",11,3,2020,1,0,"Croatia","HR","HRV",4089400
"2556","08/03/2020",8,3,2020,1,0,"Croatia","HR","HRV",4089400
"2557","07/03/2020",7,3,2020,1,0,"Croatia","HR","HRV",4089400
"2558","06/03/2020",6,3,2020,1,0,"Croatia","HR","HRV",4089400
"2559","04/03/2020",4,3,2020,1,0,"Croatia","HR","HRV",4089400
"2560","03/03/2020",3,3,2020,1,0,"Croatia","HR","HRV",4089400
"2561","02/03/2020",2,3,2020,2,0,"Croatia","HR","HRV",4089400
"2562","01/03/2020",1,3,2020,0,0,"Croatia","HR","HRV",4089400
"2563","29/02/2020",29,2,2020,2,0,"Croatia","HR","HRV",4089400
"2564","28/02/2020",28,2,2020,1,0,"Croatia","HR","HRV",4089400
"2565","27/02/2020",27,2,2020,1,0,"Croatia","HR","HRV",4089400
"2566","26/02/2020",26,2,2020,1,0,"Croatia","HR","HRV",4089400
"2567","25/02/2020",25,2,2020,0,0,"Croatia","HR","HRV",4089400
"2568","24/02/2020",24,2,2020,0,0,"Croatia","HR","HRV",4089400
"2569","23/02/2020",23,2,2020,0,0,"Croatia","HR","HRV",4089400
"2570","22/02/2020",22,2,2020,0,0,"Croatia","HR","HRV",4089400
"2571","21/02/2020",21,2,2020,0,0,"Croatia","HR","HRV",4089400
"2572","20/02/2020",20,2,2020,0,0,"Croatia","HR","HRV",4089400
"2573","19/02/2020",19,2,2020,0,0,"Croatia","HR","HRV",4089400
"2574","18/02/2020",18,2,2020,0,0,"Croatia","HR","HRV",4089400
"2575","17/02/2020",17,2,2020,0,0,"Croatia","HR","HRV",4089400
"2576","16/02/2020",16,2,2020,0,0,"Croatia","HR","HRV",4089400
"2577","15/02/2020",15,2,2020,0,0,"Croatia","HR","HRV",4089400
"2578","14/02/2020",14,2,2020,0,0,"Croatia","HR","HRV",4089400
"2579","13/02/2020",13,2,2020,0,0,"Croatia","HR","HRV",4089400
"2580","12/02/2020",12,2,2020,0,0,"Croatia","HR","HRV",4089400
"2581","11/02/2020",11,2,2020,0,0,"Croatia","HR","HRV",4089400
"2582","10/02/2020",10,2,2020,0,0,"Croatia","HR","HRV",4089400
"2583","09/02/2020",9,2,2020,0,0,"Croatia","HR","HRV",4089400
"2584","08/02/2020",8,2,2020,0,0,"Croatia","HR","HRV",4089400
"2585","07/02/2020",7,2,2020,0,0,"Croatia","HR","HRV",4089400
"2586","06/02/2020",6,2,2020,0,0,"Croatia","HR","HRV",4089400
"2587","05/02/2020",5,2,2020,0,0,"Croatia","HR","HRV",4089400
"2588","04/02/2020",4,2,2020,0,0,"Croatia","HR","HRV",4089400
"2589","03/02/2020",3,2,2020,0,0,"Croatia","HR","HRV",4089400
"2590","02/02/2020",2,2,2020,0,0,"Croatia","HR","HRV",4089400
"2591","01/02/2020",1,2,2020,0,0,"Croatia","HR","HRV",4089400
"2592","31/01/2020",31,1,2020,0,0,"Croatia","HR","HRV",4089400
"2593","30/01/2020",30,1,2020,0,0,"Croatia","HR","HRV",4089400
"2594","29/01/2020",29,1,2020,0,0,"Croatia","HR","HRV",4089400
"2595","28/01/2020",28,1,2020,0,0,"Croatia","HR","HRV",4089400
"2596","27/01/2020",27,1,2020,0,0,"Croatia","HR","HRV",4089400
"2597","26/01/2020",26,1,2020,0,0,"Croatia","HR","HRV",4089400
"2598","25/01/2020",25,1,2020,0,0,"Croatia","HR","HRV",4089400
"2599","24/01/2020",24,1,2020,0,0,"Croatia","HR","HRV",4089400
"2600","23/01/2020",23,1,2020,0,0,"Croatia","HR","HRV",4089400
"2601","22/01/2020",22,1,2020,0,0,"Croatia","HR","HRV",4089400
"2602","21/01/2020",21,1,2020,0,0,"Croatia","HR","HRV",4089400
"2603","20/01/2020",20,1,2020,0,0,"Croatia","HR","HRV",4089400
"2604","19/01/2020",19,1,2020,0,0,"Croatia","HR","HRV",4089400
"2605","18/01/2020",18,1,2020,0,0,"Croatia","HR","HRV",4089400
"2606","17/01/2020",17,1,2020,0,0,"Croatia","HR","HRV",4089400
"2607","16/01/2020",16,1,2020,0,0,"Croatia","HR","HRV",4089400
"2608","15/01/2020",15,1,2020,0,0,"Croatia","HR","HRV",4089400
"2609","14/01/2020",14,1,2020,0,0,"Croatia","HR","HRV",4089400
"2610","13/01/2020",13,1,2020,0,0,"Croatia","HR","HRV",4089400
"2611","12/01/2020",12,1,2020,0,0,"Croatia","HR","HRV",4089400
"2612","11/01/2020",11,1,2020,0,0,"Croatia","HR","HRV",4089400
"2613","10/01/2020",10,1,2020,0,0,"Croatia","HR","HRV",4089400
"2614","09/01/2020",9,1,2020,0,0,"Croatia","HR","HRV",4089400
"2615","08/01/2020",8,1,2020,0,0,"Croatia","HR","HRV",4089400
"2616","07/01/2020",7,1,2020,0,0,"Croatia","HR","HRV",4089400
"2617","06/01/2020",6,1,2020,0,0,"Croatia","HR","HRV",4089400
"2618","05/01/2020",5,1,2020,0,0,"Croatia","HR","HRV",4089400
"2619","04/01/2020",4,1,2020,0,0,"Croatia","HR","HRV",4089400
"2620","03/01/2020",3,1,2020,0,0,"Croatia","HR","HRV",4089400
"2621","02/01/2020",2,1,2020,0,0,"Croatia","HR","HRV",4089400
"2622","01/01/2020",1,1,2020,0,0,"Croatia","HR","HRV",4089400
"2623","31/12/2019",31,12,2019,0,0,"Croatia","HR","HRV",4089400
