"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2624","18/04/2020",18,4,2020,61,4,"Cuba","CU","CUB",11338138
"2625","17/04/2020",17,4,2020,48,3,"Cuba","CU","CUB",11338138
"2626","16/04/2020",16,4,2020,48,3,"Cuba","CU","CUB",11338138
"2627","15/04/2020",15,4,2020,40,0,"Cuba","CU","CUB",11338138
"2628","14/04/2020",14,4,2020,57,3,"Cuba","CU","CUB",11338138
"2629","13/04/2020",13,4,2020,49,2,"Cuba","CU","CUB",11338138
"2630","12/04/2020",12,4,2020,56,1,"Cuba","CU","CUB",11338138
"2631","11/04/2020",11,4,2020,49,0,"Cuba","CU","CUB",11338138
"2632","10/04/2020",10,4,2020,58,3,"Cuba","CU","CUB",11338138
"2633","09/04/2020",9,4,2020,61,1,"Cuba","CU","CUB",11338138
"2634","08/04/2020",8,4,2020,46,2,"Cuba","CU","CUB",11338138
"2635","07/04/2020",7,4,2020,30,1,"Cuba","CU","CUB",11338138
"2636","06/04/2020",6,4,2020,32,2,"Cuba","CU","CUB",11338138
"2637","05/04/2020",5,4,2020,19,0,"Cuba","CU","CUB",11338138
"2638","04/04/2020",4,4,2020,36,0,"Cuba","CU","CUB",11338138
"2639","03/04/2020",3,4,2020,21,0,"Cuba","CU","CUB",11338138
"2640","02/04/2020",2,4,2020,26,0,"Cuba","CU","CUB",11338138
"2641","01/04/2020",1,4,2020,16,2,"Cuba","CU","CUB",11338138
"2642","31/03/2020",31,3,2020,31,1,"Cuba","CU","CUB",11338138
"2643","30/03/2020",30,3,2020,20,0,"Cuba","CU","CUB",11338138
"2644","29/03/2020",29,3,2020,39,1,"Cuba","CU","CUB",11338138
"2645","28/03/2020",28,3,2020,13,0,"Cuba","CU","CUB",11338138
"2646","27/03/2020",27,3,2020,10,1,"Cuba","CU","CUB",11338138
"2647","26/03/2020",26,3,2020,9,0,"Cuba","CU","CUB",11338138
"2648","25/03/2020",25,3,2020,8,0,"Cuba","CU","CUB",11338138
"2649","24/03/2020",24,3,2020,5,0,"Cuba","CU","CUB",11338138
"2650","23/03/2020",23,3,2020,10,0,"Cuba","CU","CUB",11338138
"2651","22/03/2020",22,3,2020,4,0,"Cuba","CU","CUB",11338138
"2652","21/03/2020",21,3,2020,5,0,"Cuba","CU","CUB",11338138
"2653","20/03/2020",20,3,2020,5,0,"Cuba","CU","CUB",11338138
"2654","19/03/2020",19,3,2020,4,1,"Cuba","CU","CUB",11338138
"2655","18/03/2020",18,3,2020,3,0,"Cuba","CU","CUB",11338138
"2656","15/03/2020",15,3,2020,0,0,"Cuba","CU","CUB",11338138
"2657","14/03/2020",14,3,2020,1,0,"Cuba","CU","CUB",11338138
"2658","12/03/2020",12,3,2020,3,0,"Cuba","CU","CUB",11338138
