"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2659","18/04/2020",18,4,2020,0,0,"Curaçao","CW","CUW",159849
"2660","17/04/2020",17,4,2020,0,0,"Curaçao","CW","CUW",159849
"2661","16/04/2020",16,4,2020,0,0,"Curaçao","CW","CUW",159849
"2662","15/04/2020",15,4,2020,0,0,"Curaçao","CW","CUW",159849
"2663","14/04/2020",14,4,2020,0,0,"Curaçao","CW","CUW",159849
"2664","13/04/2020",13,4,2020,0,0,"Curaçao","CW","CUW",159849
"2665","12/04/2020",12,4,2020,0,0,"Curaçao","CW","CUW",159849
"2666","11/04/2020",11,4,2020,0,0,"Curaçao","CW","CUW",159849
"2667","10/04/2020",10,4,2020,0,0,"Curaçao","CW","CUW",159849
"2668","09/04/2020",9,4,2020,1,0,"Curaçao","CW","CUW",159849
"2669","08/04/2020",8,4,2020,0,0,"Curaçao","CW","CUW",159849
"2670","07/04/2020",7,4,2020,2,0,"Curaçao","CW","CUW",159849
"2671","06/04/2020",6,4,2020,0,0,"Curaçao","CW","CUW",159849
"2672","05/04/2020",5,4,2020,0,0,"Curaçao","CW","CUW",159849
"2673","04/04/2020",4,4,2020,0,0,"Curaçao","CW","CUW",159849
"2674","03/04/2020",3,4,2020,0,0,"Curaçao","CW","CUW",159849
"2675","02/04/2020",2,4,2020,0,0,"Curaçao","CW","CUW",159849
"2676","01/04/2020",1,4,2020,2,0,"Curaçao","CW","CUW",159849
"2677","30/03/2020",30,3,2020,1,0,"Curaçao","CW","CUW",159849
"2678","29/03/2020",29,3,2020,0,0,"Curaçao","CW","CUW",159849
"2679","28/03/2020",28,3,2020,1,0,"Curaçao","CW","CUW",159849
"2680","27/03/2020",27,3,2020,1,0,"Curaçao","CW","CUW",159849
"2681","26/03/2020",26,3,2020,0,1,"Curaçao","CW","CUW",159849
"2682","24/03/2020",24,3,2020,3,0,"Curaçao","CW","CUW",159849
"2683","20/03/2020",20,3,2020,2,0,"Curaçao","CW","CUW",159849
"2684","13/03/2020",13,3,2020,1,0,"Curaçao","CW","CUW",159849
