"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2685","18/04/2020",18,4,2020,0,0,"Cyprus","CY","CYP",1189265
"2686","17/04/2020",17,4,2020,20,0,"Cyprus","CY","CYP",1189265
"2687","16/04/2020",16,4,2020,20,0,"Cyprus","CY","CYP",1189265
"2688","15/04/2020",15,4,2020,33,0,"Cyprus","CY","CYP",1189265
"2689","14/04/2020",14,4,2020,29,1,"Cyprus","CY","CYP",1189265
"2690","13/04/2020",13,4,2020,17,1,"Cyprus","CY","CYP",1189265
"2691","12/04/2020",12,4,2020,21,0,"Cyprus","CY","CYP",1189265
"2692","11/04/2020",11,4,2020,31,0,"Cyprus","CY","CYP",1189265
"2693","10/04/2020",10,4,2020,38,1,"Cyprus","CY","CYP",1189265
"2694","09/04/2020",9,4,2020,32,0,"Cyprus","CY","CYP",1189265
"2695","08/04/2020",8,4,2020,29,0,"Cyprus","CY","CYP",1189265
"2696","07/04/2020",7,4,2020,19,0,"Cyprus","CY","CYP",1189265
"2697","06/04/2020",6,4,2020,20,3,"Cyprus","CY","CYP",1189265
"2698","05/04/2020",5,4,2020,30,0,"Cyprus","CY","CYP",1189265
"2699","04/04/2020",4,4,2020,40,2,"Cyprus","CY","CYP",1189265
"2700","03/04/2020",3,4,2020,36,0,"Cyprus","CY","CYP",1189265
"2701","02/04/2020",2,4,2020,58,1,"Cyprus","CY","CYP",1189265
"2702","01/04/2020",1,4,2020,32,1,"Cyprus","CY","CYP",1189265
"2703","31/03/2020",31,3,2020,16,1,"Cyprus","CY","CYP",1189265
"2704","30/03/2020",30,3,2020,35,1,"Cyprus","CY","CYP",1189265
"2705","29/03/2020",29,3,2020,17,0,"Cyprus","CY","CYP",1189265
"2706","28/03/2020",28,3,2020,16,2,"Cyprus","CY","CYP",1189265
"2707","27/03/2020",27,3,2020,14,0,"Cyprus","CY","CYP",1189265
"2708","26/03/2020",26,3,2020,8,0,"Cyprus","CY","CYP",1189265
"2709","25/03/2020",25,3,2020,8,3,"Cyprus","CY","CYP",1189265
"2710","24/03/2020",24,3,2020,21,0,"Cyprus","CY","CYP",1189265
"2711","23/03/2020",23,3,2020,11,0,"Cyprus","CY","CYP",1189265
"2712","22/03/2020",22,3,2020,17,0,"Cyprus","CY","CYP",1189265
"2713","21/03/2020",21,3,2020,9,0,"Cyprus","CY","CYP",1189265
"2714","20/03/2020",20,3,2020,0,0,"Cyprus","CY","CYP",1189265
"2715","19/03/2020",19,3,2020,18,0,"Cyprus","CY","CYP",1189265
"2716","18/03/2020",18,3,2020,0,0,"Cyprus","CY","CYP",1189265
"2717","17/03/2020",17,3,2020,10,0,"Cyprus","CY","CYP",1189265
"2718","16/03/2020",16,3,2020,9,0,"Cyprus","CY","CYP",1189265
"2719","15/03/2020",15,3,2020,7,0,"Cyprus","CY","CYP",1189265
"2720","14/03/2020",14,3,2020,8,0,"Cyprus","CY","CYP",1189265
"2721","12/03/2020",12,3,2020,4,0,"Cyprus","CY","CYP",1189265
"2722","10/03/2020",10,3,2020,2,0,"Cyprus","CY","CYP",1189265
