"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2870","18/04/2020",18,4,2020,194,15,"Denmark","DK","DNK",5797446
"2871","17/04/2020",17,4,2020,198,12,"Denmark","DK","DNK",5797446
"2872","16/04/2020",16,4,2020,170,10,"Denmark","DK","DNK",5797446
"2873","15/04/2020",15,4,2020,193,14,"Denmark","DK","DNK",5797446
"2874","14/04/2020",14,4,2020,144,12,"Denmark","DK","DNK",5797446
"2875","13/04/2020",13,4,2020,178,13,"Denmark","DK","DNK",5797446
"2876","12/04/2020",12,4,2020,177,13,"Denmark","DK","DNK",5797446
"2877","11/04/2020",11,4,2020,184,10,"Denmark","DK","DNK",5797446
"2878","10/04/2020",10,4,2020,233,19,"Denmark","DK","DNK",5797446
"2879","09/04/2020",9,4,2020,331,15,"Denmark","DK","DNK",5797446
"2880","08/04/2020",8,4,2020,390,16,"Denmark","DK","DNK",5797446
"2881","07/04/2020",7,4,2020,312,8,"Denmark","DK","DNK",5797446
"2882","06/04/2020",6,4,2020,292,18,"Denmark","DK","DNK",5797446
"2883","05/04/2020",5,4,2020,320,22,"Denmark","DK","DNK",5797446
"2884","04/04/2020",4,4,2020,371,16,"Denmark","DK","DNK",5797446
"2885","03/04/2020",3,4,2020,279,19,"Denmark","DK","DNK",5797446
"2886","02/04/2020",2,4,2020,247,14,"Denmark","DK","DNK",5797446
"2887","01/04/2020",1,4,2020,283,13,"Denmark","DK","DNK",5797446
"2888","31/03/2020",31,3,2020,182,5,"Denmark","DK","DNK",5797446
"2889","30/03/2020",30,3,2020,194,7,"Denmark","DK","DNK",5797446
"2890","29/03/2020",29,3,2020,155,13,"Denmark","DK","DNK",5797446
"2891","28/03/2020",28,3,2020,169,11,"Denmark","DK","DNK",5797446
"2892","27/03/2020",27,3,2020,153,7,"Denmark","DK","DNK",5797446
"2893","26/03/2020",26,3,2020,133,2,"Denmark","DK","DNK",5797446
"2894","25/03/2020",25,3,2020,131,8,"Denmark","DK","DNK",5797446
"2895","24/03/2020",24,3,2020,65,11,"Denmark","DK","DNK",5797446
"2896","23/03/2020",23,3,2020,69,0,"Denmark","DK","DNK",5797446
"2897","22/03/2020",22,3,2020,71,4,"Denmark","DK","DNK",5797446
"2898","21/03/2020",21,3,2020,104,3,"Denmark","DK","DNK",5797446
"2899","20/03/2020",20,3,2020,36,2,"Denmark","DK","DNK",5797446
"2900","19/03/2020",19,3,2020,91,0,"Denmark","DK","DNK",5797446
