"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"2980","18/04/2020",18,4,2020,141,0,"Djibouti","DJ","DJI",958920
"2981","17/04/2020",17,4,2020,156,0,"Djibouti","DJ","DJI",958920
"2982","16/04/2020",16,4,2020,72,0,"Djibouti","DJ","DJI",958920
"2983","15/04/2020",15,4,2020,65,0,"Djibouti","DJ","DJI",958920
"2984","14/04/2020",14,4,2020,84,0,"Djibouti","DJ","DJI",958920
"2985","13/04/2020",13,4,2020,27,0,"Djibouti","DJ","DJI",958920
"2986","12/04/2020",12,4,2020,37,1,"Djibouti","DJ","DJI",958920
"2987","11/04/2020",11,4,2020,10,0,"Djibouti","DJ","DJI",958920
"2988","10/04/2020",10,4,2020,5,1,"Djibouti","DJ","DJI",958920
"2989","09/04/2020",9,4,2020,14,0,"Djibouti","DJ","DJI",958920
"2990","08/04/2020",8,4,2020,31,0,"Djibouti","DJ","DJI",958920
"2991","07/04/2020",7,4,2020,31,0,"Djibouti","DJ","DJI",958920
"2992","06/04/2020",6,4,2020,8,0,"Djibouti","DJ","DJI",958920
"2993","05/04/2020",5,4,2020,10,0,"Djibouti","DJ","DJI",958920
"2994","04/04/2020",4,4,2020,0,0,"Djibouti","DJ","DJI",958920
"2995","03/04/2020",3,4,2020,7,0,"Djibouti","DJ","DJI",958920
"2996","02/04/2020",2,4,2020,3,0,"Djibouti","DJ","DJI",958920
"2997","01/04/2020",1,4,2020,5,0,"Djibouti","DJ","DJI",958920
"2998","31/03/2020",31,3,2020,7,0,"Djibouti","DJ","DJI",958920
"2999","30/03/2020",30,3,2020,4,0,"Djibouti","DJ","DJI",958920
"3000","29/03/2020",29,3,2020,2,0,"Djibouti","DJ","DJI",958920
"3001","28/03/2020",28,3,2020,1,0,"Djibouti","DJ","DJI",958920
"3002","27/03/2020",27,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3003","26/03/2020",26,3,2020,9,0,"Djibouti","DJ","DJI",958920
"3004","25/03/2020",25,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3005","24/03/2020",24,3,2020,2,0,"Djibouti","DJ","DJI",958920
"3006","23/03/2020",23,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3007","22/03/2020",22,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3008","21/03/2020",21,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3009","20/03/2020",20,3,2020,0,0,"Djibouti","DJ","DJI",958920
"3010","19/03/2020",19,3,2020,1,0,"Djibouti","DJ","DJI",958920
