"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3038","18/04/2020",18,4,2020,371,4,"Dominican Republic","DO","DOM",10627165
"3039","17/04/2020",17,4,2020,141,7,"Dominican Republic","DO","DOM",10627165
"3040","16/04/2020",16,4,2020,328,6,"Dominican Republic","DO","DOM",10627165
"3041","15/04/2020",15,4,2020,119,6,"Dominican Republic","DO","DOM",10627165
"3042","14/04/2020",14,4,2020,200,4,"Dominican Republic","DO","DOM",10627165
"3043","13/04/2020",13,4,2020,208,38,"Dominican Republic","DO","DOM",10627165
"3044","12/04/2020",12,4,2020,139,9,"Dominican Republic","DO","DOM",10627165
"3045","11/04/2020",11,4,2020,271,8,"Dominican Republic","DO","DOM",10627165
"3046","10/04/2020",10,4,2020,238,10,"Dominican Republic","DO","DOM",10627165
"3047","09/04/2020",9,4,2020,155,10,"Dominican Republic","DO","DOM",10627165
"3048","08/04/2020",8,4,2020,128,12,"Dominican Republic","DO","DOM",10627165
"3049","07/04/2020",7,4,2020,83,4,"Dominican Republic","DO","DOM",10627165
"3050","06/04/2020",6,4,2020,167,5,"Dominican Republic","DO","DOM",10627165
"3051","05/04/2020",5,4,2020,90,9,"Dominican Republic","DO","DOM",10627165
"3052","04/04/2020",4,4,2020,108,8,"Dominican Republic","DO","DOM",10627165
"3053","03/04/2020",3,4,2020,96,3,"Dominican Republic","DO","DOM",10627165
"3054","02/04/2020",2,4,2020,175,6,"Dominican Republic","DO","DOM",10627165
"3055","01/04/2020",1,4,2020,208,9,"Dominican Republic","DO","DOM",10627165
"3056","31/03/2020",31,3,2020,42,3,"Dominican Republic","DO","DOM",10627165
"3057","30/03/2020",30,3,2020,140,11,"Dominican Republic","DO","DOM",10627165
"3058","29/03/2020",29,3,2020,138,8,"Dominican Republic","DO","DOM",10627165
"3059","28/03/2020",28,3,2020,93,10,"Dominican Republic","DO","DOM",10627165
"3060","27/03/2020",27,3,2020,96,0,"Dominican Republic","DO","DOM",10627165
"3061","26/03/2020",26,3,2020,80,4,"Dominican Republic","DO","DOM",10627165
"3062","25/03/2020",25,3,2020,67,3,"Dominican Republic","DO","DOM",10627165
"3063","24/03/2020",24,3,2020,43,0,"Dominican Republic","DO","DOM",10627165
"3064","23/03/2020",23,3,2020,90,0,"Dominican Republic","DO","DOM",10627165
"3065","22/03/2020",22,3,2020,78,1,"Dominican Republic","DO","DOM",10627165
"3066","21/03/2020",21,3,2020,13,2,"Dominican Republic","DO","DOM",10627165
"3067","20/03/2020",20,3,2020,0,0,"Dominican Republic","DO","DOM",10627165
