"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3244","18/04/2020",18,4,2020,171,9,"Egypt","EG","EGY",98423595
"3245","17/04/2020",17,4,2020,168,13,"Egypt","EG","EGY",98423595
"3246","16/04/2020",16,4,2020,155,5,"Egypt","EG","EGY",98423595
"3247","15/04/2020",15,4,2020,160,14,"Egypt","EG","EGY",98423595
"3248","14/04/2020",14,4,2020,125,5,"Egypt","EG","EGY",98423595
"3249","13/04/2020",13,4,2020,126,13,"Egypt","EG","EGY",98423595
"3250","12/04/2020",12,4,2020,145,11,"Egypt","EG","EGY",98423595
"3251","11/04/2020",11,4,2020,95,17,"Egypt","EG","EGY",98423595
"3252","10/04/2020",10,4,2020,139,15,"Egypt","EG","EGY",98423595
"3253","09/04/2020",9,4,2020,238,18,"Egypt","EG","EGY",98423595
"3254","08/04/2020",8,4,2020,249,7,"Egypt","EG","EGY",98423595
"3255","07/04/2020",7,4,2020,3,7,"Egypt","EG","EGY",98423595
"3256","06/04/2020",6,4,2020,85,5,"Egypt","EG","EGY",98423595
"3257","05/04/2020",5,4,2020,206,14,"Egypt","EG","EGY",98423595
"3258","04/04/2020",4,4,2020,0,0,"Egypt","EG","EGY",98423595
"3259","03/04/2020",3,4,2020,69,6,"Egypt","EG","EGY",98423595
"3260","02/04/2020",2,4,2020,54,5,"Egypt","EG","EGY",98423595
"3261","01/04/2020",1,4,2020,47,1,"Egypt","EG","EGY",98423595
"3262","31/03/2020",31,3,2020,33,4,"Egypt","EG","EGY",98423595
"3263","30/03/2020",30,3,2020,40,6,"Egypt","EG","EGY",98423595
"3264","29/03/2020",29,3,2020,41,6,"Egypt","EG","EGY",98423595
"3265","28/03/2020",28,3,2020,39,3,"Egypt","EG","EGY",98423595
"3266","27/03/2020",27,3,2020,14,0,"Egypt","EG","EGY",98423595
"3267","26/03/2020",26,3,2020,76,2,"Egypt","EG","EGY",98423595
"3268","25/03/2020",25,3,2020,39,5,"Egypt","EG","EGY",98423595
"3269","24/03/2020",24,3,2020,33,4,"Egypt","EG","EGY",98423595
"3270","23/03/2020",23,3,2020,9,2,"Egypt","EG","EGY",98423595
"3271","22/03/2020",22,3,2020,29,1,"Egypt","EG","EGY",98423595
"3272","21/03/2020",21,3,2020,46,1,"Egypt","EG","EGY",98423595
"3273","20/03/2020",20,3,2020,14,0,"Egypt","EG","EGY",98423595
"3274","19/03/2020",19,3,2020,30,2,"Egypt","EG","EGY",98423595
"3275","18/03/2020",18,3,2020,40,2,"Egypt","EG","EGY",98423595
"3276","17/03/2020",17,3,2020,16,0,"Egypt","EG","EGY",98423595
"3277","16/03/2020",16,3,2020,17,0,"Egypt","EG","EGY",98423595
"3278","15/03/2020",15,3,2020,0,0,"Egypt","EG","EGY",98423595
"3279","14/03/2020",14,3,2020,13,0,"Egypt","EG","EGY",98423595
"3280","13/03/2020",13,3,2020,20,1,"Egypt","EG","EGY",98423595
"3281","12/03/2020",12,3,2020,1,0,"Egypt","EG","EGY",98423595
"3282","11/03/2020",11,3,2020,4,0,"Egypt","EG","EGY",98423595
"3283","10/03/2020",10,3,2020,6,0,"Egypt","EG","EGY",98423595
"3284","09/03/2020",9,3,2020,34,1,"Egypt","EG","EGY",98423595
"3285","07/03/2020",7,3,2020,12,0,"Egypt","EG","EGY",98423595
"3286","06/03/2020",6,3,2020,1,0,"Egypt","EG","EGY",98423595
"3287","02/03/2020",2,3,2020,1,0,"Egypt","EG","EGY",98423595
"3288","01/03/2020",1,3,2020,0,0,"Egypt","EG","EGY",98423595
"3289","29/02/2020",29,2,2020,0,0,"Egypt","EG","EGY",98423595
"3290","28/02/2020",28,2,2020,0,0,"Egypt","EG","EGY",98423595
