"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3350","18/04/2020",18,4,2020,13,1,"El Salvador","SV","SLV",6420744
"3351","17/04/2020",17,4,2020,5,0,"El Salvador","SV","SLV",6420744
"3352","16/04/2020",16,4,2020,0,0,"El Salvador","SV","SLV",6420744
"3353","15/04/2020",15,4,2020,10,0,"El Salvador","SV","SLV",6420744
"3354","14/04/2020",14,4,2020,24,0,"El Salvador","SV","SLV",6420744
"3355","13/04/2020",13,4,2020,7,0,"El Salvador","SV","SLV",6420744
"3356","12/04/2020",12,4,2020,0,0,"El Salvador","SV","SLV",6420744
"3357","11/04/2020",11,4,2020,1,0,"El Salvador","SV","SLV",6420744
"3358","10/04/2020",10,4,2020,14,1,"El Salvador","SV","SLV",6420744
"3359","09/04/2020",9,4,2020,25,1,"El Salvador","SV","SLV",6420744
"3360","08/04/2020",8,4,2020,0,0,"El Salvador","SV","SLV",6420744
"3361","07/04/2020",7,4,2020,9,1,"El Salvador","SV","SLV",6420744
"3362","06/04/2020",6,4,2020,7,0,"El Salvador","SV","SLV",6420744
"3363","05/04/2020",5,4,2020,6,0,"El Salvador","SV","SLV",6420744
"3364","04/04/2020",4,4,2020,10,1,"El Salvador","SV","SLV",6420744
"3365","03/04/2020",3,4,2020,5,0,"El Salvador","SV","SLV",6420744
"3366","02/04/2020",2,4,2020,9,1,"El Salvador","SV","SLV",6420744
"3367","01/04/2020",1,4,2020,0,1,"El Salvador","SV","SLV",6420744
"3368","31/03/2020",31,3,2020,2,0,"El Salvador","SV","SLV",6420744
"3369","30/03/2020",30,3,2020,11,0,"El Salvador","SV","SLV",6420744
"3370","29/03/2020",29,3,2020,6,0,"El Salvador","SV","SLV",6420744
"3371","28/03/2020",28,3,2020,0,0,"El Salvador","SV","SLV",6420744
"3372","27/03/2020",27,3,2020,0,0,"El Salvador","SV","SLV",6420744
"3373","26/03/2020",26,3,2020,4,0,"El Salvador","SV","SLV",6420744
"3374","25/03/2020",25,3,2020,4,0,"El Salvador","SV","SLV",6420744
"3375","24/03/2020",24,3,2020,2,0,"El Salvador","SV","SLV",6420744
"3376","23/03/2020",23,3,2020,0,0,"El Salvador","SV","SLV",6420744
"3377","22/03/2020",22,3,2020,0,0,"El Salvador","SV","SLV",6420744
"3378","21/03/2020",21,3,2020,2,0,"El Salvador","SV","SLV",6420744
"3379","20/03/2020",20,3,2020,0,0,"El Salvador","SV","SLV",6420744
"3380","19/03/2020",19,3,2020,1,0,"El Salvador","SV","SLV",6420744
