"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3444","18/04/2020",18,4,2020,25,2,"Estonia","EE","EST",1320884
"3445","17/04/2020",17,4,2020,32,1,"Estonia","EE","EST",1320884
"3446","16/04/2020",16,4,2020,29,4,"Estonia","EE","EST",1320884
"3447","15/04/2020",15,4,2020,41,3,"Estonia","EE","EST",1320884
"3448","14/04/2020",14,4,2020,23,3,"Estonia","EE","EST",1320884
"3449","13/04/2020",13,4,2020,5,1,"Estonia","EE","EST",1320884
"3450","12/04/2020",12,4,2020,46,0,"Estonia","EE","EST",1320884
"3451","11/04/2020",11,4,2020,51,0,"Estonia","EE","EST",1320884
"3452","10/04/2020",10,4,2020,22,0,"Estonia","EE","EST",1320884
"3453","09/04/2020",9,4,2020,36,3,"Estonia","EE","EST",1320884
"3454","08/04/2020",8,4,2020,41,2,"Estonia","EE","EST",1320884
"3455","07/04/2020",7,4,2020,11,4,"Estonia","EE","EST",1320884
"3456","06/04/2020",6,4,2020,79,2,"Estonia","EE","EST",1320884
"3457","05/04/2020",5,4,2020,57,1,"Estonia","EE","EST",1320884
"3458","04/04/2020",4,4,2020,103,1,"Estonia","EE","EST",1320884
"3459","03/04/2020",3,4,2020,79,6,"Estonia","EE","EST",1320884
"3460","02/04/2020",2,4,2020,34,1,"Estonia","EE","EST",1320884
"3461","01/04/2020",1,4,2020,30,1,"Estonia","EE","EST",1320884
"3462","31/03/2020",31,3,2020,36,0,"Estonia","EE","EST",1320884
"3463","30/03/2020",30,3,2020,39,2,"Estonia","EE","EST",1320884
"3464","29/03/2020",29,3,2020,65,0,"Estonia","EE","EST",1320884
"3465","28/03/2020",28,3,2020,37,0,"Estonia","EE","EST",1320884
"3466","27/03/2020",27,3,2020,134,0,"Estonia","EE","EST",1320884
"3467","26/03/2020",26,3,2020,35,1,"Estonia","EE","EST",1320884
"3468","25/03/2020",25,3,2020,17,0,"Estonia","EE","EST",1320884
"3469","24/03/2020",24,3,2020,26,0,"Estonia","EE","EST",1320884
"3470","23/03/2020",23,3,2020,20,0,"Estonia","EE","EST",1320884
