"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"3584","18/04/2020",18,4,2020,4,0,"Ethiopia","ET","ETH",109224559
"3585","17/04/2020",17,4,2020,7,0,"Ethiopia","ET","ETH",109224559
"3586","16/04/2020",16,4,2020,3,0,"Ethiopia","ET","ETH",109224559
"3587","15/04/2020",15,4,2020,8,0,"Ethiopia","ET","ETH",109224559
"3588","14/04/2020",14,4,2020,3,0,"Ethiopia","ET","ETH",109224559
"3589","13/04/2020",13,4,2020,2,0,"Ethiopia","ET","ETH",109224559
"3590","12/04/2020",12,4,2020,4,1,"Ethiopia","ET","ETH",109224559
"3591","11/04/2020",11,4,2020,9,0,"Ethiopia","ET","ETH",109224559
"3592","10/04/2020",10,4,2020,1,0,"Ethiopia","ET","ETH",109224559
"3593","09/04/2020",9,4,2020,3,0,"Ethiopia","ET","ETH",109224559
"3594","08/04/2020",8,4,2020,8,0,"Ethiopia","ET","ETH",109224559
"3595","07/04/2020",7,4,2020,1,0,"Ethiopia","ET","ETH",109224559
"3596","06/04/2020",6,4,2020,5,2,"Ethiopia","ET","ETH",109224559
"3597","05/04/2020",5,4,2020,3,0,"Ethiopia","ET","ETH",109224559
"3598","04/04/2020",4,4,2020,6,0,"Ethiopia","ET","ETH",109224559
"3599","03/04/2020",3,4,2020,0,0,"Ethiopia","ET","ETH",109224559
"3600","02/04/2020",2,4,2020,4,0,"Ethiopia","ET","ETH",109224559
"3601","01/04/2020",1,4,2020,2,0,"Ethiopia","ET","ETH",109224559
"3602","31/03/2020",31,3,2020,7,0,"Ethiopia","ET","ETH",109224559
"3603","30/03/2020",30,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3604","29/03/2020",29,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3605","28/03/2020",28,3,2020,4,0,"Ethiopia","ET","ETH",109224559
"3606","27/03/2020",27,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3607","26/03/2020",26,3,2020,1,0,"Ethiopia","ET","ETH",109224559
"3608","25/03/2020",25,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3609","24/03/2020",24,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3610","23/03/2020",23,3,2020,2,0,"Ethiopia","ET","ETH",109224559
"3611","22/03/2020",22,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3612","21/03/2020",21,3,2020,2,0,"Ethiopia","ET","ETH",109224559
"3613","20/03/2020",20,3,2020,1,0,"Ethiopia","ET","ETH",109224559
"3614","19/03/2020",19,3,2020,1,0,"Ethiopia","ET","ETH",109224559
"3615","18/03/2020",18,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3616","17/03/2020",17,3,2020,1,0,"Ethiopia","ET","ETH",109224559
"3617","16/03/2020",16,3,2020,3,0,"Ethiopia","ET","ETH",109224559
"3618","15/03/2020",15,3,2020,0,0,"Ethiopia","ET","ETH",109224559
"3619","14/03/2020",14,3,2020,1,0,"Ethiopia","ET","ETH",109224559
