"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4010","18/04/2020",18,4,2020,22,0,"Georgia","GE","GEO",3731000
"4011","17/04/2020",17,4,2020,42,0,"Georgia","GE","GEO",3731000
"4012","16/04/2020",16,4,2020,6,0,"Georgia","GE","GEO",3731000
"4013","15/04/2020",15,4,2020,28,0,"Georgia","GE","GEO",3731000
"4014","14/04/2020",14,4,2020,15,0,"Georgia","GE","GEO",3731000
"4015","13/04/2020",13,4,2020,15,0,"Georgia","GE","GEO",3731000
"4016","12/04/2020",12,4,2020,8,0,"Georgia","GE","GEO",3731000
"4017","11/04/2020",11,4,2020,16,0,"Georgia","GE","GEO",3731000
"4018","10/04/2020",10,4,2020,7,0,"Georgia","GE","GEO",3731000
"4019","09/04/2020",9,4,2020,15,0,"Georgia","GE","GEO",3731000
"4020","08/04/2020",8,4,2020,8,1,"Georgia","GE","GEO",3731000
"4021","07/04/2020",7,4,2020,14,0,"Georgia","GE","GEO",3731000
"4022","06/04/2020",6,4,2020,17,2,"Georgia","GE","GEO",3731000
"4023","05/04/2020",5,4,2020,9,0,"Georgia","GE","GEO",3731000
"4024","04/04/2020",4,4,2020,27,0,"Georgia","GE","GEO",3731000
"4025","03/04/2020",3,4,2020,6,0,"Georgia","GE","GEO",3731000
"4026","02/04/2020",2,4,2020,5,0,"Georgia","GE","GEO",3731000
"4027","01/04/2020",1,4,2020,12,0,"Georgia","GE","GEO",3731000
"4028","31/03/2020",31,3,2020,8,0,"Georgia","GE","GEO",3731000
"4029","30/03/2020",30,3,2020,5,0,"Georgia","GE","GEO",3731000
"4030","29/03/2020",29,3,2020,4,0,"Georgia","GE","GEO",3731000
"4031","28/03/2020",28,3,2020,2,0,"Georgia","GE","GEO",3731000
"4032","27/03/2020",27,3,2020,6,0,"Georgia","GE","GEO",3731000
"4033","26/03/2020",26,3,2020,3,0,"Georgia","GE","GEO",3731000
"4034","25/03/2020",25,3,2020,9,0,"Georgia","GE","GEO",3731000
"4035","24/03/2020",24,3,2020,7,0,"Georgia","GE","GEO",3731000
"4036","23/03/2020",23,3,2020,5,0,"Georgia","GE","GEO",3731000
"4037","22/03/2020",22,3,2020,6,0,"Georgia","GE","GEO",3731000
"4038","21/03/2020",21,3,2020,3,0,"Georgia","GE","GEO",3731000
"4039","20/03/2020",20,3,2020,6,0,"Georgia","GE","GEO",3731000
"4040","19/03/2020",19,3,2020,0,0,"Georgia","GE","GEO",3731000
"4041","18/03/2020",18,3,2020,1,0,"Georgia","GE","GEO",3731000
"4042","17/03/2020",17,3,2020,3,0,"Georgia","GE","GEO",3731000
"4043","16/03/2020",16,3,2020,0,0,"Georgia","GE","GEO",3731000
"4044","15/03/2020",15,3,2020,0,0,"Georgia","GE","GEO",3731000
"4045","14/03/2020",14,3,2020,5,0,"Georgia","GE","GEO",3731000
"4046","13/03/2020",13,3,2020,1,0,"Georgia","GE","GEO",3731000
"4047","12/03/2020",12,3,2020,1,0,"Georgia","GE","GEO",3731000
"4048","11/03/2020",11,3,2020,8,0,"Georgia","GE","GEO",3731000
"4049","10/03/2020",10,3,2020,2,0,"Georgia","GE","GEO",3731000
"4050","09/03/2020",9,3,2020,1,0,"Georgia","GE","GEO",3731000
"4051","08/03/2020",8,3,2020,3,0,"Georgia","GE","GEO",3731000
"4052","06/03/2020",6,3,2020,6,0,"Georgia","GE","GEO",3731000
"4053","05/03/2020",5,3,2020,0,0,"Georgia","GE","GEO",3731000
"4054","02/03/2020",2,3,2020,0,0,"Georgia","GE","GEO",3731000
"4055","01/03/2020",1,3,2020,1,0,"Georgia","GE","GEO",3731000
"4056","29/02/2020",29,2,2020,1,0,"Georgia","GE","GEO",3731000
"4057","28/02/2020",28,2,2020,0,0,"Georgia","GE","GEO",3731000
"4058","27/02/2020",27,2,2020,1,0,"Georgia","GE","GEO",3731000
"4059","26/02/2020",26,2,2020,0,0,"Georgia","GE","GEO",3731000
