"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4293","18/04/2020",18,4,2020,0,0,"Greece","EL","GRC",10727668
"4294","17/04/2020",17,4,2020,15,3,"Greece","EL","GRC",10727668
"4295","16/04/2020",16,4,2020,22,1,"Greece","EL","GRC",10727668
"4296","15/04/2020",15,4,2020,25,2,"Greece","EL","GRC",10727668
"4297","14/04/2020",14,4,2020,31,1,"Greece","EL","GRC",10727668
"4298","13/04/2020",13,4,2020,33,5,"Greece","EL","GRC",10727668
"4299","12/04/2020",12,4,2020,70,3,"Greece","EL","GRC",10727668
"4300","11/04/2020",11,4,2020,56,4,"Greece","EL","GRC",10727668
"4301","10/04/2020",10,4,2020,71,3,"Greece","EL","GRC",10727668
"4302","09/04/2020",9,4,2020,52,2,"Greece","EL","GRC",10727668
"4303","08/04/2020",8,4,2020,77,2,"Greece","EL","GRC",10727668
"4304","07/04/2020",7,4,2020,20,6,"Greece","EL","GRC",10727668
"4305","06/04/2020",6,4,2020,62,5,"Greece","EL","GRC",10727668
"4306","05/04/2020",5,4,2020,60,9,"Greece","EL","GRC",10727668
"4307","04/04/2020",4,4,2020,99,6,"Greece","EL","GRC",10727668
"4308","03/04/2020",3,4,2020,139,3,"Greece","EL","GRC",10727668
"4309","02/04/2020",2,4,2020,61,1,"Greece","EL","GRC",10727668
"4310","01/04/2020",1,4,2020,102,6,"Greece","EL","GRC",10727668
"4311","31/03/2020",31,3,2020,56,5,"Greece","EL","GRC",10727668
"4312","30/03/2020",30,3,2020,95,6,"Greece","EL","GRC",10727668
"4313","29/03/2020",29,3,2020,95,4,"Greece","EL","GRC",10727668
"4314","28/03/2020",28,3,2020,74,2,"Greece","EL","GRC",10727668
"4315","27/03/2020",27,3,2020,71,4,"Greece","EL","GRC",10727668
"4316","26/03/2020",26,3,2020,78,2,"Greece","EL","GRC",10727668
"4317","25/03/2020",25,3,2020,48,3,"Greece","EL","GRC",10727668
"4318","24/03/2020",24,3,2020,71,2,"Greece","EL","GRC",10727668
"4319","23/03/2020",23,3,2020,94,2,"Greece","EL","GRC",10727668
"4320","22/03/2020",22,3,2020,35,5,"Greece","EL","GRC",10727668
"4321","21/03/2020",21,3,2020,31,3,"Greece","EL","GRC",10727668
"4322","20/03/2020",20,3,2020,46,0,"Greece","EL","GRC",10727668
"4323","19/03/2020",19,3,2020,31,0,"Greece","EL","GRC",10727668
"4324","18/03/2020",18,3,2020,35,1,"Greece","EL","GRC",10727668
"4325","17/03/2020",17,3,2020,21,0,"Greece","EL","GRC",10727668
"4326","16/03/2020",16,3,2020,103,1,"Greece","EL","GRC",10727668
"4327","15/03/2020",15,3,2020,38,2,"Greece","EL","GRC",10727668
"4328","14/03/2020",14,3,2020,57,0,"Greece","EL","GRC",10727668
"4329","13/03/2020",13,3,2020,34,0,"Greece","EL","GRC",10727668
"4330","12/03/2020",12,3,2020,9,1,"Greece","EL","GRC",10727668
"4331","11/03/2020",11,3,2020,6,0,"Greece","EL","GRC",10727668
"4332","10/03/2020",10,3,2020,11,0,"Greece","EL","GRC",10727668
"4333","09/03/2020",9,3,2020,7,0,"Greece","EL","GRC",10727668
"4334","08/03/2020",8,3,2020,21,0,"Greece","EL","GRC",10727668
"4335","07/03/2020",7,3,2020,13,0,"Greece","EL","GRC",10727668
"4336","06/03/2020",6,3,2020,22,0,"Greece","EL","GRC",10727668
"4337","05/03/2020",5,3,2020,3,0,"Greece","EL","GRC",10727668
"4338","02/03/2020",2,3,2020,0,0,"Greece","EL","GRC",10727668
"4339","01/03/2020",1,3,2020,3,0,"Greece","EL","GRC",10727668
"4340","29/02/2020",29,2,2020,1,0,"Greece","EL","GRC",10727668
"4341","28/02/2020",28,2,2020,2,0,"Greece","EL","GRC",10727668
"4342","27/02/2020",27,2,2020,1,0,"Greece","EL","GRC",10727668
"4343","26/02/2020",26,2,2020,0,0,"Greece","EL","GRC",10727668
"4344","25/02/2020",25,2,2020,0,0,"Greece","EL","GRC",10727668
"4345","24/02/2020",24,2,2020,0,0,"Greece","EL","GRC",10727668
"4346","23/02/2020",23,2,2020,0,0,"Greece","EL","GRC",10727668
"4347","22/02/2020",22,2,2020,0,0,"Greece","EL","GRC",10727668
"4348","21/02/2020",21,2,2020,0,0,"Greece","EL","GRC",10727668
"4349","20/02/2020",20,2,2020,0,0,"Greece","EL","GRC",10727668
"4350","19/02/2020",19,2,2020,0,0,"Greece","EL","GRC",10727668
