"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4431","18/04/2020",18,4,2020,0,0,"Grenada","GD","GRD",111454
"4432","17/04/2020",17,4,2020,0,0,"Grenada","GD","GRD",111454
"4433","16/04/2020",16,4,2020,0,0,"Grenada","GD","GRD",111454
"4434","15/04/2020",15,4,2020,0,0,"Grenada","GD","GRD",111454
"4435","14/04/2020",14,4,2020,0,0,"Grenada","GD","GRD",111454
"4436","13/04/2020",13,4,2020,0,0,"Grenada","GD","GRD",111454
"4437","12/04/2020",12,4,2020,0,0,"Grenada","GD","GRD",111454
"4438","11/04/2020",11,4,2020,2,0,"Grenada","GD","GRD",111454
"4439","10/04/2020",10,4,2020,0,0,"Grenada","GD","GRD",111454
"4440","09/04/2020",9,4,2020,0,0,"Grenada","GD","GRD",111454
"4441","08/04/2020",8,4,2020,0,0,"Grenada","GD","GRD",111454
"4442","07/04/2020",7,4,2020,0,0,"Grenada","GD","GRD",111454
"4443","06/04/2020",6,4,2020,0,0,"Grenada","GD","GRD",111454
"4444","05/04/2020",5,4,2020,0,0,"Grenada","GD","GRD",111454
"4445","04/04/2020",4,4,2020,2,0,"Grenada","GD","GRD",111454
"4446","03/04/2020",3,4,2020,0,0,"Grenada","GD","GRD",111454
"4447","02/04/2020",2,4,2020,1,0,"Grenada","GD","GRD",111454
"4448","01/04/2020",1,4,2020,0,0,"Grenada","GD","GRD",111454
"4449","31/03/2020",31,3,2020,0,0,"Grenada","GD","GRD",111454
"4450","30/03/2020",30,3,2020,0,0,"Grenada","GD","GRD",111454
"4451","29/03/2020",29,3,2020,2,0,"Grenada","GD","GRD",111454
"4452","28/03/2020",28,3,2020,0,0,"Grenada","GD","GRD",111454
"4453","27/03/2020",27,3,2020,6,0,"Grenada","GD","GRD",111454
"4454","26/03/2020",26,3,2020,0,0,"Grenada","GD","GRD",111454
"4455","25/03/2020",25,3,2020,0,0,"Grenada","GD","GRD",111454
"4456","24/03/2020",24,3,2020,0,0,"Grenada","GD","GRD",111454
"4457","23/03/2020",23,3,2020,1,0,"Grenada","GD","GRD",111454
