"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4489","18/04/2020",18,4,2020,21,0,"Guatemala","GT","GTM",17247807
"4490","17/04/2020",17,4,2020,18,2,"Guatemala","GT","GTM",17247807
"4491","16/04/2020",16,4,2020,16,0,"Guatemala","GT","GTM",17247807
"4492","15/04/2020",15,4,2020,13,0,"Guatemala","GT","GTM",17247807
"4493","14/04/2020",14,4,2020,11,0,"Guatemala","GT","GTM",17247807
"4494","13/04/2020",13,4,2020,3,2,"Guatemala","GT","GTM",17247807
"4495","12/04/2020",12,4,2020,16,0,"Guatemala","GT","GTM",17247807
"4496","11/04/2020",11,4,2020,11,0,"Guatemala","GT","GTM",17247807
"4497","10/04/2020",10,4,2020,39,0,"Guatemala","GT","GTM",17247807
"4498","09/04/2020",9,4,2020,7,0,"Guatemala","GT","GTM",17247807
"4499","08/04/2020",8,4,2020,6,0,"Guatemala","GT","GTM",17247807
"4500","07/04/2020",7,4,2020,4,0,"Guatemala","GT","GTM",17247807
"4501","06/04/2020",6,4,2020,9,1,"Guatemala","GT","GTM",17247807
"4502","05/04/2020",5,4,2020,11,1,"Guatemala","GT","GTM",17247807
"4503","04/04/2020",4,4,2020,3,0,"Guatemala","GT","GTM",17247807
"4504","03/04/2020",3,4,2020,1,0,"Guatemala","GT","GTM",17247807
"4505","02/04/2020",2,4,2020,8,0,"Guatemala","GT","GTM",17247807
"4506","01/04/2020",1,4,2020,2,0,"Guatemala","GT","GTM",17247807
"4507","31/03/2020",31,3,2020,0,0,"Guatemala","GT","GTM",17247807
"4508","30/03/2020",30,3,2020,2,0,"Guatemala","GT","GTM",17247807
"4509","29/03/2020",29,3,2020,2,0,"Guatemala","GT","GTM",17247807
"4510","28/03/2020",28,3,2020,7,0,"Guatemala","GT","GTM",17247807
"4511","27/03/2020",27,3,2020,1,0,"Guatemala","GT","GTM",17247807
"4512","26/03/2020",26,3,2020,3,0,"Guatemala","GT","GTM",17247807
"4513","25/03/2020",25,3,2020,1,0,"Guatemala","GT","GTM",17247807
"4514","24/03/2020",24,3,2020,1,0,"Guatemala","GT","GTM",17247807
"4515","23/03/2020",23,3,2020,2,0,"Guatemala","GT","GTM",17247807
"4516","22/03/2020",22,3,2020,4,0,"Guatemala","GT","GTM",17247807
"4517","21/03/2020",21,3,2020,4,0,"Guatemala","GT","GTM",17247807
"4518","20/03/2020",20,3,2020,1,0,"Guatemala","GT","GTM",17247807
"4519","19/03/2020",19,3,2020,2,0,"Guatemala","GT","GTM",17247807
"4520","18/03/2020",18,3,2020,0,0,"Guatemala","GT","GTM",17247807
"4521","17/03/2020",17,3,2020,5,0,"Guatemala","GT","GTM",17247807
"4522","16/03/2020",16,3,2020,0,1,"Guatemala","GT","GTM",17247807
"4523","15/03/2020",15,3,2020,1,0,"Guatemala","GT","GTM",17247807
