"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4524","18/04/2020",18,4,2020,0,0,"Guernsey","GG","GGY",63026
"4525","17/04/2020",17,4,2020,11,2,"Guernsey","GG","GGY",63026
"4526","16/04/2020",16,4,2020,0,0,"Guernsey","GG","GGY",63026
"4527","15/04/2020",15,4,2020,4,1,"Guernsey","GG","GGY",63026
"4528","14/04/2020",14,4,2020,1,0,"Guernsey","GG","GGY",63026
"4529","13/04/2020",13,4,2020,9,0,"Guernsey","GG","GGY",63026
"4530","12/04/2020",12,4,2020,9,0,"Guernsey","GG","GGY",63026
"4531","11/04/2020",11,4,2020,9,1,"Guernsey","GG","GGY",63026
"4532","10/04/2020",10,4,2020,10,0,"Guernsey","GG","GGY",63026
"4533","09/04/2020",9,4,2020,15,1,"Guernsey","GG","GGY",63026
"4534","08/04/2020",8,4,2020,1,0,"Guernsey","GG","GGY",63026
"4535","07/04/2020",7,4,2020,11,1,"Guernsey","GG","GGY",63026
"4536","06/04/2020",6,4,2020,18,1,"Guernsey","GG","GGY",63026
"4537","05/04/2020",5,4,2020,22,0,"Guernsey","GG","GGY",63026
"4538","04/04/2020",4,4,2020,23,2,"Guernsey","GG","GGY",63026
"4539","03/04/2020",3,4,2020,13,0,"Guernsey","GG","GGY",63026
"4540","02/04/2020",2,4,2020,18,0,"Guernsey","GG","GGY",63026
"4541","01/04/2020",1,4,2020,15,0,"Guernsey","GG","GGY",63026
"4542","31/03/2020",31,3,2020,0,0,"Guernsey","GG","GGY",63026
"4543","30/03/2020",30,3,2020,6,0,"Guernsey","GG","GGY",63026
"4544","29/03/2020",29,3,2020,3,0,"Guernsey","GG","GGY",63026
"4545","28/03/2020",28,3,2020,2,0,"Guernsey","GG","GGY",63026
"4546","27/03/2020",27,3,2020,4,0,"Guernsey","GG","GGY",63026
"4547","26/03/2020",26,3,2020,7,0,"Guernsey","GG","GGY",63026
"4548","25/03/2020",25,3,2020,3,0,"Guernsey","GG","GGY",63026
"4549","24/03/2020",24,3,2020,3,0,"Guernsey","GG","GGY",63026
"4550","23/03/2020",23,3,2020,16,0,"Guernsey","GG","GGY",63026
"4551","22/03/2020",22,3,2020,0,0,"Guernsey","GG","GGY",63026
"4552","21/03/2020",21,3,2020,0,0,"Guernsey","GG","GGY",63026
"4553","20/03/2020",20,3,2020,1,0,"Guernsey","GG","GGY",63026
