"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4589","18/04/2020",18,4,2020,4,0,"Guinea Bissau","GW","GNB",1874309
"4590","17/04/2020",17,4,2020,3,0,"Guinea Bissau","GW","GNB",1874309
"4591","16/04/2020",16,4,2020,3,0,"Guinea Bissau","GW","GNB",1874309
"4592","15/04/2020",15,4,2020,1,0,"Guinea Bissau","GW","GNB",1874309
"4593","14/04/2020",14,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4594","13/04/2020",13,4,2020,1,0,"Guinea Bissau","GW","GNB",1874309
"4595","12/04/2020",12,4,2020,3,0,"Guinea Bissau","GW","GNB",1874309
"4596","11/04/2020",11,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4597","10/04/2020",10,4,2020,2,0,"Guinea Bissau","GW","GNB",1874309
"4598","09/04/2020",9,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4599","08/04/2020",8,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4600","07/04/2020",7,4,2020,15,0,"Guinea Bissau","GW","GNB",1874309
"4601","06/04/2020",6,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4602","05/04/2020",5,4,2020,3,0,"Guinea Bissau","GW","GNB",1874309
"4603","04/04/2020",4,4,2020,6,0,"Guinea Bissau","GW","GNB",1874309
"4604","03/04/2020",3,4,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4605","02/04/2020",2,4,2020,1,0,"Guinea Bissau","GW","GNB",1874309
"4606","01/04/2020",1,4,2020,6,0,"Guinea Bissau","GW","GNB",1874309
"4607","31/03/2020",31,3,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4608","30/03/2020",30,3,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4609","29/03/2020",29,3,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4610","28/03/2020",28,3,2020,0,0,"Guinea Bissau","GW","GNB",1874309
"4611","27/03/2020",27,3,2020,2,0,"Guinea Bissau","GW","GNB",1874309
