"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4748","18/04/2020",18,4,2020,71,16,"Hungary","HU","HUN",9768785
"4749","17/04/2020",17,4,2020,111,14,"Hungary","HU","HUN",9768785
"4750","16/04/2020",16,4,2020,73,8,"Hungary","HU","HUN",9768785
"4751","15/04/2020",15,4,2020,67,12,"Hungary","HU","HUN",9768785
"4752","14/04/2020",14,4,2020,54,13,"Hungary","HU","HUN",9768785
"4753","13/04/2020",13,4,2020,48,10,"Hungary","HU","HUN",9768785
"4754","12/04/2020",12,4,2020,100,14,"Hungary","HU","HUN",9768785
"4755","11/04/2020",11,4,2020,120,8,"Hungary","HU","HUN",9768785
"4756","10/04/2020",10,4,2020,210,11,"Hungary","HU","HUN",9768785
"4757","09/04/2020",9,4,2020,85,8,"Hungary","HU","HUN",9768785
"4758","08/04/2020",8,4,2020,78,11,"Hungary","HU","HUN",9768785
"4759","07/04/2020",7,4,2020,73,9,"Hungary","HU","HUN",9768785
"4760","06/04/2020",6,4,2020,11,4,"Hungary","HU","HUN",9768785
"4761","05/04/2020",5,4,2020,55,2,"Hungary","HU","HUN",9768785
"4762","04/04/2020",4,4,2020,55,6,"Hungary","HU","HUN",9768785
"4763","03/04/2020",3,4,2020,38,5,"Hungary","HU","HUN",9768785
"4764","02/04/2020",2,4,2020,60,1,"Hungary","HU","HUN",9768785
"4765","01/04/2020",1,4,2020,33,4,"Hungary","HU","HUN",9768785
"4766","31/03/2020",31,3,2020,45,1,"Hungary","HU","HUN",9768785
"4767","30/03/2020",30,3,2020,39,2,"Hungary","HU","HUN",9768785
"4768","29/03/2020",29,3,2020,65,2,"Hungary","HU","HUN",9768785
"4769","28/03/2020",28,3,2020,43,1,"Hungary","HU","HUN",9768785
"4770","27/03/2020",27,3,2020,39,0,"Hungary","HU","HUN",9768785
"4771","26/03/2020",26,3,2020,35,0,"Hungary","HU","HUN",9768785
"4772","25/03/2020",25,3,2020,39,2,"Hungary","HU","HUN",9768785
"4773","24/03/2020",24,3,2020,20,1,"Hungary","HU","HUN",9768785
"4774","23/03/2020",23,3,2020,36,3,"Hungary","HU","HUN",9768785
"4775","22/03/2020",22,3,2020,28,0,"Hungary","HU","HUN",9768785
"4776","21/03/2020",21,3,2020,18,3,"Hungary","HU","HUN",9768785
"4777","20/03/2020",20,3,2020,12,0,"Hungary","HU","HUN",9768785
"4778","19/03/2020",19,3,2020,23,0,"Hungary","HU","HUN",9768785
"4779","18/03/2020",18,3,2020,0,0,"Hungary","HU","HUN",9768785
"4780","17/03/2020",17,3,2020,11,0,"Hungary","HU","HUN",9768785
"4781","16/03/2020",16,3,2020,8,1,"Hungary","HU","HUN",9768785
"4782","15/03/2020",15,3,2020,6,0,"Hungary","HU","HUN",9768785
"4783","14/03/2020",14,3,2020,9,0,"Hungary","HU","HUN",9768785
"4784","13/03/2020",13,3,2020,3,0,"Hungary","HU","HUN",9768785
"4785","12/03/2020",12,3,2020,1,0,"Hungary","HU","HUN",9768785
"4786","11/03/2020",11,3,2020,3,0,"Hungary","HU","HUN",9768785
"4787","10/03/2020",10,3,2020,1,0,"Hungary","HU","HUN",9768785
"4788","09/03/2020",9,3,2020,1,0,"Hungary","HU","HUN",9768785
"4789","08/03/2020",8,3,2020,3,0,"Hungary","HU","HUN",9768785
"4790","07/03/2020",7,3,2020,2,0,"Hungary","HU","HUN",9768785
"4791","05/03/2020",5,3,2020,2,0,"Hungary","HU","HUN",9768785
