"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"4902","18/04/2020",18,4,2020,991,43,"India","IN","IND",1352617328
"4903","17/04/2020",17,4,2020,1007,23,"India","IN","IND",1352617328
"4904","16/04/2020",16,4,2020,942,37,"India","IN","IND",1352617328
"4905","15/04/2020",15,4,2020,1075,38,"India","IN","IND",1352617328
"4906","14/04/2020",14,4,2020,1211,31,"India","IN","IND",1352617328
"4907","13/04/2020",13,4,2020,796,35,"India","IN","IND",1352617328
"4908","12/04/2020",12,4,2020,909,34,"India","IN","IND",1352617328
"4909","11/04/2020",11,4,2020,1035,40,"India","IN","IND",1352617328
"4910","10/04/2020",10,4,2020,678,33,"India","IN","IND",1352617328
"4911","09/04/2020",9,4,2020,540,17,"India","IN","IND",1352617328
"4912","08/04/2020",8,4,2020,773,35,"India","IN","IND",1352617328
"4913","07/04/2020",7,4,2020,354,5,"India","IN","IND",1352617328
"4914","06/04/2020",6,4,2020,693,32,"India","IN","IND",1352617328
"4915","05/04/2020",5,4,2020,472,9,"India","IN","IND",1352617328
"4916","04/04/2020",4,4,2020,601,12,"India","IN","IND",1352617328
"4917","03/04/2020",3,4,2020,336,6,"India","IN","IND",1352617328
"4918","02/04/2020",2,4,2020,568,15,"India","IN","IND",1352617328
"4919","01/04/2020",1,4,2020,146,3,"India","IN","IND",1352617328
"4920","31/03/2020",31,3,2020,180,3,"India","IN","IND",1352617328
"4921","30/03/2020",30,3,2020,92,4,"India","IN","IND",1352617328
"4922","29/03/2020",29,3,2020,106,6,"India","IN","IND",1352617328
"4923","28/03/2020",28,3,2020,149,2,"India","IN","IND",1352617328
"4924","27/03/2020",27,3,2020,75,4,"India","IN","IND",1352617328
"4925","26/03/2020",26,3,2020,87,4,"India","IN","IND",1352617328
"4926","25/03/2020",25,3,2020,70,0,"India","IN","IND",1352617328
"4927","24/03/2020",24,3,2020,53,2,"India","IN","IND",1352617328
"4928","23/03/2020",23,3,2020,119,3,"India","IN","IND",1352617328
"4929","22/03/2020",22,3,2020,89,0,"India","IN","IND",1352617328
"4930","21/03/2020",21,3,2020,40,0,"India","IN","IND",1352617328
"4931","20/03/2020",20,3,2020,26,1,"India","IN","IND",1352617328
"4932","19/03/2020",19,3,2020,28,0,"India","IN","IND",1352617328
"4933","18/03/2020",18,3,2020,12,0,"India","IN","IND",1352617328
"4934","17/03/2020",17,3,2020,32,1,"India","IN","IND",1352617328
"4935","16/03/2020",16,3,2020,3,0,"India","IN","IND",1352617328
"4936","15/03/2020",15,3,2020,7,0,"India","IN","IND",1352617328
"4937","14/03/2020",14,3,2020,8,1,"India","IN","IND",1352617328
"4938","13/03/2020",13,3,2020,2,1,"India","IN","IND",1352617328
"4939","12/03/2020",12,3,2020,23,0,"India","IN","IND",1352617328
"4940","11/03/2020",11,3,2020,6,0,"India","IN","IND",1352617328
"4941","10/03/2020",10,3,2020,10,0,"India","IN","IND",1352617328
"4942","08/03/2020",8,3,2020,3,0,"India","IN","IND",1352617328
"4943","07/03/2020",7,3,2020,2,0,"India","IN","IND",1352617328
"4944","06/03/2020",6,3,2020,1,0,"India","IN","IND",1352617328
"4945","05/03/2020",5,3,2020,22,0,"India","IN","IND",1352617328
"4946","04/03/2020",4,3,2020,1,0,"India","IN","IND",1352617328
"4947","03/03/2020",3,3,2020,2,0,"India","IN","IND",1352617328
"4948","02/03/2020",2,3,2020,0,0,"India","IN","IND",1352617328
"4949","01/03/2020",1,3,2020,0,0,"India","IN","IND",1352617328
"4950","29/02/2020",29,2,2020,0,0,"India","IN","IND",1352617328
"4951","28/02/2020",28,2,2020,0,0,"India","IN","IND",1352617328
"4952","27/02/2020",27,2,2020,0,0,"India","IN","IND",1352617328
"4953","26/02/2020",26,2,2020,0,0,"India","IN","IND",1352617328
"4954","25/02/2020",25,2,2020,0,0,"India","IN","IND",1352617328
"4955","24/02/2020",24,2,2020,0,0,"India","IN","IND",1352617328
"4956","23/02/2020",23,2,2020,0,0,"India","IN","IND",1352617328
"4957","22/02/2020",22,2,2020,0,0,"India","IN","IND",1352617328
"4958","21/02/2020",21,2,2020,0,0,"India","IN","IND",1352617328
"4959","20/02/2020",20,2,2020,0,0,"India","IN","IND",1352617328
"4960","19/02/2020",19,2,2020,0,0,"India","IN","IND",1352617328
"4961","18/02/2020",18,2,2020,0,0,"India","IN","IND",1352617328
"4962","17/02/2020",17,2,2020,0,0,"India","IN","IND",1352617328
"4963","16/02/2020",16,2,2020,0,0,"India","IN","IND",1352617328
"4964","15/02/2020",15,2,2020,0,0,"India","IN","IND",1352617328
"4965","14/02/2020",14,2,2020,0,0,"India","IN","IND",1352617328
"4966","13/02/2020",13,2,2020,0,0,"India","IN","IND",1352617328
"4967","12/02/2020",12,2,2020,0,0,"India","IN","IND",1352617328
"4968","11/02/2020",11,2,2020,0,0,"India","IN","IND",1352617328
"4969","10/02/2020",10,2,2020,0,0,"India","IN","IND",1352617328
"4970","09/02/2020",9,2,2020,0,0,"India","IN","IND",1352617328
"4971","08/02/2020",8,2,2020,0,0,"India","IN","IND",1352617328
"4972","07/02/2020",7,2,2020,0,0,"India","IN","IND",1352617328
"4973","06/02/2020",6,2,2020,0,0,"India","IN","IND",1352617328
"4974","05/02/2020",5,2,2020,0,0,"India","IN","IND",1352617328
"4975","04/02/2020",4,2,2020,1,0,"India","IN","IND",1352617328
"4976","03/02/2020",3,2,2020,0,0,"India","IN","IND",1352617328
"4977","02/02/2020",2,2,2020,1,0,"India","IN","IND",1352617328
"4978","01/02/2020",1,2,2020,0,0,"India","IN","IND",1352617328
"4979","31/01/2020",31,1,2020,0,0,"India","IN","IND",1352617328
"4980","30/01/2020",30,1,2020,1,0,"India","IN","IND",1352617328
"4981","29/01/2020",29,1,2020,0,0,"India","IN","IND",1352617328
"4982","28/01/2020",28,1,2020,0,0,"India","IN","IND",1352617328
"4983","27/01/2020",27,1,2020,0,0,"India","IN","IND",1352617328
"4984","26/01/2020",26,1,2020,0,0,"India","IN","IND",1352617328
"4985","25/01/2020",25,1,2020,0,0,"India","IN","IND",1352617328
"4986","24/01/2020",24,1,2020,0,0,"India","IN","IND",1352617328
"4987","23/01/2020",23,1,2020,0,0,"India","IN","IND",1352617328
"4988","22/01/2020",22,1,2020,0,0,"India","IN","IND",1352617328
"4989","21/01/2020",21,1,2020,0,0,"India","IN","IND",1352617328
"4990","20/01/2020",20,1,2020,0,0,"India","IN","IND",1352617328
"4991","19/01/2020",19,1,2020,0,0,"India","IN","IND",1352617328
"4992","18/01/2020",18,1,2020,0,0,"India","IN","IND",1352617328
"4993","17/01/2020",17,1,2020,0,0,"India","IN","IND",1352617328
"4994","16/01/2020",16,1,2020,0,0,"India","IN","IND",1352617328
"4995","15/01/2020",15,1,2020,0,0,"India","IN","IND",1352617328
"4996","14/01/2020",14,1,2020,0,0,"India","IN","IND",1352617328
"4997","13/01/2020",13,1,2020,0,0,"India","IN","IND",1352617328
"4998","12/01/2020",12,1,2020,0,0,"India","IN","IND",1352617328
"4999","11/01/2020",11,1,2020,0,0,"India","IN","IND",1352617328
"5000","10/01/2020",10,1,2020,0,0,"India","IN","IND",1352617328
"5001","09/01/2020",9,1,2020,0,0,"India","IN","IND",1352617328
"5002","08/01/2020",8,1,2020,0,0,"India","IN","IND",1352617328
"5003","07/01/2020",7,1,2020,0,0,"India","IN","IND",1352617328
"5004","06/01/2020",6,1,2020,0,0,"India","IN","IND",1352617328
"5005","05/01/2020",5,1,2020,0,0,"India","IN","IND",1352617328
"5006","04/01/2020",4,1,2020,0,0,"India","IN","IND",1352617328
"5007","03/01/2020",3,1,2020,0,0,"India","IN","IND",1352617328
