"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5114","18/04/2020",18,4,2020,1499,89,"Iran","IR","IRN",81800269
"5115","17/04/2020",17,4,2020,1606,92,"Iran","IR","IRN",81800269
"5116","16/04/2020",16,4,2020,1512,94,"Iran","IR","IRN",81800269
"5117","15/04/2020",15,4,2020,1574,98,"Iran","IR","IRN",81800269
"5118","14/04/2020",14,4,2020,1617,111,"Iran","IR","IRN",81800269
"5119","13/04/2020",13,4,2020,1657,117,"Iran","IR","IRN",81800269
"5120","12/04/2020",12,4,2020,1837,125,"Iran","IR","IRN",81800269
"5121","11/04/2020",11,4,2020,1972,122,"Iran","IR","IRN",81800269
"5122","10/04/2020",10,4,2020,1634,117,"Iran","IR","IRN",81800269
"5123","09/04/2020",9,4,2020,1997,121,"Iran","IR","IRN",81800269
"5124","08/04/2020",8,4,2020,2089,133,"Iran","IR","IRN",81800269
"5125","07/04/2020",7,4,2020,2274,136,"Iran","IR","IRN",81800269
"5126","06/04/2020",6,4,2020,2483,151,"Iran","IR","IRN",81800269
"5127","05/04/2020",5,4,2020,5275,292,"Iran","IR","IRN",81800269
"5128","04/04/2020",4,4,2020,0,0,"Iran","IR","IRN",81800269
"5129","03/04/2020",3,4,2020,2875,124,"Iran","IR","IRN",81800269
"5130","02/04/2020",2,4,2020,2987,138,"Iran","IR","IRN",81800269
"5131","01/04/2020",1,4,2020,3111,141,"Iran","IR","IRN",81800269
"5132","31/03/2020",31,3,2020,3186,117,"Iran","IR","IRN",81800269
"5133","30/03/2020",30,3,2020,2901,123,"Iran","IR","IRN",81800269
"5134","29/03/2020",29,3,2020,3076,139,"Iran","IR","IRN",81800269
"5135","28/03/2020",28,3,2020,2926,144,"Iran","IR","IRN",81800269
"5136","27/03/2020",27,3,2020,2389,157,"Iran","IR","IRN",81800269
"5137","26/03/2020",26,3,2020,2206,143,"Iran","IR","IRN",81800269
"5138","25/03/2020",25,3,2020,1762,122,"Iran","IR","IRN",81800269
"5139","24/03/2020",24,3,2020,1411,127,"Iran","IR","IRN",81800269
"5140","23/03/2020",23,3,2020,1028,129,"Iran","IR","IRN",81800269
"5141","22/03/2020",22,3,2020,966,123,"Iran","IR","IRN",81800269
"5142","21/03/2020",21,3,2020,1237,149,"Iran","IR","IRN",81800269
"5143","20/03/2020",20,3,2020,1046,149,"Iran","IR","IRN",81800269
"5144","19/03/2020",19,3,2020,1192,147,"Iran","IR","IRN",81800269
"5145","18/03/2020",18,3,2020,1178,135,"Iran","IR","IRN",81800269
"5146","17/03/2020",17,3,2020,1053,129,"Iran","IR","IRN",81800269
"5147","16/03/2020",16,3,2020,1209,113,"Iran","IR","IRN",81800269
"5148","15/03/2020",15,3,2020,1365,97,"Iran","IR","IRN",81800269
"5149","14/03/2020",14,3,2020,1289,85,"Iran","IR","IRN",81800269
"5150","13/03/2020",13,3,2020,1075,75,"Iran","IR","IRN",81800269
"5151","12/03/2020",12,3,2020,958,63,"Iran","IR","IRN",81800269
"5152","11/03/2020",11,3,2020,881,54,"Iran","IR","IRN",81800269
"5153","10/03/2020",10,3,2020,595,43,"Iran","IR","IRN",81800269
"5154","09/03/2020",9,3,2020,743,49,"Iran","IR","IRN",81800269
"5155","08/03/2020",8,3,2020,1076,21,"Iran","IR","IRN",81800269
"5156","07/03/2020",7,3,2020,1234,17,"Iran","IR","IRN",81800269
"5157","06/03/2020",6,3,2020,591,15,"Iran","IR","IRN",81800269
"5158","05/03/2020",5,3,2020,586,15,"Iran","IR","IRN",81800269
"5159","04/03/2020",4,3,2020,835,11,"Iran","IR","IRN",81800269
"5160","03/03/2020",3,3,2020,523,12,"Iran","IR","IRN",81800269
"5161","02/03/2020",2,3,2020,385,11,"Iran","IR","IRN",81800269
"5162","01/03/2020",1,3,2020,205,9,"Iran","IR","IRN",81800269
"5163","29/02/2020",29,2,2020,143,8,"Iran","IR","IRN",81800269
"5164","28/02/2020",28,2,2020,106,7,"Iran","IR","IRN",81800269
"5165","27/02/2020",27,2,2020,44,4,"Iran","IR","IRN",81800269
"5166","26/02/2020",26,2,2020,34,3,"Iran","IR","IRN",81800269
"5167","25/02/2020",25,2,2020,18,4,"Iran","IR","IRN",81800269
"5168","24/02/2020",24,2,2020,15,3,"Iran","IR","IRN",81800269
"5169","23/02/2020",23,2,2020,10,1,"Iran","IR","IRN",81800269
"5170","22/02/2020",22,2,2020,13,2,"Iran","IR","IRN",81800269
