"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5332","18/04/2020",18,4,2020,709,44,"Ireland","IE","IRL",4853506
"5333","17/04/2020",17,4,2020,724,42,"Ireland","IE","IRL",4853506
"5334","16/04/2020",16,4,2020,1068,38,"Ireland","IE","IRL",4853506
"5335","15/04/2020",15,4,2020,832,41,"Ireland","IE","IRL",4853506
"5336","14/04/2020",14,4,2020,992,31,"Ireland","IE","IRL",4853506
"5337","13/04/2020",13,4,2020,727,14,"Ireland","IE","IRL",4853506
"5338","12/04/2020",12,4,2020,839,33,"Ireland","IE","IRL",4853506
"5339","11/04/2020",11,4,2020,696,24,"Ireland","IE","IRL",4853506
"5340","10/04/2020",10,4,2020,1169,28,"Ireland","IE","IRL",4853506
"5341","09/04/2020",9,4,2020,515,25,"Ireland","IE","IRL",4853506
"5342","08/04/2020",8,4,2020,345,36,"Ireland","IE","IRL",4853506
"5343","07/04/2020",7,4,2020,253,16,"Ireland","IE","IRL",4853506
"5344","06/04/2020",6,4,2020,507,21,"Ireland","IE","IRL",4853506
"5345","05/04/2020",5,4,2020,331,17,"Ireland","IE","IRL",4853506
"5346","04/04/2020",4,4,2020,424,22,"Ireland","IE","IRL",4853506
"5347","03/04/2020",3,4,2020,402,13,"Ireland","IE","IRL",4853506
"5348","02/04/2020",2,4,2020,212,14,"Ireland","IE","IRL",4853506
"5349","01/04/2020",1,4,2020,325,17,"Ireland","IE","IRL",4853506
"5350","31/03/2020",31,3,2020,295,8,"Ireland","IE","IRL",4853506
"5351","30/03/2020",30,3,2020,200,10,"Ireland","IE","IRL",4853506
"5352","29/03/2020",29,3,2020,294,14,"Ireland","IE","IRL",4853506
"5353","28/03/2020",28,3,2020,302,3,"Ireland","IE","IRL",4853506
"5354","27/03/2020",27,3,2020,255,10,"Ireland","IE","IRL",4853506
"5355","26/03/2020",26,3,2020,235,2,"Ireland","IE","IRL",4853506
"5356","25/03/2020",25,3,2020,204,1,"Ireland","IE","IRL",4853506
