"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5440","18/04/2020",18,4,2020,5,0,"Isle of Man","IM","IMN",84077
"5441","17/04/2020",17,4,2020,30,2,"Isle of Man","IM","IMN",84077
"5442","16/04/2020",16,4,2020,12,0,"Isle of Man","IM","IMN",84077
"5443","15/04/2020",15,4,2020,0,0,"Isle of Man","IM","IMN",84077
"5444","14/04/2020",14,4,2020,14,0,"Isle of Man","IM","IMN",84077
"5445","13/04/2020",13,4,2020,2,1,"Isle of Man","IM","IMN",84077
"5446","12/04/2020",12,4,2020,25,0,"Isle of Man","IM","IMN",84077
"5447","11/04/2020",11,4,2020,11,0,"Isle of Man","IM","IMN",84077
"5448","10/04/2020",10,4,2020,32,0,"Isle of Man","IM","IMN",84077
"5449","09/04/2020",9,4,2020,8,0,"Isle of Man","IM","IMN",84077
"5450","08/04/2020",8,4,2020,11,0,"Isle of Man","IM","IMN",84077
"5451","07/04/2020",7,4,2020,12,0,"Isle of Man","IM","IMN",84077
"5452","06/04/2020",6,4,2020,1,0,"Isle of Man","IM","IMN",84077
"5453","05/04/2020",5,4,2020,12,0,"Isle of Man","IM","IMN",84077
"5454","04/04/2020",4,4,2020,43,0,"Isle of Man","IM","IMN",84077
"5455","03/04/2020",3,4,2020,6,1,"Isle of Man","IM","IMN",84077
"5456","02/04/2020",2,4,2020,13,0,"Isle of Man","IM","IMN",84077
"5457","01/04/2020",1,4,2020,10,0,"Isle of Man","IM","IMN",84077
"5458","31/03/2020",31,3,2020,0,0,"Isle of Man","IM","IMN",84077
"5459","30/03/2020",30,3,2020,10,0,"Isle of Man","IM","IMN",84077
"5460","29/03/2020",29,3,2020,3,0,"Isle of Man","IM","IMN",84077
"5461","28/03/2020",28,3,2020,3,0,"Isle of Man","IM","IMN",84077
"5462","27/03/2020",27,3,2020,3,0,"Isle of Man","IM","IMN",84077
"5463","26/03/2020",26,3,2020,0,0,"Isle of Man","IM","IMN",84077
"5464","25/03/2020",25,3,2020,10,0,"Isle of Man","IM","IMN",84077
"5465","24/03/2020",24,3,2020,11,0,"Isle of Man","IM","IMN",84077
"5466","23/03/2020",23,3,2020,0,0,"Isle of Man","IM","IMN",84077
"5467","22/03/2020",22,3,2020,1,0,"Isle of Man","IM","IMN",84077
"5468","21/03/2020",21,3,2020,1,0,"Isle of Man","IM","IMN",84077
