"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"5469","18/04/2020",18,4,2020,224,9,"Israel","IL","ISR",8883800
"5470","17/04/2020",17,4,2020,257,12,"Israel","IL","ISR",8883800
"5471","16/04/2020",16,4,2020,455,7,"Israel","IL","ISR",8883800
"5472","15/04/2020",15,4,2020,460,7,"Israel","IL","ISR",8883800
"5473","14/04/2020",14,4,2020,441,13,"Israel","IL","ISR",8883800
"5474","13/04/2020",13,4,2020,402,2,"Israel","IL","ISR",8883800
"5475","12/04/2020",12,4,2020,335,6,"Israel","IL","ISR",8883800
"5476","11/04/2020",11,4,2020,440,9,"Israel","IL","ISR",8883800
"5477","10/04/2020",10,4,2020,564,15,"Israel","IL","ISR",8883800
"5478","09/04/2020",9,4,2020,156,6,"Israel","IL","ISR",8883800
"5479","08/04/2020",8,4,2020,344,8,"Israel","IL","ISR",8883800
"5480","07/04/2020",7,4,2020,474,8,"Israel","IL","ISR",8883800
"5481","06/04/2020",6,4,2020,412,3,"Israel","IL","ISR",8883800
"5482","05/04/2020",5,4,2020,590,7,"Israel","IL","ISR",8883800
"5483","04/04/2020",4,4,2020,1176,5,"Israel","IL","ISR",8883800
"5484","03/04/2020",3,4,2020,661,13,"Israel","IL","ISR",8883800
"5485","02/04/2020",2,4,2020,675,1,"Israel","IL","ISR",8883800
"5486","01/04/2020",1,4,2020,443,3,"Israel","IL","ISR",8883800
"5487","31/03/2020",31,3,2020,226,2,"Israel","IL","ISR",8883800
"5488","30/03/2020",30,3,2020,628,3,"Israel","IL","ISR",8883800
"5489","29/03/2020",29,3,2020,584,2,"Israel","IL","ISR",8883800
"5490","28/03/2020",28,3,2020,369,2,"Israel","IL","ISR",8883800
"5491","27/03/2020",27,3,2020,297,3,"Israel","IL","ISR",8883800
"5492","26/03/2020",26,3,2020,439,2,"Israel","IL","ISR",8883800
"5493","25/03/2020",25,3,2020,488,2,"Israel","IL","ISR",8883800
"5494","24/03/2020",24,3,2020,371,0,"Israel","IL","ISR",8883800
"5495","23/03/2020",23,3,2020,188,0,"Israel","IL","ISR",8883800
"5496","22/03/2020",22,3,2020,171,0,"Israel","IL","ISR",8883800
"5497","21/03/2020",21,3,2020,35,1,"Israel","IL","ISR",8883800
"5498","20/03/2020",20,3,2020,244,0,"Israel","IL","ISR",8883800
"5499","19/03/2020",19,3,2020,6,0,"Israel","IL","ISR",8883800
"5500","18/03/2020",18,3,2020,167,0,"Israel","IL","ISR",8883800
"5501","17/03/2020",17,3,2020,10,0,"Israel","IL","ISR",8883800
"5502","16/03/2020",16,3,2020,72,0,"Israel","IL","ISR",8883800
"5503","15/03/2020",15,3,2020,62,0,"Israel","IL","ISR",8883800
"5504","14/03/2020",14,3,2020,20,0,"Israel","IL","ISR",8883800
"5505","13/03/2020",13,3,2020,14,0,"Israel","IL","ISR",8883800
"5506","12/03/2020",12,3,2020,12,0,"Israel","IL","ISR",8883800
"5507","11/03/2020",11,3,2020,31,0,"Israel","IL","ISR",8883800
"5508","09/03/2020",9,3,2020,14,0,"Israel","IL","ISR",8883800
"5509","08/03/2020",8,3,2020,6,0,"Israel","IL","ISR",8883800
"5510","07/03/2020",7,3,2020,2,0,"Israel","IL","ISR",8883800
"5511","06/03/2020",6,3,2020,2,0,"Israel","IL","ISR",8883800
"5512","05/03/2020",5,3,2020,5,0,"Israel","IL","ISR",8883800
"5513","02/03/2020",2,3,2020,3,0,"Israel","IL","ISR",8883800
"5514","01/03/2020",1,3,2020,0,0,"Israel","IL","ISR",8883800
"5515","29/02/2020",29,2,2020,4,0,"Israel","IL","ISR",8883800
"5516","28/02/2020",28,2,2020,1,0,"Israel","IL","ISR",8883800
"5517","27/02/2020",27,2,2020,0,0,"Israel","IL","ISR",8883800
"5518","26/02/2020",26,2,2020,0,0,"Israel","IL","ISR",8883800
"5519","25/02/2020",25,2,2020,0,0,"Israel","IL","ISR",8883800
"5520","24/02/2020",24,2,2020,1,0,"Israel","IL","ISR",8883800
"5521","23/02/2020",23,2,2020,0,0,"Israel","IL","ISR",8883800
"5522","22/02/2020",22,2,2020,1,0,"Israel","IL","ISR",8883800
"5523","21/02/2020",21,2,2020,0,0,"Israel","IL","ISR",8883800
"5524","20/02/2020",20,2,2020,0,0,"Israel","IL","ISR",8883800
"5525","19/02/2020",19,2,2020,0,0,"Israel","IL","ISR",8883800
"5526","18/02/2020",18,2,2020,0,0,"Israel","IL","ISR",8883800
"5527","17/02/2020",17,2,2020,0,0,"Israel","IL","ISR",8883800
"5528","16/02/2020",16,2,2020,0,0,"Israel","IL","ISR",8883800
"5529","15/02/2020",15,2,2020,0,0,"Israel","IL","ISR",8883800
"5530","14/02/2020",14,2,2020,0,0,"Israel","IL","ISR",8883800
"5531","13/02/2020",13,2,2020,0,0,"Israel","IL","ISR",8883800
"5532","12/02/2020",12,2,2020,0,0,"Israel","IL","ISR",8883800
"5533","11/02/2020",11,2,2020,0,0,"Israel","IL","ISR",8883800
"5534","10/02/2020",10,2,2020,0,0,"Israel","IL","ISR",8883800
"5535","09/02/2020",9,2,2020,0,0,"Israel","IL","ISR",8883800
"5536","08/02/2020",8,2,2020,0,0,"Israel","IL","ISR",8883800
"5537","07/02/2020",7,2,2020,0,0,"Israel","IL","ISR",8883800
"5538","06/02/2020",6,2,2020,0,0,"Israel","IL","ISR",8883800
"5539","05/02/2020",5,2,2020,0,0,"Israel","IL","ISR",8883800
