"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6317","18/04/2020",18,4,2020,3,1,"Liberia","LR","LBR",4818977
"6318","17/04/2020",17,4,2020,14,0,"Liberia","LR","LBR",4818977
"6319","16/04/2020",16,4,2020,0,0,"Liberia","LR","LBR",4818977
"6320","15/04/2020",15,4,2020,0,0,"Liberia","LR","LBR",4818977
"6321","14/04/2020",14,4,2020,9,1,"Liberia","LR","LBR",4818977
"6322","13/04/2020",13,4,2020,2,0,"Liberia","LR","LBR",4818977
"6323","12/04/2020",12,4,2020,11,1,"Liberia","LR","LBR",4818977
"6324","11/04/2020",11,4,2020,6,0,"Liberia","LR","LBR",4818977
"6325","10/04/2020",10,4,2020,0,0,"Liberia","LR","LBR",4818977
"6326","09/04/2020",9,4,2020,17,1,"Liberia","LR","LBR",4818977
"6327","08/04/2020",8,4,2020,0,0,"Liberia","LR","LBR",4818977
"6328","07/04/2020",7,4,2020,1,0,"Liberia","LR","LBR",4818977
"6329","06/04/2020",6,4,2020,3,2,"Liberia","LR","LBR",4818977
"6330","05/04/2020",5,4,2020,3,1,"Liberia","LR","LBR",4818977
"6331","04/04/2020",4,4,2020,1,0,"Liberia","LR","LBR",4818977
"6332","03/04/2020",3,4,2020,0,0,"Liberia","LR","LBR",4818977
"6333","02/04/2020",2,4,2020,3,0,"Liberia","LR","LBR",4818977
"6334","01/04/2020",1,4,2020,0,0,"Liberia","LR","LBR",4818977
"6335","31/03/2020",31,3,2020,0,0,"Liberia","LR","LBR",4818977
"6336","30/03/2020",30,3,2020,0,0,"Liberia","LR","LBR",4818977
"6337","29/03/2020",29,3,2020,0,0,"Liberia","LR","LBR",4818977
"6338","28/03/2020",28,3,2020,0,0,"Liberia","LR","LBR",4818977
"6339","27/03/2020",27,3,2020,0,0,"Liberia","LR","LBR",4818977
"6340","26/03/2020",26,3,2020,0,0,"Liberia","LR","LBR",4818977
"6341","25/03/2020",25,3,2020,0,0,"Liberia","LR","LBR",4818977
"6342","24/03/2020",24,3,2020,0,0,"Liberia","LR","LBR",4818977
"6343","23/03/2020",23,3,2020,0,0,"Liberia","LR","LBR",4818977
"6344","22/03/2020",22,3,2020,1,0,"Liberia","LR","LBR",4818977
"6345","21/03/2020",21,3,2020,0,0,"Liberia","LR","LBR",4818977
"6346","20/03/2020",20,3,2020,0,0,"Liberia","LR","LBR",4818977
"6347","19/03/2020",19,3,2020,0,0,"Liberia","LR","LBR",4818977
"6348","18/03/2020",18,3,2020,1,0,"Liberia","LR","LBR",4818977
"6349","17/03/2020",17,3,2020,1,0,"Liberia","LR","LBR",4818977
