"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6414","18/04/2020",18,4,2020,90,1,"Lithuania","LT","LTU",2789533
"6415","17/04/2020",17,4,2020,58,3,"Lithuania","LT","LTU",2789533
"6416","16/04/2020",16,4,2020,21,5,"Lithuania","LT","LTU",2789533
"6417","15/04/2020",15,4,2020,0,0,"Lithuania","LT","LTU",2789533
"6418","14/04/2020",14,4,2020,8,0,"Lithuania","LT","LTU",2789533
"6419","13/04/2020",13,4,2020,9,1,"Lithuania","LT","LTU",2789533
"6420","12/04/2020",12,4,2020,54,6,"Lithuania","LT","LTU",2789533
"6421","11/04/2020",11,4,2020,44,2,"Lithuania","LT","LTU",2789533
"6422","10/04/2020",10,4,2020,43,0,"Lithuania","LT","LTU",2789533
"6423","09/04/2020",9,4,2020,32,0,"Lithuania","LT","LTU",2789533
"6424","08/04/2020",8,4,2020,37,1,"Lithuania","LT","LTU",2789533
"6425","07/04/2020",7,4,2020,32,1,"Lithuania","LT","LTU",2789533
"6426","06/04/2020",6,4,2020,40,4,"Lithuania","LT","LTU",2789533
"6427","05/04/2020",5,4,2020,0,0,"Lithuania","LT","LTU",2789533
"6428","04/04/2020",4,4,2020,122,0,"Lithuania","LT","LTU",2789533
"6429","03/04/2020",3,4,2020,68,1,"Lithuania","LT","LTU",2789533
"6430","02/04/2020",2,4,2020,48,1,"Lithuania","LT","LTU",2789533
"6431","01/04/2020",1,4,2020,49,0,"Lithuania","LT","LTU",2789533
"6432","31/03/2020",31,3,2020,0,0,"Lithuania","LT","LTU",2789533
"6433","30/03/2020",30,3,2020,90,0,"Lithuania","LT","LTU",2789533
"6434","29/03/2020",29,3,2020,36,2,"Lithuania","LT","LTU",2789533
"6435","28/03/2020",28,3,2020,59,1,"Lithuania","LT","LTU",2789533
"6436","27/03/2020",27,3,2020,25,0,"Lithuania","LT","LTU",2789533
"6437","26/03/2020",26,3,2020,65,2,"Lithuania","LT","LTU",2789533
"6438","25/03/2020",25,3,2020,30,1,"Lithuania","LT","LTU",2789533
"6439","24/03/2020",24,3,2020,36,0,"Lithuania","LT","LTU",2789533
"6440","23/03/2020",23,3,2020,38,0,"Lithuania","LT","LTU",2789533
"6441","22/03/2020",22,3,2020,36,0,"Lithuania","LT","LTU",2789533
"6442","21/03/2020",21,3,2020,21,1,"Lithuania","LT","LTU",2789533
"6443","20/03/2020",20,3,2020,15,0,"Lithuania","LT","LTU",2789533
"6444","19/03/2020",19,3,2020,8,0,"Lithuania","LT","LTU",2789533
"6445","18/03/2020",18,3,2020,8,0,"Lithuania","LT","LTU",2789533
"6446","17/03/2020",17,3,2020,3,0,"Lithuania","LT","LTU",2789533
"6447","16/03/2020",16,3,2020,5,0,"Lithuania","LT","LTU",2789533
"6448","15/03/2020",15,3,2020,3,0,"Lithuania","LT","LTU",2789533
"6449","14/03/2020",14,3,2020,3,0,"Lithuania","LT","LTU",2789533
"6450","12/03/2020",12,3,2020,0,0,"Lithuania","LT","LTU",2789533
"6451","11/03/2020",11,3,2020,2,0,"Lithuania","LT","LTU",2789533
"6452","02/03/2020",2,3,2020,0,0,"Lithuania","LT","LTU",2789533
"6453","01/03/2020",1,3,2020,0,0,"Lithuania","LT","LTU",2789533
"6454","29/02/2020",29,2,2020,0,0,"Lithuania","LT","LTU",2789533
"6455","28/02/2020",28,2,2020,1,0,"Lithuania","LT","LTU",2789533
"6456","27/02/2020",27,2,2020,0,0,"Lithuania","LT","LTU",2789533
