"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6515","18/04/2020",18,4,2020,36,3,"Luxembourg","LU","LUX",607728
"6516","17/04/2020",17,4,2020,71,0,"Luxembourg","LU","LUX",607728
"6517","16/04/2020",16,4,2020,66,2,"Luxembourg","LU","LUX",607728
"6518","15/04/2020",15,4,2020,15,0,"Luxembourg","LU","LUX",607728
"6519","14/04/2020",14,4,2020,11,1,"Luxembourg","LU","LUX",607728
"6520","13/04/2020",13,4,2020,11,4,"Luxembourg","LU","LUX",607728
"6521","12/04/2020",12,4,2020,47,8,"Luxembourg","LU","LUX",607728
"6522","11/04/2020",11,4,2020,108,2,"Luxembourg","LU","LUX",607728
"6523","10/04/2020",10,4,2020,81,6,"Luxembourg","LU","LUX",607728
"6524","09/04/2020",9,4,2020,64,2,"Luxembourg","LU","LUX",607728
"6525","08/04/2020",8,4,2020,127,3,"Luxembourg","LU","LUX",607728
"6526","07/04/2020",7,4,2020,39,5,"Luxembourg","LU","LUX",607728
"6527","06/04/2020",6,4,2020,75,5,"Luxembourg","LU","LUX",607728
"6528","05/04/2020",5,4,2020,117,0,"Luxembourg","LU","LUX",607728
"6529","04/04/2020",4,4,2020,125,1,"Luxembourg","LU","LUX",607728
"6530","03/04/2020",3,4,2020,168,1,"Luxembourg","LU","LUX",607728
"6531","02/04/2020",2,4,2020,141,6,"Luxembourg","LU","LUX",607728
"6532","01/04/2020",1,4,2020,190,1,"Luxembourg","LU","LUX",607728
"6533","31/03/2020",31,3,2020,38,1,"Luxembourg","LU","LUX",607728
"6534","30/03/2020",30,3,2020,119,3,"Luxembourg","LU","LUX",607728
"6535","29/03/2020",29,3,2020,226,3,"Luxembourg","LU","LUX",607728
"6536","28/03/2020",28,3,2020,152,6,"Luxembourg","LU","LUX",607728
"6537","27/03/2020",27,3,2020,120,1,"Luxembourg","LU","LUX",607728
"6538","26/03/2020",26,3,2020,234,0,"Luxembourg","LU","LUX",607728
"6539","25/03/2020",25,3,2020,224,0,"Luxembourg","LU","LUX",607728
"6540","24/03/2020",24,3,2020,77,0,"Luxembourg","LU","LUX",607728
"6541","23/03/2020",23,3,2020,128,0,"Luxembourg","LU","LUX",607728
"6542","22/03/2020",22,3,2020,186,3,"Luxembourg","LU","LUX",607728
"6543","21/03/2020",21,3,2020,139,1,"Luxembourg","LU","LUX",607728
