"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"6618","18/04/2020",18,4,2020,6,0,"Madagascar","MG","MDG",26262368
"6619","17/04/2020",17,4,2020,1,0,"Madagascar","MG","MDG",26262368
"6620","16/04/2020",16,4,2020,2,0,"Madagascar","MG","MDG",26262368
"6621","15/04/2020",15,4,2020,2,0,"Madagascar","MG","MDG",26262368
"6622","14/04/2020",14,4,2020,0,0,"Madagascar","MG","MDG",26262368
"6623","13/04/2020",13,4,2020,4,0,"Madagascar","MG","MDG",26262368
"6624","12/04/2020",12,4,2020,0,0,"Madagascar","MG","MDG",26262368
"6625","11/04/2020",11,4,2020,9,0,"Madagascar","MG","MDG",26262368
"6626","10/04/2020",10,4,2020,0,0,"Madagascar","MG","MDG",26262368
"6627","09/04/2020",9,4,2020,8,0,"Madagascar","MG","MDG",26262368
"6628","08/04/2020",8,4,2020,8,0,"Madagascar","MG","MDG",26262368
"6629","07/04/2020",7,4,2020,5,0,"Madagascar","MG","MDG",26262368
"6630","06/04/2020",6,4,2020,1,0,"Madagascar","MG","MDG",26262368
"6631","05/04/2020",5,4,2020,6,0,"Madagascar","MG","MDG",26262368
"6632","04/04/2020",4,4,2020,6,0,"Madagascar","MG","MDG",26262368
"6633","03/04/2020",3,4,2020,5,0,"Madagascar","MG","MDG",26262368
"6634","02/04/2020",2,4,2020,8,0,"Madagascar","MG","MDG",26262368
"6635","01/04/2020",1,4,2020,2,0,"Madagascar","MG","MDG",26262368
"6636","31/03/2020",31,3,2020,7,0,"Madagascar","MG","MDG",26262368
"6637","30/03/2020",30,3,2020,9,0,"Madagascar","MG","MDG",26262368
"6638","29/03/2020",29,3,2020,4,0,"Madagascar","MG","MDG",26262368
"6639","28/03/2020",28,3,2020,1,0,"Madagascar","MG","MDG",26262368
"6640","27/03/2020",27,3,2020,4,0,"Madagascar","MG","MDG",26262368
"6641","26/03/2020",26,3,2020,0,0,"Madagascar","MG","MDG",26262368
"6642","25/03/2020",25,3,2020,2,0,"Madagascar","MG","MDG",26262368
"6643","24/03/2020",24,3,2020,14,0,"Madagascar","MG","MDG",26262368
"6644","23/03/2020",23,3,2020,0,0,"Madagascar","MG","MDG",26262368
"6645","22/03/2020",22,3,2020,0,0,"Madagascar","MG","MDG",26262368
"6646","21/03/2020",21,3,2020,3,0,"Madagascar","MG","MDG",26262368
