"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7083","18/04/2020",18,4,2020,1,0,"Monaco","MC","MCO",38682
"7084","17/04/2020",17,4,2020,0,0,"Monaco","MC","MCO",38682
"7085","16/04/2020",16,4,2020,0,1,"Monaco","MC","MCO",38682
"7086","15/04/2020",15,4,2020,0,0,"Monaco","MC","MCO",38682
"7087","14/04/2020",14,4,2020,0,0,"Monaco","MC","MCO",38682
"7088","13/04/2020",13,4,2020,1,0,"Monaco","MC","MCO",38682
"7089","12/04/2020",12,4,2020,2,0,"Monaco","MC","MCO",38682
"7090","11/04/2020",11,4,2020,6,0,"Monaco","MC","MCO",38682
"7091","10/04/2020",10,4,2020,3,0,"Monaco","MC","MCO",38682
"7092","09/04/2020",9,4,2020,2,0,"Monaco","MC","MCO",38682
"7093","08/04/2020",8,4,2020,2,0,"Monaco","MC","MCO",38682
"7094","07/04/2020",7,4,2020,4,0,"Monaco","MC","MCO",38682
"7095","06/04/2020",6,4,2020,7,0,"Monaco","MC","MCO",38682
"7096","05/04/2020",5,4,2020,2,2,"Monaco","MC","MCO",38682
"7097","04/04/2020",4,4,2020,4,0,"Monaco","MC","MCO",38682
"7098","03/04/2020",3,4,2020,5,0,"Monaco","MC","MCO",38682
"7099","02/04/2020",2,4,2020,3,0,"Monaco","MC","MCO",38682
"7100","01/04/2020",1,4,2020,3,0,"Monaco","MC","MCO",38682
"7101","31/03/2020",31,3,2020,3,0,"Monaco","MC","MCO",38682
"7102","30/03/2020",30,3,2020,3,0,"Monaco","MC","MCO",38682
"7103","29/03/2020",29,3,2020,1,0,"Monaco","MC","MCO",38682
"7104","28/03/2020",28,3,2020,9,0,"Monaco","MC","MCO",38682
"7105","27/03/2020",27,3,2020,2,0,"Monaco","MC","MCO",38682
"7106","26/03/2020",26,3,2020,4,0,"Monaco","MC","MCO",38682
"7107","25/03/2020",25,3,2020,4,0,"Monaco","MC","MCO",38682
"7108","24/03/2020",24,3,2020,0,0,"Monaco","MC","MCO",38682
"7109","23/03/2020",23,3,2020,5,0,"Monaco","MC","MCO",38682
"7110","22/03/2020",22,3,2020,6,0,"Monaco","MC","MCO",38682
"7111","21/03/2020",21,3,2020,1,0,"Monaco","MC","MCO",38682
"7112","20/03/2020",20,3,2020,2,0,"Monaco","MC","MCO",38682
"7113","19/03/2020",19,3,2020,0,0,"Monaco","MC","MCO",38682
"7114","18/03/2020",18,3,2020,0,0,"Monaco","MC","MCO",38682
"7115","17/03/2020",17,3,2020,2,0,"Monaco","MC","MCO",38682
"7116","16/03/2020",16,3,2020,4,0,"Monaco","MC","MCO",38682
"7117","15/03/2020",15,3,2020,2,0,"Monaco","MC","MCO",38682
"7118","02/03/2020",2,3,2020,0,0,"Monaco","MC","MCO",38682
