"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7181","18/04/2020",18,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7182","17/04/2020",17,4,2020,1,0,"Mongolia","MN","MNG",3170208
"7183","16/04/2020",16,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7184","15/04/2020",15,4,2020,14,0,"Mongolia","MN","MNG",3170208
"7185","14/04/2020",14,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7186","13/04/2020",13,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7187","12/04/2020",12,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7188","11/04/2020",11,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7189","10/04/2020",10,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7190","09/04/2020",9,4,2020,1,0,"Mongolia","MN","MNG",3170208
"7191","08/04/2020",8,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7192","07/04/2020",7,4,2020,1,0,"Mongolia","MN","MNG",3170208
"7193","06/04/2020",6,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7194","05/04/2020",5,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7195","04/04/2020",4,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7196","03/04/2020",3,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7197","02/04/2020",2,4,2020,2,0,"Mongolia","MN","MNG",3170208
"7198","01/04/2020",1,4,2020,0,0,"Mongolia","MN","MNG",3170208
"7199","31/03/2020",31,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7200","30/03/2020",30,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7201","29/03/2020",29,3,2020,1,0,"Mongolia","MN","MNG",3170208
"7202","28/03/2020",28,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7203","27/03/2020",27,3,2020,1,0,"Mongolia","MN","MNG",3170208
"7204","26/03/2020",26,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7205","25/03/2020",25,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7206","24/03/2020",24,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7207","23/03/2020",23,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7208","22/03/2020",22,3,2020,4,0,"Mongolia","MN","MNG",3170208
"7209","21/03/2020",21,3,2020,1,0,"Mongolia","MN","MNG",3170208
"7210","20/03/2020",20,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7211","19/03/2020",19,3,2020,1,0,"Mongolia","MN","MNG",3170208
"7212","18/03/2020",18,3,2020,3,0,"Mongolia","MN","MNG",3170208
"7213","15/03/2020",15,3,2020,0,0,"Mongolia","MN","MNG",3170208
"7214","10/03/2020",10,3,2020,1,0,"Mongolia","MN","MNG",3170208
