"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7247","18/04/2020",18,4,2020,0,0,"Montserrat","MS","MSR",5900
"7248","17/04/2020",17,4,2020,0,0,"Montserrat","MS","MSR",5900
"7249","16/04/2020",16,4,2020,0,0,"Montserrat","MS","MSR",5900
"7250","15/04/2020",15,4,2020,0,0,"Montserrat","MS","MSR",5900
"7251","14/04/2020",14,4,2020,0,0,"Montserrat","MS","MSR",5900
"7252","13/04/2020",13,4,2020,2,0,"Montserrat","MS","MSR",5900
"7253","12/04/2020",12,4,2020,0,0,"Montserrat","MS","MSR",5900
"7254","11/04/2020",11,4,2020,0,0,"Montserrat","MS","MSR",5900
"7255","10/04/2020",10,4,2020,0,0,"Montserrat","MS","MSR",5900
"7256","09/04/2020",9,4,2020,3,0,"Montserrat","MS","MSR",5900
"7257","08/04/2020",8,4,2020,0,0,"Montserrat","MS","MSR",5900
"7258","07/04/2020",7,4,2020,0,0,"Montserrat","MS","MSR",5900
"7259","06/04/2020",6,4,2020,0,0,"Montserrat","MS","MSR",5900
"7260","05/04/2020",5,4,2020,1,0,"Montserrat","MS","MSR",5900
"7261","04/04/2020",4,4,2020,0,0,"Montserrat","MS","MSR",5900
"7262","03/04/2020",3,4,2020,0,0,"Montserrat","MS","MSR",5900
"7263","02/04/2020",2,4,2020,0,0,"Montserrat","MS","MSR",5900
"7264","31/03/2020",31,3,2020,0,0,"Montserrat","MS","MSR",5900
"7265","30/03/2020",30,3,2020,0,0,"Montserrat","MS","MSR",5900
"7266","29/03/2020",29,3,2020,0,0,"Montserrat","MS","MSR",5900
"7267","28/03/2020",28,3,2020,0,0,"Montserrat","MS","MSR",5900
"7268","27/03/2020",27,3,2020,4,0,"Montserrat","MS","MSR",5900
"7269","26/03/2020",26,3,2020,0,0,"Montserrat","MS","MSR",5900
"7270","25/03/2020",25,3,2020,0,0,"Montserrat","MS","MSR",5900
"7271","24/03/2020",24,3,2020,0,0,"Montserrat","MS","MSR",5900
"7272","23/03/2020",23,3,2020,0,0,"Montserrat","MS","MSR",5900
"7273","22/03/2020",22,3,2020,0,0,"Montserrat","MS","MSR",5900
"7274","21/03/2020",21,3,2020,1,0,"Montserrat","MS","MSR",5900
