"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7315","18/04/2020",18,4,2020,3,0,"Mozambique","MZ","MOZ",29495962
"7316","17/04/2020",17,4,2020,2,0,"Mozambique","MZ","MOZ",29495962
"7317","16/04/2020",16,4,2020,1,0,"Mozambique","MZ","MOZ",29495962
"7318","15/04/2020",15,4,2020,1,0,"Mozambique","MZ","MOZ",29495962
"7319","14/04/2020",14,4,2020,6,0,"Mozambique","MZ","MOZ",29495962
"7320","13/04/2020",13,4,2020,1,0,"Mozambique","MZ","MOZ",29495962
"7321","12/04/2020",12,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7322","11/04/2020",11,4,2020,3,0,"Mozambique","MZ","MOZ",29495962
"7323","10/04/2020",10,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7324","09/04/2020",9,4,2020,7,0,"Mozambique","MZ","MOZ",29495962
"7325","08/04/2020",8,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7326","07/04/2020",7,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7327","06/04/2020",6,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7328","05/04/2020",5,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7329","04/04/2020",4,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7330","03/04/2020",3,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7331","02/04/2020",2,4,2020,2,0,"Mozambique","MZ","MOZ",29495962
"7332","01/04/2020",1,4,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7333","31/03/2020",31,3,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7334","30/03/2020",30,3,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7335","29/03/2020",29,3,2020,1,0,"Mozambique","MZ","MOZ",29495962
"7336","28/03/2020",28,3,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7337","27/03/2020",27,3,2020,2,0,"Mozambique","MZ","MOZ",29495962
"7338","26/03/2020",26,3,2020,4,0,"Mozambique","MZ","MOZ",29495962
"7339","25/03/2020",25,3,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7340","24/03/2020",24,3,2020,0,0,"Mozambique","MZ","MOZ",29495962
"7341","23/03/2020",23,3,2020,1,0,"Mozambique","MZ","MOZ",29495962
