"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"7801","18/04/2020",18,4,2020,51,4,"Nigeria","NG","NGA",195874740
"7802","17/04/2020",17,4,2020,35,1,"Nigeria","NG","NGA",195874740
"7803","16/04/2020",16,4,2020,34,1,"Nigeria","NG","NGA",195874740
"7804","15/04/2020",15,4,2020,30,1,"Nigeria","NG","NGA",195874740
"7805","14/04/2020",14,4,2020,20,0,"Nigeria","NG","NGA",195874740
"7806","13/04/2020",13,4,2020,5,0,"Nigeria","NG","NGA",195874740
"7807","12/04/2020",12,4,2020,13,3,"Nigeria","NG","NGA",195874740
"7808","11/04/2020",11,4,2020,17,0,"Nigeria","NG","NGA",195874740
"7809","10/04/2020",10,4,2020,12,1,"Nigeria","NG","NGA",195874740
"7810","09/04/2020",9,4,2020,22,0,"Nigeria","NG","NGA",195874740
"7811","08/04/2020",8,4,2020,16,1,"Nigeria","NG","NGA",195874740
"7812","07/04/2020",7,4,2020,6,0,"Nigeria","NG","NGA",195874740
"7813","06/04/2020",6,4,2020,22,1,"Nigeria","NG","NGA",195874740
"7814","05/04/2020",5,4,2020,20,2,"Nigeria","NG","NGA",195874740
"7815","04/04/2020",4,4,2020,16,0,"Nigeria","NG","NGA",195874740
"7816","03/04/2020",3,4,2020,23,0,"Nigeria","NG","NGA",195874740
"7817","02/04/2020",2,4,2020,20,0,"Nigeria","NG","NGA",195874740
"7818","01/04/2020",1,4,2020,0,0,"Nigeria","NG","NGA",195874740
"7819","31/03/2020",31,3,2020,34,1,"Nigeria","NG","NGA",195874740
"7820","30/03/2020",30,3,2020,0,0,"Nigeria","NG","NGA",195874740
"7821","29/03/2020",29,3,2020,16,0,"Nigeria","NG","NGA",195874740
"7822","28/03/2020",28,3,2020,16,0,"Nigeria","NG","NGA",195874740
"7823","27/03/2020",27,3,2020,14,0,"Nigeria","NG","NGA",195874740
"7824","26/03/2020",26,3,2020,7,0,"Nigeria","NG","NGA",195874740
"7825","25/03/2020",25,3,2020,4,0,"Nigeria","NG","NGA",195874740
"7826","24/03/2020",24,3,2020,10,1,"Nigeria","NG","NGA",195874740
"7827","23/03/2020",23,3,2020,8,0,"Nigeria","NG","NGA",195874740
"7828","22/03/2020",22,3,2020,10,0,"Nigeria","NG","NGA",195874740
"7829","21/03/2020",21,3,2020,4,0,"Nigeria","NG","NGA",195874740
"7830","20/03/2020",20,3,2020,0,0,"Nigeria","NG","NGA",195874740
