"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8001","18/04/2020",18,4,2020,1,0,"Northern Mariana Islands","MP","MNP",56882
"8002","17/04/2020",17,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8003","16/04/2020",16,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8004","15/04/2020",15,4,2020,2,0,"Northern Mariana Islands","MP","MNP",56882
"8005","14/04/2020",14,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8006","13/04/2020",13,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8007","12/04/2020",12,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8008","11/04/2020",11,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8009","10/04/2020",10,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8010","09/04/2020",9,4,2020,3,0,"Northern Mariana Islands","MP","MNP",56882
"8011","08/04/2020",8,4,2020,0,1,"Northern Mariana Islands","MP","MNP",56882
"8012","07/04/2020",7,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8013","06/04/2020",6,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8014","05/04/2020",5,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8015","04/04/2020",4,4,2020,0,0,"Northern Mariana Islands","MP","MNP",56882
"8016","03/04/2020",3,4,2020,2,0,"Northern Mariana Islands","MP","MNP",56882
"8017","02/04/2020",2,4,2020,0,1,"Northern Mariana Islands","MP","MNP",56882
"8018","01/04/2020",1,4,2020,4,0,"Northern Mariana Islands","MP","MNP",56882
"8019","31/03/2020",31,3,2020,2,0,"Northern Mariana Islands","MP","MNP",56882
