"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8339","18/04/2020",18,4,2020,13,0,"Palestine","PS","PSE",4569087
"8340","17/04/2020",17,4,2020,3,0,"Palestine","PS","PSE",4569087
"8341","16/04/2020",16,4,2020,4,0,"Palestine","PS","PSE",4569087
"8342","15/04/2020",15,4,2020,19,0,"Palestine","PS","PSE",4569087
"8343","14/04/2020",14,4,2020,0,0,"Palestine","PS","PSE",4569087
"8344","13/04/2020",13,4,2020,0,0,"Palestine","PS","PSE",4569087
"8345","12/04/2020",12,4,2020,2,0,"Palestine","PS","PSE",4569087
"8346","11/04/2020",11,4,2020,3,1,"Palestine","PS","PSE",4569087
"8347","10/04/2020",10,4,2020,0,0,"Palestine","PS","PSE",4569087
"8348","09/04/2020",9,4,2020,3,0,"Palestine","PS","PSE",4569087
"8349","08/04/2020",8,4,2020,7,0,"Palestine","PS","PSE",4569087
"8350","07/04/2020",7,4,2020,36,0,"Palestine","PS","PSE",4569087
"8351","06/04/2020",6,4,2020,62,0,"Palestine","PS","PSE",4569087
"8352","04/04/2020",4,4,2020,0,0,"Palestine","PS","PSE",4569087
"8353","03/04/2020",3,4,2020,21,0,"Palestine","PS","PSE",4569087
"8354","02/04/2020",2,4,2020,17,0,"Palestine","PS","PSE",4569087
"8355","01/04/2020",1,4,2020,2,0,"Palestine","PS","PSE",4569087
"8356","31/03/2020",31,3,2020,9,0,"Palestine","PS","PSE",4569087
"8357","30/03/2020",30,3,2020,9,0,"Palestine","PS","PSE",4569087
"8358","29/03/2020",29,3,2020,6,0,"Palestine","PS","PSE",4569087
"8359","28/03/2020",28,3,2020,7,0,"Palestine","PS","PSE",4569087
"8360","27/03/2020",27,3,2020,22,1,"Palestine","PS","PSE",4569087
"8361","26/03/2020",26,3,2020,2,0,"Palestine","PS","PSE",4569087
"8362","25/03/2020",25,3,2020,1,0,"Palestine","PS","PSE",4569087
"8363","24/03/2020",24,3,2020,0,0,"Palestine","PS","PSE",4569087
"8364","23/03/2020",23,3,2020,7,0,"Palestine","PS","PSE",4569087
"8365","22/03/2020",22,3,2020,4,0,"Palestine","PS","PSE",4569087
"8366","21/03/2020",21,3,2020,1,0,"Palestine","PS","PSE",4569087
"8367","20/03/2020",20,3,2020,3,0,"Palestine","PS","PSE",4569087
"8368","19/03/2020",19,3,2020,3,0,"Palestine","PS","PSE",4569087
"8369","18/03/2020",18,3,2020,2,0,"Palestine","PS","PSE",4569087
"8370","17/03/2020",17,3,2020,1,0,"Palestine","PS","PSE",4569087
"8371","16/03/2020",16,3,2020,0,0,"Palestine","PS","PSE",4569087
"8372","15/03/2020",15,3,2020,3,0,"Palestine","PS","PSE",4569087
"8373","14/03/2020",14,3,2020,5,0,"Palestine","PS","PSE",4569087
"8374","12/03/2020",12,3,2020,1,0,"Palestine","PS","PSE",4569087
"8375","11/03/2020",11,3,2020,9,0,"Palestine","PS","PSE",4569087
"8376","10/03/2020",10,3,2020,1,0,"Palestine","PS","PSE",4569087
"8377","08/03/2020",8,3,2020,3,0,"Palestine","PS","PSE",4569087
"8378","07/03/2020",7,3,2020,9,0,"Palestine","PS","PSE",4569087
"8379","06/03/2020",6,3,2020,7,0,"Palestine","PS","PSE",4569087
