"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8380","18/04/2020",18,4,2020,194,7,"Panama","PA","PAN",4176873
"8381","17/04/2020",17,4,2020,265,6,"Panama","PA","PAN",4176873
"8382","16/04/2020",16,4,2020,177,8,"Panama","PA","PAN",4176873
"8383","15/04/2020",15,4,2020,102,1,"Panama","PA","PAN",4176873
"8384","14/04/2020",14,4,2020,72,7,"Panama","PA","PAN",4176873
"8385","13/04/2020",13,4,2020,166,8,"Panama","PA","PAN",4176873
"8386","12/04/2020",12,4,2020,260,5,"Panama","PA","PAN",4176873
"8387","11/04/2020",11,4,2020,222,8,"Panama","PA","PAN",4176873
"8388","10/04/2020",10,4,2020,224,3,"Panama","PA","PAN",4176873
"8389","09/04/2020",9,4,2020,279,4,"Panama","PA","PAN",4176873
"8390","08/04/2020",8,4,2020,149,4,"Panama","PA","PAN",4176873
"8391","07/04/2020",7,4,2020,112,1,"Panama","PA","PAN",4176873
"8392","06/04/2020",6,4,2020,187,8,"Panama","PA","PAN",4176873
"8393","05/04/2020",5,4,2020,128,5,"Panama","PA","PAN",4176873
"8394","04/04/2020",4,4,2020,198,4,"Panama","PA","PAN",4176873
"8395","03/04/2020",3,4,2020,158,5,"Panama","PA","PAN",4176873
"8396","02/04/2020",2,4,2020,136,2,"Panama","PA","PAN",4176873
"8397","01/04/2020",1,4,2020,106,4,"Panama","PA","PAN",4176873
"8398","31/03/2020",31,3,2020,86,2,"Panama","PA","PAN",4176873
"8399","30/03/2020",30,3,2020,88,7,"Panama","PA","PAN",4176873
"8400","29/03/2020",29,3,2020,115,3,"Panama","PA","PAN",4176873
"8401","28/03/2020",28,3,2020,112,5,"Panama","PA","PAN",4176873
"8402","27/03/2020",27,3,2020,86,3,"Panama","PA","PAN",4176873
"8403","26/03/2020",26,3,2020,145,0,"Panama","PA","PAN",4176873
"8404","25/03/2020",25,3,2020,98,0,"Panama","PA","PAN",4176873
"8405","24/03/2020",24,3,2020,32,3,"Panama","PA","PAN",4176873
"8406","23/03/2020",23,3,2020,68,0,"Panama","PA","PAN",4176873
"8407","22/03/2020",22,3,2020,45,2,"Panama","PA","PAN",4176873
"8408","21/03/2020",21,3,2020,63,0,"Panama","PA","PAN",4176873
"8409","20/03/2020",20,3,2020,28,0,"Panama","PA","PAN",4176873
"8410","19/03/2020",19,3,2020,23,0,"Panama","PA","PAN",4176873
"8411","18/03/2020",18,3,2020,17,0,"Panama","PA","PAN",4176873
"8412","17/03/2020",17,3,2020,26,0,"Panama","PA","PAN",4176873
"8413","16/03/2020",16,3,2020,0,0,"Panama","PA","PAN",4176873
"8414","15/03/2020",15,3,2020,7,0,"Panama","PA","PAN",4176873
"8415","14/03/2020",14,3,2020,9,0,"Panama","PA","PAN",4176873
"8416","13/03/2020",13,3,2020,13,0,"Panama","PA","PAN",4176873
"8417","12/03/2020",12,3,2020,7,0,"Panama","PA","PAN",4176873
"8418","11/03/2020",11,3,2020,6,1,"Panama","PA","PAN",4176873
"8419","10/03/2020",10,3,2020,1,0,"Panama","PA","PAN",4176873
