"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8449","18/04/2020",18,4,2020,28,0,"Paraguay","PY","PRY",6956071
"8450","17/04/2020",17,4,2020,0,0,"Paraguay","PY","PRY",6956071
"8451","16/04/2020",16,4,2020,13,0,"Paraguay","PY","PRY",6956071
"8452","15/04/2020",15,4,2020,2,1,"Paraguay","PY","PRY",6956071
"8453","14/04/2020",14,4,2020,12,1,"Paraguay","PY","PRY",6956071
"8454","13/04/2020",13,4,2020,13,0,"Paraguay","PY","PRY",6956071
"8455","12/04/2020",12,4,2020,1,0,"Paraguay","PY","PRY",6956071
"8456","11/04/2020",11,4,2020,4,0,"Paraguay","PY","PRY",6956071
"8457","10/04/2020",10,4,2020,5,1,"Paraguay","PY","PRY",6956071
"8458","09/04/2020",9,4,2020,9,0,"Paraguay","PY","PRY",6956071
"8459","08/04/2020",8,4,2020,2,0,"Paraguay","PY","PRY",6956071
"8460","07/04/2020",7,4,2020,0,0,"Paraguay","PY","PRY",6956071
"8461","06/04/2020",6,4,2020,9,2,"Paraguay","PY","PRY",6956071
"8462","05/04/2020",5,4,2020,8,0,"Paraguay","PY","PRY",6956071
"8463","04/04/2020",4,4,2020,19,0,"Paraguay","PY","PRY",6956071
"8464","03/04/2020",3,4,2020,8,0,"Paraguay","PY","PRY",6956071
"8465","02/04/2020",2,4,2020,0,0,"Paraguay","PY","PRY",6956071
"8466","01/04/2020",1,4,2020,4,0,"Paraguay","PY","PRY",6956071
"8467","31/03/2020",31,3,2020,1,0,"Paraguay","PY","PRY",6956071
"8468","30/03/2020",30,3,2020,5,0,"Paraguay","PY","PRY",6956071
"8469","29/03/2020",29,3,2020,3,0,"Paraguay","PY","PRY",6956071
"8470","28/03/2020",28,3,2020,4,0,"Paraguay","PY","PRY",6956071
"8471","27/03/2020",27,3,2020,11,0,"Paraguay","PY","PRY",6956071
"8472","26/03/2020",26,3,2020,4,0,"Paraguay","PY","PRY",6956071
"8473","25/03/2020",25,3,2020,10,2,"Paraguay","PY","PRY",6956071
"8474","24/03/2020",24,3,2020,5,0,"Paraguay","PY","PRY",6956071
"8475","23/03/2020",23,3,2020,0,0,"Paraguay","PY","PRY",6956071
"8476","22/03/2020",22,3,2020,4,0,"Paraguay","PY","PRY",6956071
"8477","21/03/2020",21,3,2020,5,1,"Paraguay","PY","PRY",6956071
"8478","20/03/2020",20,3,2020,2,0,"Paraguay","PY","PRY",6956071
"8479","19/03/2020",19,3,2020,0,0,"Paraguay","PY","PRY",6956071
"8480","18/03/2020",18,3,2020,2,0,"Paraguay","PY","PRY",6956071
"8481","17/03/2020",17,3,2020,1,0,"Paraguay","PY","PRY",6956071
"8482","16/03/2020",16,3,2020,1,0,"Paraguay","PY","PRY",6956071
"8483","14/03/2020",14,3,2020,1,0,"Paraguay","PY","PRY",6956071
"8484","13/03/2020",13,3,2020,1,0,"Paraguay","PY","PRY",6956071
"8485","11/03/2020",11,3,2020,4,0,"Paraguay","PY","PRY",6956071
"8486","08/03/2020",8,3,2020,1,0,"Paraguay","PY","PRY",6956071
